-0.0062073+0.00042392i,-0.0046252-6.4503e-05i,-0.0061267+0.0010748i,-0.0049961+0.0019824i,-0.0028162+0.0027924i,-0.0018136+0.0025691i,0.00023785+0.0018288i,0.00047436+0.00098873i,0.00033779+4.2898e-05i,0.0011236-0.00033096i,0.0012893-0.00039069i,0.0010633+0.00025131i,0.00038684+0.00037067i,-0.00058676-0.00097063i,-0.00116-0.0013431i,-0.00057983-0.000228i,-1.2354e-05-0.00016499i,-0.00078867-0.00088509i,-0.001113-0.0012673i,-0.00011413-0.00056126i,6.7311e-05+0.00046645i,-0.00023123+0.00014453i,-4.3735e-05+0.00022433i
-0.00059897+0.00027014i,-0.00042916+0.00066969i,-0.00083131+0.00049272i,-0.00027995-0.00065727i,-0.00015432-0.00049726i,-0.00014164+0.00047229i,8.7045e-05+0.00047645i,0.00042748-0.00038783i,0.00051312-0.00095114i,0.00052949-0.00027404i,0.00014233+3.5545e-05i,-0.00036132-0.00049601i,-0.00033203+0.00022546i,-0.00030725+0.00082926i,-0.00038803+0.0011597i,-0.00046957+0.00090939i,-9.1147e-05-0.00013166i,-2.3001e-05-0.00093287i,0.00029638-0.00086846i,0.00087496+0.0002721i,0.00070634+0.00067948i,0.00014238+0.00016382i,-0.00013718-0.0001038i
-0.00061384+0.0012718i,-0.0014087+0.0011614i,-0.00097817+0.0011253i,0.00012091+0.0013196i,-0.00059587+0.00095934i,-0.0016404+0.00028099i,-0.00031791-0.00033773i,0.0014265-0.0010884i,0.00091523-0.0009488i,-0.00013511+4.7402e-05i,4.9424e-05+0.00092623i,-2.6347e-05+0.00018038i,-0.00031102-0.00088535i,-0.0011069+0.00021308i,-0.0011908+0.0009429i,-0.0006561-0.00016311i,-0.00057928-0.00085531i,-0.00071686-0.00092014i,-0.00012871-8.1726e-05i,0.00029661+0.00040673i,0.00041749-8.5956e-05i,0.00059921-0.00087603i,-2.6582e-05-0.00019728i
0.00025657+0.0013084i,0.00033759+0.00031133i,-1.3465e-05+0.00014006i,-0.00026805-0.00063245i,-6.1146e-05-0.0011573i,0.00018007-0.0011919i,0.00019799-0.0010505i,0.00072521-0.00080507i,0.00027424-0.0014549i,-0.00016905-0.0011687i,-0.00010731-0.0002325i,-0.00036474+0.00062881i,-0.00089759+0.0013968i,-0.0014237+0.00061966i,-0.00061564-3.7552e-05i,0.00027974-4.4163e-05i,-0.00021461+0.00039485i,-0.00014398+0.00049949i,0.00044223+0.00055535i,0.00071045+0.00099524i,0.0014113+0.00085117i,0.0015759+0.00073741i,0.00090477+0.00063507i
0.0010937-0.002226i,0.0015195-0.0028399i,0.00077954-0.0044772i,-0.00099544-0.0040234i,-0.002738-0.001358i,-0.0023787+0.00017023i,-0.00096492+0.00092131i,-0.0004229+0.0003757i,-0.00093393-0.00071741i,-0.0014379-0.001039i,-0.00028448+5.5345e-05i,0.00038645+0.00085912i,3.3843e-05+0.001111i,0.00040641+0.00095216i,8.2213e-06+0.00044149i,8.3166e-05-0.00054983i,4.5961e-06-0.0014001i,-0.000537-0.0012457i,-0.00084338-0.0013186i,-0.00079105-0.0010045i,-0.00035749-0.0005473i,-0.00023902-8.0605e-05i,-0.00024993+0.0009808i
-0.0023179+0.0020844i,-0.0021207+0.0023943i,-0.00219+0.0027352i,-0.0013918+0.0017092i,-0.0005895+0.00074525i,-0.00057665+0.00072539i,-0.00026063+0.0012143i,0.0004546+0.0006104i,0.00055248+0.00066908i,-0.00032452+0.00068194i,4.9356e-05+0.00015248i,0.0005951+0.0002678i,0.0001646-0.00053946i,-0.00048236-0.00086812i,-0.0012346-0.00013579i,-0.00049954+0.00017996i,-4.8156e-05-2.2258e-06i,-0.00062607-0.00043045i,-0.00091315-0.00044555i,-0.00068184+0.00048222i,4.3135e-05+0.00090866i,0.00023047+0.00037245i,-8.9222e-05-5.6526e-05i
0.0011126-0.0012357i,0.00056091-0.0010373i,0.00025404-0.001744i,-6.0487e-05-0.0024492i,-0.0014756-0.0018467i,-0.0017444+4.1724e-05i,-9.0166e-05+0.00095027i,0.00010882-0.00065305i,-0.00092119-0.0017722i,-0.0017128-0.0013353i,-0.0016517-0.00071262i,-0.0011668+0.00059157i,-0.00071264+0.00038042i,-0.0005441-0.00024493i,-0.00062143+0.00011108i,-0.00081276+4.672e-05i,-0.0006387-0.00037515i,-0.00098519-0.00076725i,-0.00074779-0.00069507i,-0.00015208-0.00020555i,0.0001858-0.00017708i,0.00050933-0.00031228i,-0.00021911-0.00028134i
-1.8711e-06+0.0011667i,-0.00068226+0.0012488i,-0.0012461+6.0982e-05i,-0.0010965+0.00031756i,-0.00084168+0.00039736i,-0.00014987+0.00056339i,0.00063842+0.00083577i,0.00052368+3.3792e-05i,0.00032082-0.00033338i,0.00052803-0.00026801i,0.00038322-8.3863e-05i,-9.249e-05-4.8968e-05i,0.00016507-0.00054145i,0.00032231-0.00033211i,-0.00035685-0.00023821i,-0.00095755+2.5663e-05i,-0.0012873+0.00085476i,-0.001113+0.00080458i,-0.0010036+0.00083893i,-0.0016073+0.00043768i,-0.00080047-0.00025682i,8.9927e-05-0.00082063i,0.00050323-0.0010011i
-0.00038281+0.0002271i,-0.0016954-0.00033021i,-0.0019921-0.0010504i,-0.0015847-0.0013087i,-0.001464-0.0003967i,-0.0016074+0.00097305i,-0.00022402+0.000413i,0.0011769-0.0008245i,0.00026019-0.0012089i,-0.00076794-0.00086064i,-0.00072605+0.00010594i,-0.0008519+0.00064267i,-0.00086502+0.00044493i,-0.00091402+0.00013358i,-0.00071656-5.4527e-05i,0.00055228-0.0003182i,0.00076433-0.0005433i,-1.7672e-05-0.00045814i,-0.00033144-0.00048451i,-0.00024062-0.00023087i,0.00064982+0.00036831i,0.00079898+0.0010797i,8.396e-05+0.00163i
-0.00014018-0.00039563i,-0.00041343-0.00099026i,-0.0022138-0.0016252i,-0.0026632-0.0015789i,-0.0022138-0.0009376i,-0.0012638+0.00014529i,-9.0079e-05+0.0003031i,0.00012597-0.00028168i,-0.0008596-0.0010551i,-0.0011183-0.00041609i,-0.00027744+0.00082009i,-0.00010778+0.00084867i,-0.00035151+0.00035657i,-6.5764e-05+0.00058481i,0.00079825+0.0009587i,0.0010643+6.6969e-05i,0.00079024-0.00037799i,-0.00023153+8.3484e-06i,-0.0011041-0.00051443i,-0.00101-0.00048478i,4.8425e-05-0.00035456i,0.00064689-0.0010164i,0.00029756-0.00065981i
-0.00046535-0.00052686i,0.00021002+0.00015607i,0.0017593+0.00094337i,0.0014014+0.0012928i,-9.2544e-05+0.000871i,0.00024511+0.00074389i,0.0010779+0.0010347i,0.0015079+0.0001104i,0.00086266-0.0009415i,-8.7893e-05-0.00055886i,-0.00038111+0.00047425i,-0.00044725+0.00075523i,-0.00046853+0.0006863i,-0.0006588+0.0001902i,-0.0012547-0.00027471i,-0.0005153-0.00012563i,0.00027838-0.00011612i,-0.00036872-0.00077224i,-0.00099302-0.00093512i,-0.00042642-0.00064359i,0.00046531-0.00042267i,0.00018466-0.00012957i,-0.00024165-4.7239e-05i
