-0.00027616+0.0010649i,0.00081478-0.0001287i,-0.0017608-0.0018322i,-0.0023964-0.0016254i,-0.001774+4.5275e-05i,-0.0009921+0.0011566i,-0.000576+0.00091517i,0.00016693+0.00093382i,0.0012131+0.0013731i,0.0011892+0.00039328i,0.00033435-0.00069479i,-6.2431e-05-0.00040356i,-0.00037388+0.00016664i,-0.00099217+3.7126e-05i,-0.001003-0.0004291i,-3.722e-05-0.00026184i,7.6367e-05+0.0002847i,-7.2019e-05+2.7791e-05i,-0.00014255-5.6288e-05i,0.00014514-6.7724e-05i,0.00060114-0.00020572i,0.00038882+0.00015119i,0.00021542+0.00036206i
0.00020127-0.0026566i,0.00068077-0.0031138i,-0.00099211-0.002253i,-0.0032067-0.00069167i,-0.0035035+0.0013404i,-0.0016231+0.0022414i,-0.00019126+0.0014392i,0.00014827+0.0010717i,-0.00045763+0.0013755i,-0.00062489+0.00091149i,0.00033213+0.00031947i,0.0010879+0.00046012i,0.0014996+0.00061384i,0.001795-0.00010271i,0.0013499-0.00036905i,0.00048843-0.00054879i,-0.00056595-0.00090146i,-0.00054041-0.0006653i,-0.00041836-0.0004485i,-9.092e-05+0.00032599i,0.00061939+0.00069628i,0.00086137-0.00016741i,0.00092043-0.00058198i
-0.00061063-3.86e-06i,-0.0012128+0.00047288i,-0.0008452+0.00084687i,-0.00086133+0.00035117i,-0.00066603+0.00024606i,0.00033829+0.00016478i,0.00077689-0.00023657i,0.00037165-0.00019897i,-0.00019549+3.8464e-05i,0.00025301+0.0004522i,0.0007532+0.00092733i,0.0010279+0.00070277i,0.00075367+0.00062497i,0.00021177+0.00080693i,0.00027084+0.00058519i,0.00069846-8.9543e-05i,0.00044197-0.00013488i,-0.00057622+0.00012643i,-0.0013284+2.1739e-05i,-0.001935-0.0001814i,-0.0015662-0.00067783i,-0.00084951-0.00082172i,-0.00029535-0.0010062i
0.0017318-0.0016152i,0.00060474-0.0021618i,0.00080949-0.0032565i,0.00037401-0.0031277i,-0.00054065-0.0020617i,-0.00098732-0.0001819i,-0.00079608+0.0011997i,-0.00034121+0.0010609i,-0.00011868+0.00092506i,3.7124e-05+0.00094261i,-0.00042268+0.00085644i,-0.00084339+0.00039407i,0.0002459+0.00048141i,0.0011377+0.0011237i,0.00094932+0.0011792i,0.00073476+0.00064899i,0.00020088+0.00018651i,0.00027531+9.1409e-05i,0.00078165+0.0003637i,0.00061678+6.7377e-05i,5.6305e-06-0.00066965i,-0.00019474-0.00076058i,4.48e-05+0.00032021i
-0.00017167+0.00024814i,-0.00052233+0.00047532i,-0.00050275+0.00026913i,-0.00030309+0.00052649i,-0.0010773+0.00054831i,-0.0012909+0.00018294i,-0.00041659-0.00069367i,0.00032184+6.7043e-05i,0.00017781+0.0011524i,-0.00010824+0.00061779i,0.00013632+6.0561e-05i,0.00035833+0.00046502i,0.00037618+0.00018637i,0.0001993+0.00010943i,-0.00016653+0.00055774i,0.00011354+8.0042e-05i,0.00019078-0.00065179i,-0.00034593-0.00068774i,-0.00022829-0.00062976i,-0.00040853-0.00074326i,-0.0002601-0.00055839i,-0.00014689+1.2812e-05i,-0.00024619+0.00041112i
0.00019875+0.00079894i,0.00047506-0.00030069i,0.00021327-0.00062979i,0.00034524-0.00036637i,-0.00026707-0.00042843i,8.645e-05-0.00084926i,0.00092312-0.00083811i,0.00043698+2.5605e-05i,5.1838e-05+0.00084368i,0.00059865+0.00016836i,0.00064665-0.00058132i,-0.00010278-0.00059239i,-0.00050815-0.00073267i,-0.00068656-0.00077191i,-0.00058764-0.00025752i,-0.0002884-0.00011667i,-0.00039707-0.00035653i,-8.9378e-05-0.00024114i,0.00041496+0.00022044i,0.00055619+0.00039816i,0.0005596+0.00029486i,0.00055609+2.4435e-05i,0.00078159-0.00044189i
0.001615-0.00012271i,0.0019903+0.00060223i,0.0012994+0.00086123i,0.00076893+0.00016361i,0.00062244+0.00035271i,0.00060961-7.5165e-05i,0.00043869-0.00042135i,-5.4418e-05+0.00030617i,-0.00028598+0.00097629i,-0.00060502+0.00082062i,5.5112e-05+0.00026141i,0.0011141+0.00021075i,0.00068727+0.00041576i,0.0001708-0.00021961i,0.00041373-0.00051223i,0.0012881-0.00098379i,0.0013802-0.0010281i,0.00010686-0.00033174i,-0.00017821-0.00019699i,0.00030554-0.00012911i,0.00056529-0.00029096i,0.00074903-0.0007331i,0.00063102-0.00077418i
0.0013375-0.00078989i,0.00073133-0.00029862i,0.00033143-0.0013065i,-0.00045778-0.00097683i,-0.0014495+5.022e-05i,-0.00073284+0.00082606i,0.00069354+0.0011017i,0.00082247+0.00027667i,0.00034522+0.00025423i,-0.0002697+0.00038665i,-0.00049915+8.6448e-05i,8.4322e-06+0.00035555i,0.00073284+0.00093283i,0.00094939+0.000688i,0.00056071-0.00016341i,0.00034708-0.00089503i,0.00013038-0.00090659i,-0.00016144-0.00023923i,-0.0009613+0.0004434i,-0.00098736+0.00012627i,0.00066573-0.00035533i,0.0011448-0.00068719i,0.00050228-0.00072797i
-0.00069446+0.0017148i,-0.00097509+0.00087606i,0.0002487+0.0004379i,0.00058204+0.00027115i,0.0013483-0.00040853i,0.0020118-0.00030271i,0.0017088+0.00021761i,0.00084547+0.00046173i,0.00029331+0.001315i,0.00042872+0.0011287i,0.00015453+2.9307e-05i,-0.00019972-0.0010004i,-0.00039143-0.00080726i,-0.00047677+0.00011341i,-0.00018611+7.9723e-05i,0.00059192-9.5767e-05i,0.00022373+0.00012223i,-0.00066587-0.00036223i,-0.00067783-0.0004443i,-7.7639e-05+5.0966e-05i,0.00034025-0.00043401i,-0.00055568-0.00055053i,-0.00036945-6.3138e-05i
0.00065982-0.0012584i,0.00077347-0.00066788i,0.00021538-0.0010833i,-0.0013336-0.0011105i,-0.0015514-0.0001118i,-0.00095815+0.00040414i,-0.00073583+0.00099366i,-0.0007442+0.0012794i,-0.0012769+0.00078678i,-0.00078705+0.00069003i,0.00010003+8.3231e-05i,-0.0003544+0.00024858i,-0.00047951+0.00058875i,0.00030598+0.00078035i,0.00069548+0.0014431i,0.00056886+0.00023592i,0.00014402-0.00074772i,-0.00055709-0.00052333i,-0.00038572+0.00019022i,0.00032568+0.00075824i,0.00050601+0.00053567i,6.3159e-05+0.0005429i,0.00016596+0.00039873i
-0.0015254+0.0018084i,-0.0010307+0.0022062i,0.00015178+0.003255i,0.00059258+0.0030786i,0.0003864+0.0027542i,0.00042843+0.001721i,0.00043022+0.0013804i,0.00094695+0.0015994i,0.00051079+0.0017864i,1.6792e-05+0.0012771i,-0.00018286+0.00078662i,-0.00051668+6.3013e-05i,-0.00071361-0.00062476i,-0.000556-0.0008471i,0.00018121-0.00029651i,-2.4821e-05+0.00063441i,-0.00036797+0.00064018i,-0.00010115+8.8313e-05i,0.00073667-0.00034555i,0.0014087-2.4163e-05i,0.00093207+0.00069188i,0.00022306+0.00086946i,0.00012751+0.00055513i
