-0.0023211+0.0015226i,-0.0025176+0.0025066i,-0.0018547+0.002505i,-0.0010413+0.002365i,-0.00054275+0.002706i,-0.00060651+0.0017148i,-0.0013123+0.0014322i,-0.00068789+0.0019082i,0.00054642+0.0017122i,0.0012362+0.0010119i,0.00083948-0.00034795i,0.00036629-0.0016122i,0.00030153-0.0019484i,-0.00043706-0.0018642i,-0.00046719-0.00061764i,-0.00035354+4.6849e-05i,-0.0011058+0.00016831i,-0.00056922+0.00033603i,4.9041e-05-0.00022071i,-0.00011593-0.00058417i,-0.0001034-0.00031992i,8.1354e-05-0.00028091i,0.0004532-0.00042412i
0.0015762+0.0013136i,0.0028515+0.00047552i,0.0032531+0.00021897i,0.0022773+0.00056819i,0.0010074+0.00050015i,-0.0006027+0.00047769i,-0.0011968+0.0011297i,-0.00016835+0.0019376i,0.00085877+0.0013874i,0.0012585-0.00011197i,0.00089404-0.00085599i,0.00030713-0.00078979i,3.0005e-05-0.000757i,-0.00041392-0.0002666i,-0.00044731+0.00038284i,-5.3751e-05+0.00070307i,4.9423e-05+0.00051207i,-0.00027593-0.00062521i,-0.00018629-0.00077266i,-0.00031674-0.00045912i,-0.00079609-0.0008429i,-0.00035828-0.00016126i,0.00012198+0.00075091i
-0.00034911+0.00048502i,0.00018673+0.00015701i,-5.0318e-05+0.00067412i,0.00069555+0.00083817i,0.0013754+0.0016319i,0.00046635+0.0019631i,-0.00030226+0.0008416i,1.6016e-05+8.2459e-05i,0.00021224+0.00050864i,0.00023875+0.00036714i,0.00033487-3.8719e-05i,0.00059039-0.00024545i,9.2667e-05-1.2366e-05i,2.826e-05+0.00018914i,0.00011123-2.0583e-05i,-0.00018586-0.000181i,-0.0005515-0.00061268i,-9.7252e-05-0.00057426i,0.00097171-0.00034734i,0.0015191-0.00067629i,0.0013494-0.00054683i,0.00037057+0.00020819i,0.00022202+0.00077974i
-0.00061337+0.0017018i,-0.0006109+0.00090348i,0.00026355+0.00092501i,0.00021479+0.0010461i,-0.00064485+0.00030147i,-0.0010951-0.00065773i,-0.0011429-0.00015389i,-0.00069918+0.00014018i,-0.0002264+0.00011078i,0.00092166+0.00017054i,0.0010244+0.00010981i,0.00010153+0.00013156i,-0.00050192+0.00019228i,-0.00053829-0.00039251i,-0.00063422+0.00018683i,-0.0012+0.0013183i,-0.0012388+0.0013021i,-0.00094815+0.00084716i,-9.3756e-05+0.00078075i,-2.7248e-05+0.00029372i,-0.00055685-0.00049434i,-0.00045513-0.00038538i,-0.00043815+0.00049494i
-0.001231-0.00013703i,-0.0006135-0.00035698i,0.00036938-0.00075586i,0.00094268-0.00022206i,0.00081127+0.00042764i,0.00053264+0.00026478i,-0.00018814+0.00061224i,-0.0007449+0.00048932i,-0.00050563+0.0006348i,0.00042348+0.00066583i,0.00076896+0.00026233i,0.00041819+9.8631e-05i,-2.9946e-05-0.00019534i,-3.7461e-05-0.00045033i,-0.00092328-0.00075434i,-0.00078949-0.00012948i,0.00044796+0.00083288i,0.00075169+0.00090049i,0.00057694+0.00027008i,0.00063848-4.8748e-05i,0.00014291+2.906e-06i,-0.00086094+0.0002105i,-0.00068777+9.6842e-05i
0.00019823-0.0015245i,-0.00052631-0.0010984i,-0.00094504-0.0010186i,5.7233e-05-0.00047552i,-0.00013876+1.4801e-05i,-5.1039e-05+0.00023763i,0.00044631+0.00087378i,-1.5997e-05+0.00082412i,-0.00055669+7.8499e-06i,-0.00026029-0.00064835i,-0.00031873-0.00066266i,-0.0011239-0.00031776i,-0.00090102-0.00047956i,8.331e-05-0.00035111i,0.00029735-0.00016948i,0.00027558-0.00016054i,0.00085253-1.3364e-05i,0.00091681-0.00022051i,0.00034588-0.00040897i,0.00017849-0.000756i,-0.00032167-0.00070509i,-0.0012166-0.000654i,-0.0010124-0.00070021i
-0.001761+0.0013376i,-0.001763+0.0016648i,-0.0005581+0.0018915i,0.00056828+0.0016927i,0.00044585+0.00085732i,0.00028469+0.00066926i,-0.00038643+0.0011219i,-0.00049779+0.00053378i,7.8117e-05+0.00013994i,0.00045637+5.8182e-05i,-4.8494e-05+0.00013725i,-0.00035016-0.0001799i,-4.7765e-05-0.00052461i,0.00018651+0.00034603i,0.00032741+0.00063172i,3.4407e-05+0.00049307i,-0.0004301+0.00086787i,-0.00051433+0.0008251i,0.00016707+0.00061256i,0.00026996-7.3741e-05i,0.00011935-0.00064415i,1.4566e-05-0.00063389i,-0.00034139-0.00039064i
-0.00047996-0.0019462i,-0.00062192-0.0017918i,-0.000616-0.0011359i,-0.0016753+0.00018594i,-0.001598+0.0016351i,-0.00070795+0.0020987i,-0.0010038+0.001703i,-0.00059585+0.0005775i,0.00026068-4.9791e-05i,-0.00011125-0.00019875i,-0.00034243-0.00047549i,0.00038348-0.00020342i,0.00062513+0.0004038i,0.00043368+0.00025121i,0.00052182+0.00037689i,0.00069034+0.00078981i,0.000739+0.00070338i,0.0007547+0.00057701i,0.00014703+0.00069309i,-0.00080497+0.00041016i,-0.0010558+1.633e-05i,-0.00035266-0.00021424i,0.00030604-0.00021895i
-0.00050018-0.00037959i,-0.0027797-1.3884e-05i,-0.0039734+0.00028097i,-0.0036848-0.00022501i,-0.0029472-0.00020198i,-0.0022454+0.0013308i,-0.00092338+0.0014423i,0.00040785+0.00076651i,0.00047576+0.00052005i,-0.00033911+0.00019075i,-0.00066652-3.5525e-05i,-0.00052346-6.8523e-05i,1.2061e-06+0.00030476i,0.00042496+0.00040959i,0.00024376-0.00034644i,4.6619e-05-6.015e-05i,2.8244e-05+0.00072853i,4.8226e-05+0.0006998i,-6.347e-05+0.0005839i,-0.00057641+0.00036304i,-0.0007481-0.00019638i,-0.00022478-0.00045193i,0.00029389+0.00013204i
0.00058821-1.7337e-05i,0.00025583-0.00038318i,0.00049977-0.0020011i,0.0009764-0.0016115i,0.00024392+0.00011364i,-0.0010075+0.00073609i,-0.0013128+0.00084622i,-0.000205+0.0011567i,0.00049298+0.0012173i,0.00017214+0.00026673i,0.00015-0.00046074i,0.000202-6.0659e-05i,-0.00050903+0.00043223i,-0.00082303-0.00018384i,-0.00070375-0.00028902i,-0.00086598-7.9774e-06i,-0.00024519+0.00042831i,0.00047124+0.0008979i,0.00064766+0.0010851i,0.00032824+0.00093382i,-0.0004118+0.0002581i,0.00013899+0.00014139i,0.0004694+0.00056015i
-0.0012366+0.0013289i,-0.00069927-0.00032954i,0.00061619-6.7151e-05i,0.0017462+0.00021782i,0.001741+0.00027175i,0.00075709-0.00016453i,2.1971e-05-0.00047906i,-0.00023551-0.00011987i,0.00025053+0.00088036i,0.00088889+0.0008986i,0.00095634-9.2605e-05i,0.00042474-0.00019632i,0.00022084-0.00022856i,-0.00046773+0.00039351i,-0.00018394+0.00075091i,0.00074435+0.00028072i,0.00090308+0.00031229i,0.00058783+0.00074427i,0.00071301+0.00030943i,0.00077793+0.00013292i,0.00014443+0.00072746i,0.00024105+0.00082982i,0.0002316-9.8499e-05i
