-0.0019348+1.3464e-05i,-0.0017953+0.00077896i,-0.0023252+0.0014503i,-0.0022657+0.00088394i,-0.0014969+0.001842i,-0.00030763+0.0023453i,0.00098015+0.0018001i,0.0016556+0.0007514i,0.0014921+5.4691e-05i,0.00070286-0.00094888i,0.00040305-0.0014032i,2.843e-05-0.00052562i,-0.00045424-0.00018041i,-7.4186e-05-7.4519e-05i,0.00024197+0.00027816i,0.00033354-0.00033196i,0.00096075-0.00022648i,0.000608+0.00061709i,0.00044798-0.00016422i,0.0005163-0.00050389i,-0.00035096-0.00010556i,-0.0012254-0.00016063i,-0.00082024+7.7178e-05i
0.0019306+0.00079989i,0.0022727+0.00035467i,0.0012439-6.2392e-05i,0.00052588-0.0010808i,6.9283e-05-0.0003664i,-0.00024336+0.00056296i,-0.00063468+0.00043579i,-0.00054119-0.00042959i,-4.2585e-05-0.00083951i,0.0002387-0.0011047i,0.00060814-0.0012475i,0.00015071-0.00082314i,7.6031e-05+9.0892e-05i,0.00018647+0.00016386i,0.00011746-0.00028983i,-4.705e-05+2.7261e-05i,-0.00054163+0.0002333i,-0.00036784-0.0001992i,-0.00040026+0.00014519i,-0.00038729+0.00052625i,0.00020719+0.000638i,0.00055186+0.00089154i,0.00040993+0.00022315i
0.00041891+0.0013245i,0.0004624+4.4749e-05i,0.0013737-0.00082664i,0.00062139-0.00075103i,-0.0010281-0.0014585i,-0.00084041-0.00071916i,0.0001012-0.00058861i,0.001139-0.00098083i,0.0012543-0.00089366i,-0.00020031-0.0010003i,-0.0008808-0.00070553i,-0.00021939-0.00031084i,7.1162e-05-6.2442e-05i,-0.00033296+0.00047438i,-0.00021436+0.00072691i,0.00027458-0.00014046i,0.00053371-0.0010833i,0.00069044-0.0016087i,0.00019002-0.0010025i,-0.00049471+0.0002263i,9.892e-05+0.00071456i,0.00087809+0.00021343i,0.0013713+5.8456e-05i
-3.6751e-05-0.00097625i,-0.00089214-0.00077565i,-0.0010966+0.00036427i,-0.00077156+0.00075239i,-0.00089842+0.0011936i,-0.00085802+0.001576i,-0.00060052+0.00062206i,-0.00044489-6.5384e-05i,-0.0009106-3.8233e-05i,-0.0010507+9.1554e-05i,-0.00043951+4.9597e-05i,0.00033921+0.0001155i,0.00039546+2.1901e-05i,0.00027145-0.00030211i,0.00027956-0.00034106i,-7.0737e-05-0.00067368i,-0.00018463-0.00084962i,-9.815e-05-0.00035523i,-0.0002516-3.5584e-05i,-0.00095436-0.00016128i,-0.0013331-0.00013193i,-0.0009743-0.00036611i,-0.00056473-0.00047492i
0.0023772+0.0017673i,0.0025236+0.0015996i,0.0025847+0.0017828i,0.0023854+0.00059313i,0.0014667-0.00026655i,7.3642e-06-0.00067325i,-0.00049664-0.00071947i,0.00033427+0.00012396i,0.0016163+0.00013834i,0.0014878-0.00065695i,0.0009671-0.0004988i,0.00038663-0.00042191i,-0.00059561-0.00091442i,-0.00041435-0.0012651i,0.00054015-0.00042952i,0.0010252+0.00025642i,0.0014283+0.00022295i,0.0010867+0.00034599i,-0.00012566+0.00027938i,-0.00090315+0.00015296i,-0.0012267+0.00023398i,-0.0013635-0.0002381i,-0.00073167-0.00050784i
0.0028112+5.3416e-05i,0.0029892-0.00082109i,0.0018802-0.0021206i,0.00048196-0.0016506i,-0.0010255-0.00034781i,-0.00091846+0.00016284i,0.00039768+7.9568e-05i,0.00055631-0.00032164i,0.00046427-0.00015938i,7.4447e-05-0.00039754i,-0.00055001-0.0011906i,-0.00097598-0.00062127i,-0.00021816+0.00010468i,0.00042302+0.00069145i,-0.00015069+0.001193i,-0.00017192+0.0012577i,0.00033492+0.00051856i,0.0001969-7.083e-06i,-0.00083423-5.7329e-05i,-0.00075407+0.00071494i,0.00025099+0.00073546i,0.00086916+1.8179e-05i,0.00052396+0.00015545i
-0.0016763+0.0028158i,-0.0013479+0.0027257i,0.00056854+0.0012849i,0.0011236+0.0001363i,0.00014183-0.00046816i,0.00028772-0.00014997i,0.00031449+0.00080265i,-5.3339e-05+0.00071618i,4.1082e-05+0.00058586i,0.00017495+1.3479e-05i,0.00015278-0.00029657i,-0.00046038-0.00075447i,-0.00059024-0.00094995i,-0.0002188+0.00012968i,-8.793e-06+0.0012873i,0.00045949+0.0013304i,0.00035234+0.000666i,-0.00023812+6.8628e-05i,-0.00036894+0.00065594i,-0.00036736+0.00067779i,-0.00032385+2.8747e-05i,-0.00048009-2.7192e-05i,-0.00023331-0.00041603i
-0.0012736+0.00058233i,-0.00075618-0.00015013i,0.00073839-0.00050197i,0.00049866+8.6554e-05i,-0.00091632+0.0010918i,-0.00063058+0.0013441i,-4.2133e-05+0.0011489i,6.7553e-05+0.00072691i,0.00058478+0.00024868i,0.00088973-0.00053047i,0.00019102-0.00069727i,-0.00010605-0.0005571i,0.00045161-0.00058481i,0.00057099-0.00014054i,0.0002212+0.00055843i,0.00053392+0.0013077i,0.0013847+0.0010889i,0.0017853+0.0004669i,0.0010279-0.00029446i,0.00020587-0.00084477i,0.00028169-0.00058853i,0.00063177-0.00048078i,0.00054598-0.00011597i
0.000365-0.00014295i,0.00058553-0.00057211i,7.109e-05-0.00080853i,-0.00022144-0.00058326i,-0.00049879-0.0003005i,-0.00037641+0.0007469i,0.00045813+0.0010927i,0.0010029-0.00027969i,0.0005204-0.00078879i,0.0010116-0.00044045i,0.0011827-0.00034179i,0.00043054-0.00050755i,0.00047544-0.00064422i,0.0012508-0.00027257i,0.0011459-0.0003229i,0.00036112-0.00081451i,-0.00074113-0.00034369i,-0.0013822-0.00057118i,-0.00018432-0.0015853i,0.0008907-0.0012394i,0.00078962-0.00035884i,0.00023327-3.617e-05i,3.7777e-06+0.00030175i
0.0013348+0.0012566i,0.0011944+0.00027859i,0.0016173+3.2074e-05i,0.00050548+0.00042859i,-0.00029936-3.35e-05i,-0.00066389+0.00023111i,-0.00051921+0.00053073i,0.000514+0.00046407i,0.0002883-0.00022347i,-6.0492e-05-0.0011214i,0.00014916-0.00091632i,8.2138e-05-0.00031963i,0.00033158-0.00018989i,0.00021941-0.00026494i,-0.00044592-0.00029379i,9.2061e-05-0.00035905i,0.00092697-0.00034667i,0.00033897+0.0002822i,-0.00025817+0.00027676i,0.00025981+0.00018321i,0.00089825+0.00029769i,0.0012735+0.00026506i,0.0012129+0.00091151i
-0.0010659+0.0010413i,-1.6744e-05+0.00059513i,0.0019007+0.00055969i,0.0013831+0.00044554i,-8.4205e-05-0.0001116i,0.00080912+0.00081602i,0.001679+0.0014367i,0.0011524+0.00081294i,-0.00013281-0.00092172i,-0.00064815-0.0012429i,-0.00060956+0.00024217i,-0.00029822+0.00084461i,-0.00015147+0.00056175i,6.734e-05+0.0010369i,0.00011535+0.0015287i,0.00042119+0.00079996i,0.00080754+0.00015515i,0.0008934+0.00022081i,0.00069651+0.00010133i,-4.8313e-06+0.00020614i,0.00020144+3.3838e-05i,0.00044464-0.00012263i,0.00016493+2.5257e-05i
