-0.0040546+0.0011029i,-0.0031573+0.0013408i,-0.002647+0.00062393i,-0.0015907+0.00045905i,-0.0004227+0.00063075i,-0.00043328+0.00015311i,-0.0006316-6.8909e-05i,4.3563e-05+0.00082941i,0.00021801+0.0021243i,-0.00018044+0.0018853i,4.4227e-05+0.00051348i,6.3853e-07-0.00045994i,0.00012563-0.0011793i,0.00018803-0.00056222i,-0.00021459+0.00054953i,0.0004059+0.00083824i,0.00069527+0.00078725i,9.8773e-05+0.00058077i,7.9e-05+9.5755e-05i,0.00021172+0.00020704i,-0.00012569+0.00028084i,-9.2457e-05+0.000173i,0.00074286+0.00035244i
-0.00074482-6.5397e-05i,-0.00012364-9.2141e-05i,-0.00018063+0.00056315i,-0.00073409+0.0010554i,-0.00061558+0.00027675i,-0.00080563-0.00052311i,-0.0018411-5.0336e-05i,-0.0015222+0.00028029i,-0.00070833+0.00088535i,-0.00048414+0.0015258i,-0.00031247+0.00099168i,-0.00021446+9.1888e-05i,0.00020518+0.00031191i,2.4097e-05+0.00020883i,0.00024432+0.00043302i,0.00035318+0.00052826i,-0.0001923-7.5622e-05i,0.00017747-0.00018286i,0.00081133-3.2751e-05i,0.00037708-0.00023655i,6.5715e-05-0.00049621i,0.00018896-0.00047273i,2.6406e-05-0.00061631i
0.0010306+0.0027781i,0.0021087+0.0025606i,0.0022362+0.0017385i,0.0015855+0.00082334i,0.0017814+0.00023306i,0.00083002-0.00016848i,-0.00048545-0.00014117i,-0.0010208+0.0002363i,-0.00080928+0.00051658i,0.0007019+0.00056793i,0.001137+3.4069e-05i,-0.00014514+0.00012012i,-0.00098121+0.00074208i,-0.00055333+0.00098699i,-0.0003306+0.00066205i,3.2557e-05-0.0001022i,0.00025772-7.7727e-05i,1.0459e-05+9.5612e-07i,-0.00012955+0.00020309i,0.00032864-8.9605e-05i,-0.00017922-0.0011531i,-0.00089812-0.0011252i,-0.00056971-0.00027104i
-0.00080483-0.0011475i,-0.0015694-0.00023696i,-0.0019835-0.00023751i,-0.0011323-0.00053492i,-0.0008069-0.00038859i,-0.00036357-0.00033869i,0.00063392+0.00028517i,0.00029456+0.00059789i,-0.0010038+0.00055158i,-0.001191+0.00064004i,-0.0009343+0.00049625i,-0.00061532+0.00059942i,-0.00025914+0.0011337i,-0.000376+0.0012574i,-0.00033619+0.00097263i,-0.00016188+0.00077439i,-0.00010358+0.00049702i,-0.00038826+0.00022607i,-0.00019957+6.1429e-05i,0.00028298-0.00030907i,-0.0003135-0.00024454i,-0.00027229-0.00011643i,0.00021161-3.3699e-05i
0.00028869+0.00019931i,0.00032433-0.00076903i,-7.1206e-05-0.00070336i,-0.00059698-0.00039254i,-0.00069277-0.00014871i,-0.00059367-0.00030276i,-0.00038654-9.6416e-05i,-0.00053528+0.00053338i,-0.00070778+0.00030185i,-0.00058814+0.00031446i,-0.00042222+0.00049829i,0.00038442+0.00076067i,0.00031144+0.00062015i,-0.00020012-0.00049862i,0.0007485-0.0014103i,0.0014158-0.00068609i,0.00024029+0.00042061i,-0.0013516+0.00052223i,-0.00080152+0.00062818i,0.00016725+0.00017279i,0.00017253-0.00056117i,0.0003116-0.00027168i,2.9828e-05+0.00018812i
-0.0013785-0.00068987i,-0.0010784+0.00052669i,-0.00039295+0.0011696i,-0.00030079+0.0015765i,-0.00059221+0.0015975i,-0.00012529+0.0014645i,0.00065111+0.0014098i,-9.1542e-06+0.00071912i,-0.00075201+0.00036112i,-0.001499+0.00088122i,-0.0012739+0.00055122i,-0.00015154+9.4867e-06i,-9.015e-05-0.00020049i,-0.0004754-0.00038485i,-0.000598-8.0463e-05i,-0.00011203+0.00016891i,-0.00051254+3.8717e-05i,-0.00094195-0.00049789i,0.00022616-0.00093255i,0.00088746-0.0007863i,6.0334e-05-0.00026392i,2.394e-05+0.00019809i,0.00061656+0.00021718i
-0.0019746-0.00040209i,-0.002391-0.00038399i,-0.0035031-0.00049783i,-0.0031085-0.00081822i,-0.0020957-0.00051145i,-0.0020622-0.00030169i,-0.0016939-0.00034387i,-0.0014061-0.00056091i,-0.0012118-0.00049817i,-0.00088621+0.00036664i,-0.00033113+0.0012066i,0.00028091+0.00085778i,9.99e-05+0.00043241i,1.8578e-05-0.00022094i,-0.0003463-0.00097575i,-0.00031376-0.0010683i,-5.9611e-05-0.00088791i,-0.00021823-0.00026536i,-0.00039064+0.00013576i,-7.2781e-05+0.00013886i,0.000294+0.00026986i,0.00045098-0.00018334i,0.00032809-0.00049868i
0.00025373-0.00073442i,0.00090527-0.00073171i,0.00038732+0.00013937i,0.00011253+0.00026765i,0.00010298-0.00043856i,-0.00030031-0.00037107i,-0.0011472-0.00044893i,-0.0016049-0.00072744i,-0.00089963-0.00056968i,-6.6768e-05+0.0003048i,-0.00025087+0.0010746i,-0.00083298+0.00070903i,-0.00060875+0.00019633i,3.5517e-05-0.0002729i,-0.00037223-0.00075785i,-0.0003909-0.00031529i,-3.6843e-05+0.00017505i,0.00032085-0.00011677i,0.00041272-0.0001184i,2.9809e-05+0.00023161i,-3.3954e-05-0.00013358i,0.00031647-0.00024502i,0.00027629-0.00050589i
0.00097054+0.0012266i,0.0018362+0.00098921i,0.0016962-5.998e-07i,0.0012642-0.00050297i,0.00061088-0.00031642i,-0.00033667-0.0010337i,-0.0007505-0.00092125i,-0.001136+0.00027025i,-0.0014907+0.00040152i,-0.0012541-0.00038789i,-0.0012328-0.0005342i,-0.0012608+0.00030676i,-0.00084894+0.0012471i,-0.0004711+0.00084966i,5.4141e-05+0.00050668i,1.1936e-05+0.00070526i,-0.00053251+0.00061522i,-0.00017772+0.00064644i,-0.00010112+0.00097124i,-0.00044566+0.00093768i,-0.00046424+0.00086757i,-4.5588e-05+0.00095848i,-0.00013342+0.0001817i
-0.002798+0.00021947i,-0.0031221+0.00070696i,-0.0026332+0.0017688i,-0.0011983+0.0022034i,0.00011901+0.00084131i,0.0010203-0.00098089i,0.00061276-0.0011221i,-0.000106-0.00031635i,0.00020081+0.00021853i,-0.00024981+0.0011567i,-0.0010466+0.001055i,-0.00050737-0.00018658i,0.00018854-0.00037646i,3.0288e-05+0.00037245i,-0.00017427+0.00027723i,-0.00030751-0.0002814i,-0.0002463-0.00076217i,0.0002763-0.0014299i,0.00055402-0.00064482i,7.7404e-05-8.4647e-05i,7.7249e-05-0.00044302i,0.00046628+7.0855e-06i,7.6795e-05+0.00017781i
-0.00091903-0.0008366i,-0.0016485-7.1147e-05i,-0.00205+4.5889e-05i,-0.0011216+0.00029961i,0.0001647+0.00061035i,0.00083664+0.00058017i,-0.00024191+0.00014903i,-0.00037739+0.00052047i,-6.8315e-05+0.0013675i,-0.00032257+0.0011461i,-0.00015174+0.00045346i,0.00040155+0.0001722i,0.0011036-0.00020529i,0.00051007-1.9868e-05i,-0.00019212+0.00089147i,0.00034045+0.00078252i,0.00028823+0.00030387i,-0.00021214-7.3081e-06i,9.2532e-05-0.00038601i,0.00050756-0.00036199i,3.8237e-05+0.00041739i,-0.00016095+0.0002448i,0.00047136-0.00021369i
-0.0014159+0.0014892i,-6.5227e-05+0.0014334i,0.00078717+0.0013507i,0.00060908+0.00085033i,0.00023411+0.00062144i,0.00029629-5.9604e-05i,0.00035137-0.001245i,0.00034006-0.00075726i,6.812e-05-2.036e-05i,-0.00027078+0.00011076i,-0.00025468+4.765e-05i,1.0556e-05-0.00019807i,-2.2325e-05-1.0674e-05i,-0.00011635+0.00041364i,0.00051747+0.0012678i,0.00097552+0.0015594i,0.00076819+0.00092429i,0.00038308+0.00035331i,8.8622e-05+0.00019358i,-0.00017006+0.00032397i,-0.0004894+0.00021743i,6.0374e-06-0.00015838i,0.00065929-0.00015375i
7.9666e-05-0.000419i,0.00048179-4.4221e-05i,-0.00028209+0.0008912i,-0.00027534+0.0007212i,0.00029683-1.1537e-05i,-0.00074865-0.00094579i,-0.001514-0.0006431i,-0.0013041-0.00021766i,-0.00071507+1.978e-06i,-0.00027464+0.0010752i,-0.00062354+0.0011733i,-0.00099445-0.00059009i,3.5614e-05-0.00099939i,0.00037698-0.00027344i,0.00013828-8.2355e-05i,0.00060478-0.00029928i,0.00058157-0.00058295i,0.00010176-9.3423e-05i,0.00053684+4.9862e-05i,0.00020899+0.00028004i,0.00017871+0.00054945i,5.7205e-05+0.00016456i,-0.00055733-0.0007319i
0.00067818-0.00082172i,-0.000646-0.0012916i,-0.001207-0.0012123i,-0.00079955-0.0014668i,-0.00070756-0.001861i,-0.00047957-0.0015417i,-7.3873e-06-0.00098518i,0.0001434-0.00049848i,9.5535e-05+0.00023393i,-0.00068551+0.00035875i,-0.00070312-5.251e-05i,-0.00020728-0.00011672i,0.00018159-0.00047092i,0.00030191-0.00016855i,-1.1825e-05+0.00052094i,0.00025661+0.00077254i,0.00039709+0.00075817i,-0.00010566+0.00074382i,-0.000411+0.00010963i,0.00019429-0.00081395i,0.00044212-0.00073044i,-0.00026383+0.00041906i,-0.00046092+0.00044475i
0.00032651-0.0014166i,-0.00045088-0.0010644i,-0.0008031-0.00055656i,-0.0013059+0.00021993i,-0.0013491+0.00046854i,-0.0015483+0.00010355i,-0.0013873-0.00029049i,-0.00081448-0.00032399i,-0.00074664-0.00011672i,-0.00035471+0.00054892i,0.0002445+0.00090617i,-8.9081e-05+0.00078421i,7.3888e-05+0.00064751i,0.00081055+0.000392i,0.00048586+0.00017723i,0.00053862-0.00020952i,0.00082037-0.00053275i,0.00021088-0.00033695i,-7.904e-05-9.1315e-05i,0.00019381+0.00025116i,1.0754e-05+0.0006256i,-0.00096578+1.869e-05i,-0.001355-0.00091607i
