-0.0025969+0.0013858i,-0.0007052+0.00082037i,-0.0018256+0.0013631i,-0.0020024+0.0012077i,-0.0012429+0.0013231i,-0.00056503+0.0010347i,0.00065143+0.0013523i,0.00099707+0.0013372i,0.0014908+0.00053623i,0.0022444-8.3653e-05i,0.0014122-0.00088766i,0.00084596-0.0014423i,0.00068035-0.0014464i,0.00014526-0.0010202i,-0.00034387-0.00078826i,-0.0011109-0.0004888i,-0.0015613-0.00078102i,-0.0010825-0.00049454i,-0.00035513-5.5719e-06i,-7.2099e-05-0.00030443i,7.6766e-05-0.00041621i,0.00023205-6.9532e-05i,0.00025211-2.9906e-05i
0.0013418+0.00084455i,-0.00010572+0.0016207i,0.00022184+0.002897i,0.00070972+0.0025457i,0.00035589+0.0010929i,-0.00096014-0.0001417i,-0.0016161+0.00060196i,-0.00032214+0.0016289i,0.00081501+0.0020835i,0.00096699+0.001247i,0.00095056-3.9407e-05i,0.0004136-0.00031648i,-3.0686e-05+6.9225e-05i,-0.00052022+0.00075586i,-0.00023172+0.00012472i,0.00044732+9.622e-05i,0.00029661+0.00010817i,-0.0008896-0.00077987i,-0.0020087-0.00034498i,-0.001278+0.00072124i,-0.00022996+0.00066029i,-0.00039727-0.00061874i,-0.0001507-0.0014755i
0.0010274+0.0024742i,-0.00025282+0.0025274i,-0.00015206+0.0014987i,-2.6462e-05+0.0001722i,-0.0005838-0.00012242i,-0.0017248+0.00073746i,-0.00123+0.0010187i,0.00020315+0.0001461i,0.00088183+0.00035302i,0.0013263+0.00033143i,0.0014165-0.0011058i,0.00080294-0.0012147i,6.717e-05+1.45e-05i,6.5259e-05+0.00040583i,0.00033552+0.00064677i,0.00035084+0.00073762i,0.00029825+7.7692e-05i,0.00038291+3.6275e-05i,-0.00018687-7.2743e-05i,6.5004e-05-0.00055981i,0.0008333+6.4579e-06i,0.0012004-6.7417e-05i,0.00048286-0.00070547i
0.00019745+0.0009237i,-0.00046245+0.00083234i,-6.6996e-05-0.00018767i,-0.00033921-0.00015606i,-0.00072115+0.00080797i,-0.00082153+0.0015766i,-0.0011066+0.0011762i,-0.0010117+0.0011409i,-0.00036655+0.00039156i,0.00026961+0.00044164i,0.00034302+0.00098705i,0.00063881+0.0006131i,0.00037152+0.00066121i,0.00013129+0.00058165i,0.00014584+0.00051749i,4.4064e-05+0.00025707i,4.3706e-05-0.00014328i,3.9787e-05+0.00041022i,-0.0001192+0.00059538i,-0.00035356+0.0005741i,-0.0004995+0.00056154i,0.0002167+0.00020572i,0.00045829-0.00019291i
-0.00030942+0.00083387i,-0.00054465+0.0023933i,-0.00083465+0.0028731i,-0.000582+0.0024396i,-0.00056387+0.0017174i,0.0001424+0.0007489i,0.0010814+0.00041239i,0.0010234+0.00057944i,0.00035095+0.00098143i,0.00021692+0.0010772i,0.00065007-0.00046272i,0.00051265-0.00095408i,-0.000556-0.00032314i,-0.00082127-0.0001874i,-5.4473e-05-0.00083592i,0.00061413-0.00053245i,0.00058578-0.00073143i,0.00063059-0.0006008i,0.00073846+0.00017331i,0.00042415+0.00033776i,-0.00023052+0.00019823i,-0.00027379+0.00027089i,0.00016522-6.5247e-05i
-0.00064948-0.00075833i,-0.0012232+0.00060694i,-0.0021157+0.0011921i,-0.0013324+0.0012526i,-0.00058752+0.00095814i,-0.00081745+0.00079787i,0.00018209+0.0010988i,0.00080405+0.0011638i,0.00072967+0.0011897i,0.001217+0.00013055i,0.0011334-0.0004795i,0.00069147+7.6138e-05i,0.000454+0.00010405i,-0.00076605+0.00060973i,-0.0010109+0.00077876i,-0.00060317+0.00028541i,-0.00085077-0.00061314i,-0.00098355-0.0013935i,-0.00055354-0.001358i,0.00062646-0.0010174i,0.00074995-0.00049173i,-7.8484e-05-0.0004691i,-0.00048816-0.0010655i
1.2499e-05-7.5309e-06i,-0.0001311+0.00090921i,0.00081649+0.001216i,0.00088447+0.0025168i,0.00026452+0.0027495i,0.00019196+0.0018366i,0.00081111+0.0015087i,0.0013023+0.0014328i,0.00099691+0.00083152i,0.00093597+0.00013844i,0.0005319+6.7614e-06i,0.00038237+0.00037562i,0.0007539+0.00022019i,0.00079421+0.00029671i,0.00019083-7.9971e-05i,-0.00087622-0.00044859i,-0.0015408+0.00024598i,-0.0012303+0.00087975i,-0.00037953+0.00047577i,2.6971e-05-0.00054548i,0.00046141-0.00029209i,0.00060552+0.00075561i,2.4513e-06+0.00016188i
0.00077635+0.0008408i,0.00088091+0.0018377i,0.00045835+0.0020091i,-0.00040792+0.00022173i,-0.00038284-0.00037354i,-0.00094992+0.0002839i,-0.0010632+0.00065758i,0.00040654+0.00095982i,0.0011684+0.00097743i,0.00045913+0.00024787i,-0.00014397-0.00068461i,-0.00012656-0.00086779i,-2.1188e-05-0.00015095i,-0.00027917+0.00031381i,0.00013018+0.00048242i,0.00079356-0.00044658i,-0.00046729-0.00024662i,-0.00091981+0.0009709i,0.00069301+0.00075905i,0.00096923-0.00027974i,0.00066713-0.00088067i,0.00029355-0.00038736i,-0.00013218-0.00080607i
-0.00036601-0.00028819i,9.5911e-05-0.00035298i,-6.7509e-05+0.00045072i,-0.00010146+0.0016788i,-6.0222e-05+0.0022957i,0.00042492+0.002177i,0.0013861+0.0017156i,0.0014025+0.0015128i,0.00083682+0.00094797i,0.0001701+0.00022175i,-0.00029792+0.00014239i,-0.00017299+0.00018404i,0.00043688+6.0206e-05i,0.00060129+0.00032893i,-3.2313e-06+0.00048856i,-8.2443e-05-0.00016481i,0.00042922-0.00041097i,-0.00025046-4.4522e-05i,-0.00078448+4.0159e-05i,-0.0003307+5.3086e-05i,-0.00063769+4.9408e-05i,-0.00073613-0.0010808i,0.00028653-0.0013105i
-0.00070874-8.2442e-05i,0.00022946+0.00070067i,0.00070528+0.0013631i,-0.00023713+0.0017432i,-0.00085384+0.0015319i,-0.00061718+0.0012831i,0.00038007+0.0015635i,0.00058608+0.0018735i,0.00058656+0.0010492i,0.00018133-1.7437e-05i,0.00025959-0.00040035i,0.00058647-0.00018841i,0.00033957-0.00030802i,-0.00022178-0.0009122i,2.2418e-05-0.00088829i,0.00057414-0.00046371i,0.00035827-0.001011i,-0.00075354-0.0010372i,-0.00090743-0.0004342i,0.00070677-0.00068818i,0.00079264-0.00080615i,0.00039032-0.00031449i,0.00043093+8.3115e-05i
-0.00072909+0.0021043i,-0.00075291+0.0025264i,-0.00053967+0.0016497i,-0.0005428+0.0014367i,-0.00090182+0.00084797i,-0.0012059+0.00068266i,-0.00117+0.0015123i,0.0002452+0.0014993i,0.00081192+0.0008405i,0.0007951+0.00021318i,0.00016055+2.6997e-05i,-0.0013771+0.00018995i,-0.00145+0.00025039i,-0.00074486-0.00012244i,-0.00037303-3.1388e-05i,-0.00096253-0.00027367i,-0.0014119-0.00046366i,-0.0013881-0.00030951i,-0.00092984+3.3018e-05i,-0.0001987+0.00058691i,0.00018729+0.0001111i,-0.00016276-0.00041319i,-0.00060022-0.00024979i
