-0.0011345+0.0011483i,-0.0011144-0.00049693i,-0.0012906-0.0017028i,-0.0014215-0.0012233i,-0.0014936-0.00028576i,-0.0021366+0.0014347i,-0.0020206+0.0026342i,-3.8932e-05+0.002511i,0.0010803+0.0014824i,0.00069757+0.00018565i,0.00041727-0.00041909i,-5.7472e-05-0.00023998i,9.0941e-05+2.9692e-05i,-0.00048041-0.00015745i,-0.0012745-0.00091187i,-7.021e-05-0.00057501i,0.00051117+0.00010704i,-0.00056983+1.2779e-05i,-0.00029131+0.00012315i,0.00049565+0.00044314i,0.00083147-2.3003e-06i,0.00065778-0.00027235i,7.3602e-05-0.00066898i
-0.00043327-0.0018013i,-0.0011353-0.001627i,-0.0015652-0.00015645i,-0.00098351+0.0010551i,-0.00069632+0.0016736i,-0.00084342+0.0016356i,-1.1742e-05+0.00049889i,0.00054618-8.6462e-05i,-0.00076743+9.3149e-05i,-0.001291+0.00029813i,-0.0002959+6.2309e-05i,-5.6183e-05-1.1647e-06i,0.00027323+2.8817e-05i,0.00058592+0.00041818i,0.00027339+0.00062541i,-9.8065e-05+0.00016406i,-0.0008717+0.00013287i,-0.0006607+0.00024894i,0.00049124+8.4011e-05i,0.0011085-6.6353e-05i,0.000383-0.00039976i,-6.6001e-05-2.4031e-05i,0.00031723+0.00037393i
-0.0037616+0.00055657i,-0.003382+0.0020765i,-0.002276+0.0032135i,-4.1585e-05+0.0030432i,0.00099346+0.0011293i,0.00034734-0.00046454i,-0.0009105-0.00082268i,-0.0011841-0.0014219i,-0.00017685-0.00077545i,-9.1803e-05+0.00053225i,-0.0002726+0.00062679i,0.00012059+9.4962e-06i,0.0005145-0.00079544i,0.0010317-0.0014523i,0.001341-0.0013149i,0.00039713-0.0005118i,-0.00039946-7.4089e-05i,-0.00033147+0.00034012i,-0.0003954+0.00015927i,-0.00041924-0.00018468i,-0.00053002+0.00033478i,-0.00060813+0.0015064i,6.3381e-05+0.0017846i
0.0015758-4.4783e-05i,0.00051332-0.0010558i,-0.00037953-0.00053819i,-0.00020569+0.00046699i,-0.00073366+0.00052179i,-0.0021701+0.0008973i,-0.0019789+0.0012589i,-0.0014495-0.00010817i,-0.00083333-0.0011859i,-0.00051542-0.00042597i,-8.0887e-05-2.0309e-05i,0.0002575+0.00056521i,-0.00027828+0.0019563i,-0.00015375+0.0022114i,0.00056878+0.0006214i,0.00055918-0.00039551i,0.00023632+5.8426e-07i,0.00020125+1.1162e-05i,0.00066117-0.00022841i,0.0011798-0.00047573i,0.0013015-0.00069433i,0.0010737-0.00092151i,0.00080326-0.00090557i
0.0029382+0.00087729i,0.0018296+0.00020478i,0.0011862-0.00042481i,-0.00010731-0.00050152i,-0.00096115-0.00032441i,-0.0012948+0.0010811i,-0.00085873+0.0015486i,-0.00046223+0.00017374i,2.8374e-05-0.00061439i,-0.00026503+2.5283e-05i,-0.00062443+0.00071413i,-0.00035611+0.001202i,5.7e-05+0.0012493i,-0.00046203+0.00093486i,-0.00083779+0.00013007i,-0.00025686-0.00038777i,-0.00062497-0.00020114i,-0.00068645+0.00016548i,-0.00035306+0.00019988i,-0.00045354-0.00039108i,-0.0001156-0.00011016i,0.00018067+0.00060714i,-4.3538e-05+0.00037245i
-0.00073344-0.0013891i,-0.0013192-0.001752i,-0.0015433-0.0016815i,-0.0010144-0.00043969i,-0.00083456+0.00014937i,-0.00099548-1.8256e-05i,-0.00062466+9.0906e-05i,-0.00056699+0.00037208i,-0.00038097-0.00027974i,0.00064535-2.7592e-05i,0.0013281+0.00051714i,0.00073723+0.00058351i,0.00033897+0.00053583i,6.0323e-05+0.00084631i,-0.00011254+0.0015225i,7.4049e-06+0.0016682i,-0.00066889+0.00057776i,-0.00086529-0.00080488i,-0.00019931-0.00078629i,1.3441e-05-0.00023644i,0.00033607+0.0003284i,0.00026318+0.00060238i,-0.00048397+0.00032627i
-0.0017374-0.00027996i,-0.0014519-2.5469e-05i,-0.00099835+0.0009635i,-0.0012435+0.0013154i,-0.002179+0.00075937i,-0.0034271+0.0005781i,-0.0024454+0.00031928i,-0.00060723+0.00029719i,0.00016378+0.00076893i,3.9516e-05+0.00033124i,0.0001613+0.00041699i,4.338e-05+0.00083729i,-9.1819e-05+0.00060428i,0.00054729-0.00017703i,0.00028729-0.00036242i,-0.00057408-0.00046091i,-0.00080957-0.00029202i,-0.00071404-0.00038059i,-0.00053039-0.00050902i,-0.00021827-5.1565e-07i,-0.0003213-0.00042586i,-0.00030658-0.00056947i,-0.00024181+0.00043517i
-0.0014708+0.0011803i,-0.00056679+0.0013301i,0.00063048+0.002143i,0.0014259+0.0022622i,0.0011144+0.00079543i,0.00011067-0.00036653i,-0.0010254-0.00071699i,-0.0010485-0.00073374i,0.00047491-0.0001763i,0.0010232-2.2966e-05i,0.00028907+2.9896e-05i,0.00056297+0.00030036i,0.00069187-6.9844e-05i,-3.1949e-05-0.0005653i,-0.00026859-0.0010469i,0.00025826-0.0014i,0.00053665-0.00084696i,0.00081309-0.00065809i,0.0011643-0.00027046i,5.4695e-05-0.0004652i,-0.00023213-0.00060449i,-2.9059e-05+0.0002622i,-0.00044105-3.2843e-05i
0.001221-0.0010269i,0.0019079-0.00050382i,0.0015454-0.00069203i,8.1761e-05-4.5181e-05i,-0.0012429+0.0010952i,-0.0012925+0.0007913i,1.7991e-05+0.00060721i,-0.00016276+0.0003668i,-0.00081739-0.00036164i,-0.00078519-0.00026647i,-0.00040877+0.00077462i,-7.3787e-05+0.00074388i,-7.0435e-05+0.00030911i,-0.00035404+0.00011951i,-0.0001835-0.00034303i,0.00094249-0.00079248i,0.001376-0.00099294i,0.00083901-0.00081779i,0.00041425-0.00076409i,0.00061592-0.00049421i,0.00070175-0.00060648i,0.00028738-0.0010903i,-5.7796e-06-0.00036324i
-0.002132+0.00013548i,-0.00236-0.0014284i,-0.0027916-0.0021892i,-0.0022172-0.001587i,-0.0011051-4.8364e-05i,-0.0009084+0.00091362i,-0.0012214+0.0004701i,-0.0011507+0.00018299i,-0.00036686+0.00048483i,2.3352e-05+0.00028275i,1.3979e-05+0.0005117i,3.9258e-05+0.00039887i,-0.00032139+0.00035261i,-5.4647e-05+0.00038171i,0.00046957-0.00030557i,0.00063391-0.0012076i,0.00031415-0.00098044i,-0.00033247-0.0004815i,-0.000667-0.00046395i,-0.00010758-0.00028783i,6.2658e-05+0.00046847i,-0.0006181+0.00012907i,-0.00037082-0.00024367i
0.00011061-0.00052611i,-0.0014353+0.0002078i,-0.0016398+8.2486e-05i,-0.001551-0.00018828i,-0.0019143-4.6707e-05i,-0.0016036-7.6714e-05i,-0.0010489+2.7297e-05i,-0.00076624-2.0238e-05i,-0.00024947-0.00042751i,0.00042179+0.0003782i,0.00076339+0.00069511i,0.00076121+0.00039831i,0.00032044+0.00066252i,0.00061275+0.00085401i,0.00096753+0.00128i,1.1365e-06+0.00076324i,-0.00059006-0.00030852i,-0.00026501-0.0003917i,0.00021583-9.309e-05i,-0.0003411-5.7686e-06i,-0.00058754+0.0002336i,-0.00053594+6.1435e-05i,-0.0010169-2.7163e-05i
