0.00090892-0.00079819i,-0.00018606-0.0014019i,-0.0012084-0.0019495i,-0.0018507-0.0010332i,-0.0015747-0.00059874i,-0.000774+0.00053963i,0.00059546+0.0016635i,0.0012385+0.0021584i,0.0010506+0.0013772i,0.00018301-0.00010538i,-0.00014925-0.0007144i,-0.00015442-0.0003436i,-0.00017916-3.2954e-06i,0.00070631+0.00093615i,0.00044852+0.0018585i,-0.00071446+0.0009435i,-0.0011751-0.00045239i,-0.00066619-0.0008677i,0.00012284-0.00094527i,0.00021745-0.0010347i,-0.00031341-0.00091623i,-0.0008136-0.00051702i,-0.00079872+1.1569e-05i
-0.00046504-0.000311i,-0.00086906+0.00088895i,-0.0011133+0.0016806i,-0.0010562+0.001584i,-0.00074509-0.00012098i,-0.00020649-0.0020118i,-0.00039244-0.0020612i,-0.0003387-0.00066514i,3.6014e-05+0.00022691i,-0.00020999+0.00056036i,0.00084509+0.00063654i,0.0013926+0.00057008i,0.00034103-0.00011301i,0.00019722-0.00038978i,0.001211-0.00045763i,0.00080942-0.00027553i,-0.00027082+0.00022426i,-0.00065698+0.00042379i,-0.00082435+0.00019044i,-0.00030551+6.0749e-05i,-0.00024805+0.00047567i,-0.00022969+0.00085463i,2.8322e-05+0.00079016i
-0.00084787-0.0013506i,-0.0005607-0.001252i,0.00016771-0.00045207i,0.00040146-0.00023747i,0.00075559+0.00041771i,0.00015009+0.00056057i,-0.00021994+0.00024349i,-8.6483e-05-0.00055204i,3.0206e-06-0.00064848i,0.0010408+8.3406e-05i,0.0015134+0.00067535i,0.0011036+0.00052914i,0.00081115+1.2957e-05i,0.00070413-0.0001314i,0.00071251-0.00034305i,0.00086696-0.00044613i,0.00059205-0.00019707i,0.00017979+0.00020416i,-0.00023514-0.0003454i,-4.6579e-05-0.00075869i,-5.6378e-05-0.00040148i,6.8441e-05-0.00071914i,0.00031267-0.00048946i
0.00025565-0.0015347i,-0.00036347-0.00086277i,-0.00037034+0.00017676i,0.00050954+0.00024372i,0.00070173-8.2234e-05i,-0.00032976-0.00032944i,-0.00084131+0.00014745i,-5.7775e-06+0.00088132i,0.00064216+0.0010209i,0.00073419+1.2252e-05i,0.00022357-0.00041275i,-0.0001888-0.00024921i,0.00032995-0.00092407i,5.6604e-06-0.00062425i,-0.00091027+0.0001277i,-0.0012187+0.00041009i,-0.00075228+0.00045322i,-0.00049264-9.1683e-05i,-0.00014304-0.00045896i,0.00056308-0.00049625i,0.00057699-0.00056835i,0.00075115+3.2336e-05i,0.00093686+0.0003649i
0.00044886-0.00086833i,-0.00094076-0.0010636i,-0.0012958-0.001608i,-0.0010739-0.0009279i,-0.0012601-0.00050443i,-0.00037237-0.0010503i,0.00038571-0.001516i,0.00021481-0.0013669i,-3.2837e-05-0.0010229i,-0.00045682-0.00074624i,-0.00046594+7.5713e-05i,-0.0003234+0.00077925i,-0.00051192+0.00055189i,-0.00060694+4.7043e-05i,-0.00014259-0.00020562i,0.0003079+2.3215e-05i,0.00069854+0.00018521i,0.00073754+9.1513e-05i,-0.00031992+0.00015419i,-0.00058814-0.00025373i,-0.00018617-0.00042832i,-3.6135e-06+0.00014797i,-0.00051024+0.0013492i
0.0015651-0.0016427i,0.0010912-0.0021211i,0.00010404-0.0019367i,-0.00072401-0.0015575i,-0.00052477-0.00053457i,0.00048877+0.00021078i,0.00051111+0.00015535i,3.1347e-05-0.00057639i,0.00066189-0.00080344i,0.00097896+0.00070053i,0.00056429+0.0014196i,-0.00023295+0.00090763i,-0.00033141-0.00023412i,-9.98e-06-0.00018299i,0.0003333+0.00037119i,0.00063963-8.7738e-05i,0.00057032-0.00020586i,0.00045668+0.00026956i,0.00012151+0.00076863i,4.6498e-05+0.00069843i,0.001014-0.00025386i,0.00096259-0.00067987i,0.00089793-0.00031621i
0.0015104-0.0014522i,0.0019475-0.0022953i,0.0012621-0.0017274i,0.0010361-0.00042928i,0.00084603-0.0008143i,0.00048621-0.00034543i,0.00061643+0.00061761i,0.00064956+0.00052692i,0.00028609+6.7789e-05i,-0.00012508-0.00021997i,-0.00073592-0.00057659i,-0.0010352-0.00077124i,-0.00055978-0.00079349i,-0.0010649-0.00052373i,-0.0010514+2.6673e-05i,-0.00040457+0.00013823i,-0.00055988+0.00030856i,-0.00020553-0.00030983i,0.00042-0.00080993i,-0.00027386-0.00029247i,-0.0007734-0.00026623i,0.00022717+7.6214e-06i,8.675e-05+0.00018446i
-5.6539e-05-0.0025925i,-0.00099188-0.0025272i,-0.0011187-0.0017159i,-0.00044948-0.0014634i,5.185e-05-0.00094703i,0.00053852-0.00055828i,0.00054889-0.00044546i,2.3365e-05-8.6156e-05i,0.00041213+1.9675e-05i,0.00085583+0.00018374i,0.00033213+0.0004061i,-0.00029893+0.00010851i,0.00016932-0.00010061i,0.00055461+0.00072817i,0.00016168+0.001263i,-6.6508e-06+0.00070704i,-1.4071e-05+0.00032622i,0.00022391-0.00056035i,0.00018047-0.0010779i,0.00011268-0.00042476i,-0.0003881-0.00054219i,-0.0002657-0.00060201i,0.00044561-0.00034353i
-0.00013672+0.00043716i,-0.000949+4.3852e-06i,-0.0013828+0.00031381i,-0.0003994+0.00078161i,0.00020386+0.0011023i,0.00019733+0.00070935i,0.00043714-0.00057149i,0.00038596-0.00063622i,0.00021239-6.5189e-05i,7.8986e-07-0.00021882i,7.2079e-06-0.0003066i,-0.00025422-0.00037247i,-0.00030197-0.00010163i,-9.4252e-05+0.00036812i,0.00019966+0.00091232i,0.00036414+0.00098356i,0.00017331+9.8843e-05i,-0.00033819-0.00065273i,-0.00049788+0.00016045i,-0.00038526+0.00085683i,-0.00013686+0.00095872i,0.00057822+0.00082287i,0.000215+0.00028879i
0.0024193-0.00019543i,0.0019317-0.0011129i,0.00085627-0.0010707i,2.0689e-05-0.00067571i,-0.00011522-0.00078251i,-0.00061614-0.0011534i,-0.00036824-0.00074077i,0.0004662-0.00040127i,0.00092881-0.00021827i,0.00052278+0.00028334i,-0.00026689+0.00037066i,-0.0002911+0.00070231i,-0.00034702+0.00055224i,-0.00025138-0.00014364i,-0.00060419-0.00051596i,-0.00026113-0.00059734i,0.00080608-0.00029218i,0.00025688+0.00015701i,-7.3631e-05+0.00071207i,6.0961e-05+0.00028887i,-0.00023795+8.252e-05i,-0.00023784-0.00015058i,-0.0005498-0.00080302i
0.0015233+0.00035513i,0.0015113-0.00039258i,0.00029166-0.00040173i,-0.00056011-0.00042878i,-0.00083488-0.0013398i,-0.00052954-0.0012472i,0.00048914-0.00035423i,0.00073338+0.00047466i,0.00022006+0.00060521i,-6.3551e-05-0.0005356i,0.00019116-0.0011187i,0.00020225-0.00089182i,4.725e-05-0.00010268i,0.00054835+0.00013037i,0.00025605+0.00010584i,-0.00036672+0.0001022i,0.0005086-1.6238e-06i,0.00013587+0.00011824i,-0.00066653-0.00030693i,-0.00024672-0.00026707i,0.00011171+6.1905e-05i,0.00047628-0.00029581i,0.00047829-0.00064023i
