-0.0017445+0.00049241i,-0.0023896+0.00077823i,-0.0018416-8.6649e-05i,-0.0011562-0.00049562i,-0.0016032-8.3772e-05i,-0.002512+0.0013017i,-0.002024+0.0023682i,-0.00011158+0.0013954i,0.0010114-4.5796e-05i,0.00065712-0.00105i,0.00037613-0.00087994i,6.3123e-05-0.00040503i,-0.00020624+0.00013693i,0.00073118+0.00016889i,0.0012739-6.0265e-06i,0.0011292+0.00055683i,0.0015741+0.00055824i,0.0010854+6.4572e-05i,0.00066405-4.3243e-05i,0.00070756+0.00013365i,0.0006429-3.69e-05i,0.00083017-0.00036887i,0.00073265-0.00022572i
-0.0012962-0.00026334i,-0.0024329-5.0241e-05i,-0.0019791+0.00050859i,-0.0011629+0.0008237i,-0.0013643+0.00088254i,-0.0012474+0.0008902i,-0.00089902-3.814e-05i,-0.00090975-0.0011315i,-0.0017136-0.0015992i,-0.0013096-0.00055809i,-0.00017412+0.00032299i,0.0008926+0.00019361i,0.0013029+0.00097446i,0.0013357+0.00052709i,0.0017981+0.00020681i,0.001242+0.00092406i,0.00063543+0.00040491i,0.0010866-7.5882e-05i,0.0011675+0.00024997i,5.4433e-05+0.0010228i,-0.00040745+0.0016685i,-0.00026656+0.00098887i,-1.1908e-05+0.00016258i
-0.0017822+0.00098495i,-0.00093681+0.0017188i,-0.00030541+0.0012607i,-0.00039317+0.0004726i,-0.00036763+0.00030404i,-0.00038457+2.6041e-05i,-0.0012926-0.00011078i,-0.0020023+0.00021128i,-0.0014869+0.00028676i,-0.00049479-0.00012606i,-5.2991e-05-0.00089331i,4.6364e-05-7.4467e-05i,0.00032791+0.00036272i,0.00063543+6.5381e-05i,0.00059985-0.00024854i,0.00083668-0.00048993i,0.00020132+0.00021741i,-0.00051625+0.00057841i,-0.00087495+0.00016609i,-0.0013606+0.00015261i,-0.001011+0.00046506i,-0.00033745+0.00027714i,0.00017285-0.00049941i
-0.00082592+0.00092886i,-0.00074425+0.0013929i,0.0005281+0.0011661i,0.00050682+0.0011734i,-0.0012861+0.00096447i,-0.0020562+0.00062118i,-0.0018793-0.00010459i,-0.0014042-0.00057733i,-0.0011287-0.00055075i,-0.00048665-0.0011781i,0.00010557-0.0015581i,-0.000505-0.0005955i,-0.00056467+0.00047488i,0.00046881+0.00016205i,0.00090767-8.9185e-05i,0.00094576+2.9534e-05i,0.0009761+0.00016041i,0.00057961+0.00077936i,-0.00034263+0.0010871i,-0.00059211+0.00018447i,6.355e-05-0.0008723i,0.00054384-0.00053195i,0.00088223+0.00052513i
0.00033361+0.00051143i,-0.00017294+0.0014153i,-0.00044832+0.00089513i,0.00048334-0.00080628i,-0.00043647-0.0012964i,-0.0019554-0.00047039i,-0.0016697-0.00037703i,-0.0010475-0.00035932i,0.00039243-0.00010654i,0.00065865-9.5202e-05i,-0.00041629-0.00016739i,-0.00054894-0.00017444i,-0.00054414+0.00018506i,-0.00072491+8.8938e-06i,-9.8691e-05+4.3623e-05i,0.001487+0.00020163i,0.0016615-0.00039005i,0.00047451-0.00074129i,-0.00018937-0.00048564i,-0.0004649-0.00072123i,-0.00026281-0.00063573i,0.00050161-0.00047187i,0.0012043-0.00073059i
-0.002369+0.0014905i,-0.0019613+0.0025547i,-0.0010575+0.0031307i,-0.00017681+0.0018563i,4.6377e-05+0.00024476i,-0.00043715+0.00028804i,-0.00091188+0.00018116i,-0.0009494-0.00032841i,-0.00082157-0.00055096i,0.00014251-0.00071736i,0.00071989-0.00032658i,0.00027198-8.533e-06i,-6.1521e-05+7.4533e-05i,0.00088776+0.00050835i,0.0017358+0.00063882i,0.0015042+0.00040226i,0.0013541+0.00014559i,0.00087812+0.00037363i,0.00020767+0.00034131i,2.6539e-05+8.2562e-05i,0.00066281-5.0699e-05i,0.001329-5.2588e-06i,0.00055157+0.00066011i
0.00094481+9.8462e-05i,0.00080954-4.2019e-05i,0.00090076-0.0013469i,0.00097742-0.001652i,-0.00032609-0.0011256i,-0.001178-0.00062729i,-0.00081239+0.00026088i,-0.00036051+0.00084216i,-0.00023533+0.0009413i,-0.0010943-0.0001109i,-0.00092404-0.00079632i,-0.0001568-4.8986e-06i,-0.00070806+0.00098064i,-0.00081944+0.00090262i,0.00012986+0.0007668i,0.00056348+0.0006508i,0.00049185+7.307e-05i,6.8269e-06+9.0723e-05i,-0.0004986+0.00045583i,8.334e-06+0.0004999i,0.00044949-0.00042672i,-0.00019053-0.0003596i,-0.00017619+0.00016791i
6.7654e-05+0.0013689i,-0.00065202+0.0026987i,-0.00092848+0.0030045i,-0.00059087+0.0019397i,-0.00097337+0.00045688i,-0.0012308+0.00035457i,-0.001407+0.00025798i,-0.0017226-0.0001819i,-0.00059495-0.0009049i,-4.6257e-06-0.0012405i,-0.00037504-0.00073569i,-0.00047425+2.152e-05i,1.9785e-06+0.00027476i,-0.00021416+1.2458e-05i,-0.0010663+0.00022591i,-0.00094537+0.00047061i,-0.00062147-1.8194e-05i,8.8869e-05-0.00017077i,0.00029917+0.00043758i,-0.00029928+0.00044338i,-0.00021459-0.00031196i,0.00067907-9.3867e-05i,0.0010849+0.00017996i
0.00048507+0.0010012i,0.0013878+0.00078213i,0.001247-0.00022585i,0.00044772-8.1973e-05i,-0.00097679+0.0005345i,-0.0017121+0.00013065i,-0.0014845+0.0003022i,-0.0015099+0.0003519i,-0.00099883+0.00010678i,-0.0003296+0.00062133i,0.00021707+0.0005156i,0.00083082+0.00033726i,0.00021319+2.4895e-05i,0.000278-0.0005664i,0.00058723-0.00050146i,1.3527e-05-0.00040255i,0.00012226-0.00036002i,8.7279e-05+0.00059169i,0.00020379+0.00093257i,0.00092244-4.5508e-05i,0.0012518+5.2912e-05i,0.000411+0.00027641i,-5.8655e-05+0.00010973i
-0.0014+0.00079392i,-0.0022504+0.0011909i,-0.0011575+0.0022482i,-0.00051904+0.0024012i,-0.00056015+0.0012795i,-0.0010351-0.00022114i,-0.0014084-0.0010727i,-0.00041996-0.0010066i,0.00031814-0.00043526i,0.00028512-0.00055643i,-0.00010558-0.00047148i,-2.4248e-05+0.0010926i,0.00019511+0.0013091i,0.00041026+0.0002423i,0.00071843+0.0006826i,0.00019751+0.00048177i,-0.00069327-0.00036825i,-0.00084674-0.00069591i,-0.00042847-0.00055549i,-0.00023495-3.1304e-05i,-0.00011318-2.0289e-06i,-0.00016038-0.00022055i,-0.00038295-0.00082208i
-0.0015699+0.00021522i,-0.0011187+0.00077823i,-0.0021202+0.0010119i,-0.0026242+0.0011428i,-0.0013772+0.00119i,-0.00072269+0.00082324i,-0.00098964+0.00029133i,-0.001104-0.0001441i,-0.00064495-8.1951e-05i,1.5659e-05-0.00021439i,0.00023843-0.00012552i,0.00054762+0.00025512i,0.00032497+0.0004592i,0.00079574+4.4498e-05i,0.0013463-5.4072e-05i,0.00066225+0.00042727i,0.00079037+0.00020141i,0.00059189+0.00019621i,7.0018e-05+5.7104e-05i,0.00010082-0.00041432i,-0.00030329-9.6378e-05i,-0.0011011+0.00086221i,-0.0017019+0.0019093i
-0.0012566+0.00039602i,-0.0011809+0.00056221i,-0.00070825+0.0012954i,-0.00031614+0.0017559i,-0.00065908+0.001488i,-0.0012656-0.00026226i,-0.0013265-0.0013557i,-0.00079674-0.00054766i,-0.00029991+4.901e-05i,-0.00024374-9.0543e-05i,-0.00036409+0.00015307i,-3.0496e-05+0.0011487i,0.00085109+0.0013493i,0.0016223+0.00063761i,0.0019271+0.0011362i,0.0011965+0.0011305i,-4.3181e-05+4.0218e-05i,-0.00027486-0.00059565i,0.00020015-0.00050212i,0.00014426+6.2278e-05i,-0.00043597-0.00012472i,-0.00095356-0.00049466i,-0.0008203-0.00080058i
-0.00045225-0.0017743i,-0.0017878-0.00068567i,-0.0025213-0.0013164i,-0.0020479-0.00093946i,-0.0016898+0.00027403i,-0.00061686+0.00099583i,0.00022247+0.001429i,1.6948e-05+0.0010394i,-7.645e-05+0.00027699i,-0.00070891-0.0007322i,-0.00095855-0.00090544i,-0.00025239-5.0103e-05i,-0.00046654+0.0011118i,-0.00036456+0.001209i,4.0698e-06+0.00062144i,0.000207+0.00050558i,0.00036704+0.00016057i,1.7591e-05+0.00022551i,-0.00016057+0.00028921i,0.00010592+0.0001017i,0.00025386-0.00029087i,-0.00042612-0.00032069i,-0.00090951-0.00050354i
-0.00052882+0.00055682i,-0.00070203+0.00097875i,-0.00071909+0.0012367i,-0.0005794+0.0017104i,-0.00087368+0.0015849i,-0.0016272+0.0011247i,-0.0017924+0.00042098i,-0.0011741-1.2008e-06i,-0.00025064+0.00010599i,0.00014404-0.00024762i,0.00024819-0.0005676i,0.00032221-0.00055459i,-7.314e-05+3.0741e-05i,-0.00021071+0.00039198i,0.00082219-6.2343e-05i,0.0015137-0.0001986i,0.00077544-0.00013668i,-0.00042292+0.00026439i,-0.0014369+0.00050205i,-0.0013163-0.0003585i,-0.00032414-0.000513i,5.8499e-05+0.00014392i,-0.00031873+0.00087337i
-0.00013148+0.00013022i,-3.0105e-05+0.00039718i,0.00083223+0.00021223i,0.00057569-0.00056844i,-0.00069502-0.0005275i,-0.0022951-9.2813e-05i,-0.001902+0.00041829i,-0.00059125-0.00039589i,-0.00034915-0.0007641i,-0.0008382-0.0003618i,-0.0011563-0.00072043i,-0.00073776-0.0011274i,0.00032018-0.00046435i,0.0006827+0.00035798i,-5.7206e-07+0.00066632i,-0.00038692+0.00017058i,-3.3514e-05-0.00067974i,-0.00031914-0.00039405i,-0.00016316+0.00015136i,-0.00021859+6.2628e-05i,-0.0012056-0.00021229i,-0.00096395-0.00051955i,0.00013528-0.00010941i
-0.0014764+0.0016235i,-0.0014601+0.0023488i,0.00015364+0.0024815i,0.00031211+0.0014431i,-0.001142+0.00023479i,-0.0017685+0.00056351i,-0.0012932+0.00059103i,-0.00056815+0.00039513i,7.7154e-05+0.00039839i,-0.00013151+0.00038558i,-0.00037614-0.00018483i,-0.00028318-0.0011683i,-0.00028072-0.0010264i,0.00019016+0.00019452i,0.0005493+0.00070897i,0.00042923+0.00071588i,-0.00050447+0.00019163i,-0.00071267-7.9083e-05i,6.9496e-05-0.000601i,-0.00016696-0.0014543i,-0.00018701-0.0012443i,0.00036222-6.8626e-05i,-8.4638e-05+0.00078736i
-0.00041864+0.0020809i,-0.0016323+0.0025719i,-0.0013544+0.0016456i,-0.0010057+0.00049596i,-0.0013143-1.4772e-05i,-0.0013115-0.00032849i,-0.00065921-0.00018735i,0.00014072+9.8434e-05i,0.00020122+0.00017468i,-0.0005689+0.00053348i,-0.0013904+0.00047969i,-0.0011463-0.00025242i,-0.00064825-0.00053643i,-0.0006427+0.00016935i,-0.00075318+0.0011102i,-0.00061678+0.00063337i,0.00051659+8.4075e-05i,0.00072943+0.000948i,-0.00031838+0.00099163i,-0.00062807+0.00010258i,-0.00028718-0.00025612i,-0.0002986-0.0002143i,-0.00049533-0.00033842i
-0.0014473-1.1377e-05i,-0.0012069+0.00032328i,-0.00088532-0.000179i,-0.00087665-0.00027804i,-0.0014648-0.00049777i,-0.0017742-0.00084659i,-0.0011678-0.0012808i,-0.0005872-0.0013621i,-0.00055815-0.0008456i,-1.4914e-05-0.00034503i,0.00049872+3.998e-05i,-0.00024972+0.00071681i,8.1029e-05+0.00068449i,0.00085203+0.00051918i,0.0012367+0.00083178i,0.00078013+0.00090166i,-0.00013983+0.00010047i,-0.00030592-0.00083836i,-0.00054779-0.00016033i,-0.00030384+0.00029044i,0.0004788-0.00020098i,0.00024562+9.5088e-06i,-0.0011273+0.0005055i
-0.0021588-0.0012495i,-0.0024878+0.00042734i,-0.0021648+0.0004296i,-0.001114+0.00068288i,-0.00063335+0.0013653i,-0.000711+0.0017591i,-0.00060556+0.00092318i,-0.00057379-0.00022324i,-0.00035512-0.00016181i,-0.00012473+0.00034125i,-0.00038135+0.0010187i,-0.00047303+0.0011222i,0.00043757+0.0011599i,0.0013663+0.0012969i,0.00071876+0.00097799i,0.00029338+0.00043758i,0.00024189+0.00044574i,-0.00025158+0.00053966i,-4.3516e-05+8.3176e-05i,0.00017373+3.8653e-05i,0.00023795+0.00042691i,0.00047496-8.2385e-05i,-6.2755e-05-0.00086757i
-0.001256+0.0013081i,-0.00043984+0.0017055i,0.001016+0.0014749i,0.0012868+0.00087943i,8.2928e-05+0.0010861i,-0.00093665+3.9571e-05i,-0.0012972-0.00089552i,-0.0013283-0.0010551i,-0.00025154-0.0007777i,0.00010424+4.2137e-05i,-0.00058931+0.00048906i,-0.00035132-8.9633e-05i,0.00039566-0.0006285i,0.00098551+8.5048e-05i,0.0013691+0.00068461i,0.0010813+0.00018723i,0.00087088-0.00053584i,0.00028468-0.00049622i,5.551e-05-0.00034997i,0.00029438+0.00024067i,0.00012682+0.0011151i,5.6677e-05+0.0011179i,0.00070501+0.0010235i
-0.00092885-0.00036472i,-0.0019376+0.00055421i,-0.00083892+0.0017888i,-0.00051877+0.0014216i,-0.0008594+0.00027145i,-0.0012555-0.00044216i,-0.0015722-0.00088227i,-0.0010063-0.0008916i,-0.00027253-4.1633e-05i,6.2439e-05+3.1078e-05i,-0.00012671-0.00093317i,-0.00067283-0.0006563i,-0.00034347-3.5717e-05i,-0.00017071+0.00052786i,-0.00052512+0.00027295i,0.00017032+0.00013303i,0.00051731+0.00042388i,-0.00026983+0.00017822i,-0.00044194-0.00080384i,-0.0004606-0.00069743i,-0.00063818+0.00056263i,-0.00081516+0.00086217i,-9.3496e-05+0.0007716i
-0.0011527+0.0014079i,-0.00031396+0.0019921i,0.00016603+0.0013381i,0.0002492+0.0010076i,7.8671e-05+0.00045354i,-0.00036249-0.00020358i,-0.00096985-0.00044573i,-0.00083241-0.00036982i,-0.00022451-0.00016712i,-7.694e-05-0.00021509i,-0.00043251-0.00030659i,-0.00013937-0.0001082i,-0.0003067-0.00082474i,-0.00049076-0.001377i,0.00012633-0.00067266i,4.6882e-05-1.1239e-05i,0.00024703-5.2187e-06i,3.2549e-05+0.00013345i,-0.00043607+0.00036402i,-0.00044807+6.7705e-05i,-0.0004969-0.00017218i,-0.00070121+1.3157e-05i,-0.00020824+2.6259e-06i
-0.001205+0.0017163i,-0.0015052+0.0022719i,-0.00083153+0.0018808i,-0.00018502+0.0009741i,-1.7255e-05+0.00071391i,8.879e-05+0.00064765i,0.00013236+0.00050077i,-0.00047631-0.00017748i,-0.00015235+0.0002342i,0.00026198+0.00075856i,0.00049367+0.00020095i,0.0010085+0.00018648i,0.00077777+0.00023664i,0.00059874+1.949e-05i,0.00038346+0.00041547i,0.0004064-6.559e-05i,0.00035303+4.014e-05i,-5.9279e-05+0.00082109i,-0.00040808+0.00047449i,-0.00088236-3.496e-05i,-0.00083505+8.9534e-05i,-0.00036134+0.00051461i,-0.00021824+0.00039226i
