-0.00082594-0.0019888i,-0.00053464-0.0024315i,-0.0018059-0.0022081i,-0.0017642-0.00078279i,-0.0006046+0.0011077i,-0.00011222+0.0020858i,0.00060625+0.0017515i,0.0011049+0.0011068i,0.00095366+0.00068306i,0.00075669+0.00025619i,0.00037193-0.00047645i,0.00026365-0.00074228i,0.00020889-0.0011063i,-6.6755e-05-0.001006i,0.00033934+4.9375e-05i,0.00089461+0.00060555i,0.00074497+0.00043068i,0.00050944+0.00022712i,0.00016586+3.3828e-05i,-0.0004007+0.0005029i,-0.00027258+0.00093053i,0.00046175+0.00081335i,0.00086758+0.000394i
-0.0019392-0.0010129i,-0.0020296-0.00032895i,-0.0021544+0.00060321i,-0.00089013+0.00067467i,0.00070263+0.0011263i,0.0017553+0.00096727i,0.0012884-0.00073185i,0.00048512-0.0018879i,-6.7929e-05-0.0011315i,-0.00040079-0.00030524i,0.00019445-0.00029645i,0.00082302-0.0006066i,0.0009236-0.00078804i,0.0014593-0.00025956i,0.0012161+0.00035417i,0.00010316+9.709e-05i,0.0002183-0.00037001i,-8.3651e-05+0.0001213i,3.7334e-05+0.0002424i,0.00064006+0.00031187i,-0.00024657+0.0011336i,-0.00029479+0.0010982i,0.00030063+0.00064779i
-0.0027493-0.0026359i,-0.0033445-0.0022977i,-0.0031382-0.0012409i,-0.0017037+1.1674e-06i,0.00010824+0.00065259i,0.00074063+0.00060123i,0.00086195-0.00037474i,0.001332-0.0011554i,0.00094979-0.00042171i,-3.4129e-05+3.3159e-05i,-2.2939e-06+0.00029713i,0.00037933+0.00019884i,0.00054608-2.1076e-05i,0.00042736-0.00051742i,0.00060588-0.00071678i,0.00072099+0.00016518i,0.00062883+0.00025101i,-0.00018252-0.00069357i,-0.00087597-0.00084439i,-0.00075383-0.00013745i,-0.00067166-9.5982e-05i,-0.00068113-0.00023639i,-0.00023172-0.00033095i
2.9715e-05-0.00083438i,-0.00010266-0.0017698i,-0.00011581-0.0025383i,-0.00011795-0.0010788i,-0.00038905-0.00022829i,-0.00079559-0.00082489i,-1.934e-06-0.00074649i,0.00039157-0.00056162i,0.00026544-0.00065137i,0.00026166-0.00064335i,0.00024074-0.00043382i,0.00030402-0.00021691i,0.00012217+1.3648e-06i,0.00057863+0.00040437i,0.0011286+0.00026662i,0.00031901-0.00051404i,-0.00038109-0.0005902i,-0.00038275+4.5224e-05i,-0.00034288+5.3633e-05i,-0.00017497-0.00014824i,-0.00016638+0.00026806i,-0.00025761+0.00038849i,-9.9564e-05+0.00034487i
-0.00063674-0.00055719i,-0.00021713-0.0011829i,0.00044614-0.0016123i,0.00027739-0.0010279i,-0.00030498-0.0004443i,8.9712e-05-0.00042521i,0.00051677-0.00013361i,0.00038328+0.00029051i,-8.9429e-05+3.812e-05i,0.00034252-0.00039915i,0.00081459-0.00034258i,0.00042208-0.00015608i,1.9591e-05+0.00089813i,-0.0002484+0.0015315i,-0.00028398+0.00093136i,-0.00050148+0.00070691i,-0.00050334-1.6834e-05i,-0.00017717+7.8734e-05i,-0.00017427+0.00044886i,-6.1205e-05-0.0002137i,5.5589e-05-0.00056961i,0.00043623+0.00022124i,0.00051816+0.00045404i
-0.0012475-0.0037058i,-0.0012182-0.0036974i,-0.0015607-0.0034531i,-0.0015191-0.0020496i,-0.00053087-0.00021085i,0.00090376+0.00037437i,0.00029631+0.00026744i,-0.00025151-0.00027971i,-0.00030401-0.0001856i,-0.0009037+0.00021841i,-0.00087721+8.4541e-05i,-0.00083854-1.0023e-05i,-0.00020995+0.00025415i,0.00025118+0.00054944i,1.7627e-05+0.00021936i,5.6669e-05-0.00023839i,-0.00021345-9.0643e-05i,-0.00069453-0.0001334i,-0.00019607+8.3397e-05i,0.0006695+0.00053498i,0.00049032+0.00026808i,0.00042809+0.00035186i,0.00063773-0.00036143i
0.00044775-0.0027067i,-0.00024267-0.0031757i,-0.00091933-0.0024551i,-0.00071187-0.00070345i,-0.00037279+0.00056313i,-0.00025879+0.00049213i,0.00019384+0.00014453i,0.00053539-0.00023439i,0.00094283-0.00069796i,0.00090899-0.0011512i,0.00053737-0.00086476i,0.00020165+0.00028254i,0.00066746+0.00014687i,0.0012098-0.00052567i,0.00031375-0.00014598i,-0.00043916+0.00016682i,-0.00080372-0.00028382i,-0.00063526-0.00031705i,0.00030358+0.00044276i,0.00075206+0.00093767i,0.00072564+0.00073282i,0.00071812+0.00051394i,0.0002268+0.00071632i
-0.00090926+7.8076e-05i,-0.00063059+0.000516i,-0.00087529-0.00025291i,-4.5904e-05+0.00019588i,0.00085664+0.00078597i,0.00072023-1.4936e-05i,0.00071992-0.0018784i,-4.4783e-05-0.0021129i,-0.0011574+2.4181e-05i,-0.0014369+0.0015796i,-0.0014552+0.00030867i,-0.00087604-0.0012836i,-0.00042343-0.00079664i,-0.00011152-0.00044608i,0.00024665-0.00036803i,0.00060029+0.00017045i,0.00051142-8.4945e-06i,-0.00011247-0.00055926i,-0.00011726-0.00035758i,-2.5073e-06+0.0005338i,-0.00065104+0.00051058i,-0.0010171-0.00037781i,-0.00067843-0.00053589i
-0.0011687-0.0015184i,-0.0013272-0.00091416i,-0.00052601+9.5181e-05i,0.00030733-0.00015015i,0.00019016-7.7771e-05i,0.00014766+0.00018497i,0.00075253-0.0002924i,0.00068437-0.0006026i,0.00030675+0.00028327i,-0.0002918+0.00022263i,-0.00054127-0.00033907i,-0.00045114+2.287e-05i,4.3853e-06-0.0002897i,0.00054533-0.00090688i,0.00032485-0.0010017i,-5.1753e-06-0.0004673i,-0.00042263+4.9544e-06i,-0.00025251-0.00011257i,-0.00014738-0.00034203i,0.00021517-0.00031019i,0.0007516+0.00046357i,0.00089239+0.00056238i,0.00066608+0.00037229i
0.00059552-0.0016499i,-0.00010137-0.0030061i,-0.00023106-0.0030532i,6.0382e-05-0.0014349i,0.00046076+0.00029383i,0.00057666+0.00058596i,0.00018333-0.00023789i,0.00037876-0.00075181i,0.00025413-0.00071361i,-2.2269e-05+4.3719e-05i,0.00019095-0.00019407i,-2.4549e-05-0.0011845i,-0.00021374-0.00051679i,0.00012458+0.00047607i,0.00024999+0.00032601i,-0.00011254+0.00018649i,-0.00035201+0.00046746i,-0.00043257+0.00068159i,-0.00042496+0.00022463i,-0.00052958+0.0002031i,1.2116e-05+0.00069809i,0.00060845+0.00061247i,0.00062476+0.00072104i
-0.00020168-0.00030295i,-0.00079492-0.00056412i,-0.00045429-0.0010653i,-0.00039484-0.00035443i,-0.00041873-9.3131e-05i,0.00051184-0.00058295i,0.00088039-0.00075653i,-6.8678e-05-0.00073837i,-0.00028062-0.00071772i,5.9758e-05-0.00087493i,0.00027439-0.00078827i,-0.00040784-0.00062534i,-0.00040208-0.00044595i,0.00071576-0.0004047i,0.00088347-0.00037537i,0.001148-5.9522e-05i,0.0011028-0.00021592i,0.00029399-0.00043665i,-0.00049671-0.00041099i,-0.00070567-6.1573e-05i,-0.00010398+1.4955e-05i,0.00059288+0.00012392i,0.00069553-0.00022496i
