-0.0027402+8.9958e-05i,-0.0019464+6.0759e-06i,-0.0010391-0.00088748i,-0.00063443-0.0020915i,-0.0015952-0.0012854i,-0.0021495+0.0006779i,-0.0017401+0.0012483i,-0.00062014+0.0010627i,0.0011644+0.00076343i,0.0015458+0.0003604i,0.00096559-0.00058195i,0.00080408-0.00078565i,0.00018497-0.0010564i,0.00013543-0.00081435i,-1.617e-05-0.00029982i,-0.00024115-0.00056858i,-0.00020166-0.00055591i,-6.1793e-05+0.00016849i,-0.0004329+0.00048323i,-0.00063882+0.00062773i,-0.00023673+0.00033688i,-3.2831e-05+0.00016046i,0.00011277+0.00022398i
-0.0025952+0.0015936i,-0.0028207+0.0020367i,-0.0016705+0.0015109i,-0.0016253-0.00061045i,-0.0013303-0.0020979i,-0.0017793-0.0016179i,-0.0014516-0.00097325i,-0.00048369-0.00048242i,4.8399e-05+0.00021121i,0.00022679-3.6125e-05i,0.00045661+6.8129e-07i,0.00044016+0.0015618i,-0.00018778+0.0010634i,-0.00054919-0.00063318i,-0.0010579-0.00089137i,-0.00074593-0.00039177i,-0.00073813+0.00031598i,-0.00030544+0.0004349i,0.00019562+0.00031441i,-0.00059707+0.00011464i,-0.00032245-0.00071774i,0.00061614-0.0006133i,0.00041861+0.00059765i
-0.00096198+0.0020237i,5.2151e-05+0.0037836i,-9.3066e-05+0.0039995i,0.00022069+0.0019108i,-0.0006609-0.00050882i,-0.0016917-0.00080833i,-0.0018145+0.00027262i,-0.0016943+0.00020885i,-0.00090913+0.00034681i,-0.00076634+0.00083049i,-0.00066014+0.00046841i,-0.00034811-0.00020649i,-0.00076485-0.0002101i,-0.00077366-0.00039481i,-0.00063628-0.0008806i,-0.00078703-0.00042276i,-0.00077728-6.8976e-05i,0.00041979-0.00020671i,0.0011987+0.00018792i,0.00066059+0.00072072i,-0.00022946+0.00050732i,-0.00039838-0.00029397i,8.4312e-06-7.2174e-05i
0.00047934-0.0025784i,-0.0005544-0.0016225i,0.00012118-0.00092731i,-0.0005522-0.0012847i,-0.0010727-0.0014054i,-0.00018447-0.0013999i,0.00031994-0.0014477i,0.0006855-0.00047452i,0.00074831-0.00049505i,0.00025489-0.00096557i,-0.00032307-0.00022741i,-0.00029639+0.00024546i,0.00034931+8.4517e-05i,0.00021141+0.00010019i,-0.0013725+5.9749e-05i,-0.0017652+7.9764e-05i,-0.00090538-0.0005475i,-0.00033481-0.00063289i,-0.00022607-0.00014779i,0.00011945+0.00029624i,0.00036377+4.647e-05i,-0.00052762-2.4702e-05i,-0.0008876-0.00028501i
-0.00045586-0.0012383i,-0.0028008-0.00030209i,-0.0022998+2.1604e-05i,-0.001011+0.00054191i,-0.00092+0.00021479i,-0.00060885+0.00035993i,-0.00046571+0.00047329i,-0.00076745+0.00044596i,-0.00052954+0.0007798i,-0.00031024+0.00063766i,-0.00040159-3.2912e-05i,-0.00059266-6.9712e-05i,0.00016511+0.00017588i,0.0013184+0.00073506i,0.0008181+0.00068969i,-0.00026661+5.5753e-05i,-0.00022025-0.00023657i,-0.00027284+0.00072351i,-0.00067075+0.00047288i,-9.9477e-05-0.00033487i,0.00059719-0.0005421i,-0.00018377+6.0545e-05i,-0.0010085+0.00014539i
0.0010139+0.00057361i,0.00051929+0.00024038i,-0.0011608+0.00042053i,-0.0019419+0.00042496i,-0.0013635+0.00087255i,-0.00071942+0.00050885i,-7.3026e-05-0.00037838i,-0.00024138-0.00070369i,0.00041074-0.0011645i,0.00085882-0.00083324i,7.4189e-05+0.00023447i,-0.00075815+0.00043165i,-0.00067008+0.0007844i,0.00044046+0.000859i,0.0011509+0.00088523i,0.0006665+0.00055862i,0.00041366-1.7611e-05i,0.00029932-0.00028075i,0.00021713-0.0008994i,-0.00052635-0.00019915i,-0.0013618+0.0001642i,-0.0011118-0.00036434i,-0.00029325-0.00012739i
-0.00054182+0.00060555i,-0.00117-0.00034736i,-0.0013801-0.001575i,-0.001591-0.0021547i,-0.0025399-0.0016937i,-0.0029758-0.0016035i,-0.0015388-0.00097087i,-0.00060892-0.0005427i,-6.5474e-06-0.00024094i,0.00032925+0.00039557i,-3.0352e-05+0.0010126i,-0.0011032+0.0010129i,-0.0016567+0.00055793i,-0.0011206-3.8812e-05i,-0.0010771-0.00034567i,-0.0015931-0.00033287i,-0.00068304-2.892e-05i,-1.1186e-05-8.3013e-05i,-0.00027624-0.00013745i,0.00026844-0.00034179i,0.00073164+5.0107e-06i,0.0001381+7.1318e-05i,8.8874e-05+0.00059133i
-0.0032647-0.00060886i,-0.0022878-1.9784e-05i,-0.00094055+0.00059172i,-0.00037805+0.00019833i,-0.00042794-0.00047428i,-0.00025378-0.00054065i,0.00014637-0.00028526i,0.00046221-0.00025852i,0.00042869+0.00015221i,0.00025438+0.00046066i,-0.00020645+0.00020059i,-0.00031232+0.00025082i,-9.7974e-05+0.00045145i,9.2626e-05+0.00064904i,-4.1282e-05+0.00037886i,4.5059e-05+0.00026772i,3.2038e-05+0.00060503i,-0.00015327-5.031e-05i,0.00078564+0.00013942i,0.0010388+0.00041742i,0.00040774-0.0012056i,0.00062804-0.0014148i,0.00077318+0.00035173i
0.00038595-0.0001585i,-0.00043587-0.00032827i,-0.00046416-0.00011012i,-6.7258e-05-0.000194i,-1.589e-05-0.00033587i,-0.00026614-0.00026551i,-0.00061671-0.00031555i,-0.00060172-0.00045037i,-0.00018518+9.1861e-05i,0.00020325+0.00050214i,0.00055287+0.00030633i,0.00039173-0.00084138i,8.5449e-05-0.001288i,0.00010278-0.00027026i,6.0631e-06-0.00031308i,-0.00035814-0.00066282i,0.00022971-0.00033923i,0.00075639+0.0001851i,0.00051823+7.4241e-05i,5.8408e-06-0.00079814i,2.4488e-06-0.0012839i,6.3304e-05-0.00058474i,-0.00019365+7.0202e-05i
-3.8287e-05+0.00011484i,-0.00071085+3.7356e-05i,-0.001282-0.00077131i,-0.001146-0.0021994i,-0.00122-0.0026976i,-0.0021005-0.0019384i,-0.0016381-0.0016802i,-0.00094012-0.001248i,-0.0014055+0.00015849i,-0.0022691+0.00014616i,-0.0010699+0.00023399i,-0.00017101+1.0916e-05i,-0.00092648-0.001125i,-0.0015885-0.0014577i,-0.00096552-0.0012252i,-1.9155e-05-0.00098531i,0.00017367-0.00022613i,0.00021591+0.00072648i,0.00017067+0.0011201i,0.00044928+0.00038116i,-0.00039275-0.0003083i,-0.0012077-0.00019806i,-0.00084212+3.68e-05i
-0.0022729-0.0020198i,-0.0020237+2.388e-05i,-0.00167+0.00073972i,-0.00081196+0.00069594i,-0.00051236+0.0011044i,-0.00089107+0.00086483i,-0.001097+0.00053335i,-0.0010326+0.00068559i,-0.00077548+0.00031155i,-0.00058119+0.00035541i,-0.00060807+0.00052892i,-0.00071324-0.00013961i,-0.00081711+2.8418e-05i,-0.00030192-0.000125i,0.0002868-0.00043261i,0.00073513+0.00048996i,0.00095307+0.00093827i,0.00057313+0.00040674i,-0.00052618-4.0838e-05i,-0.0009041-0.000169i,1.0135e-05-0.00043314i,0.00077185-0.00037561i,0.00062271-0.00033752i
0.0018128+0.00072655i,0.0011822+9.4352e-05i,0.00055261-0.0014118i,8.5996e-05-0.0017688i,-0.00039137-0.0014126i,-0.00056932-0.001254i,-5.2638e-05-0.0013382i,0.00056383-0.00089424i,0.00047359+5.3042e-05i,-0.00029344+0.00024603i,-0.00098247+0.00016373i,-0.00083843+0.00010671i,0.0001969-8.8144e-05i,5.1485e-05+0.000277i,-0.0011112+9.7876e-05i,-0.0007991-0.00016544i,-0.0007606-0.00059566i,-0.00074097-0.00068366i,1.3048e-05+8.0501e-05i,0.00022565+0.00037075i,-0.00036762+0.00062723i,-0.00041019+0.00047535i,-0.00019004-0.00017828i
-0.0012783+0.00099865i,-0.0024689+0.0016889i,-0.0028605+0.001742i,-0.0024648+0.0013598i,-0.0012889+0.00053774i,-0.0005072+0.00082726i,-0.00035038+0.00056238i,0.00019982+0.0002639i,0.00049411+0.00068068i,0.00034199+0.00092086i,0.00018003+0.0013368i,-0.00016839+0.0014253i,-9.9125e-05+0.00029364i,0.0004865+0.00029353i,-0.00010996+0.00024993i,-0.00059729-0.00076192i,-0.00045674-0.00080497i,0.00078439-0.00014719i,0.001677-0.00010497i,0.0013298-0.00026848i,0.00083033-0.00039842i,0.00059322+9.9428e-05i,-0.00031287+0.00036254i
-0.00044716+0.0018652i,-0.00019908+0.0018286i,1.6479e-05+0.00047675i,0.00025767-0.0021367i,0.00060265-0.0030049i,0.00023596-0.0012538i,-0.00027873+9.4988e-05i,0.00012048+0.00048505i,0.00038042-3.3502e-05i,0.0004861-0.0010043i,0.00037819-0.00045739i,-0.00054715+0.00098692i,-0.001197+0.00087444i,-0.00067062+0.00014782i,-0.00058979-0.00069442i,-0.00016591-0.00043951i,0.00082265+0.00012787i,0.0007643-2.2308e-05i,7.2034e-05-4.0975e-05i,-0.0004116+0.00019884i,0.00030034+2.5063e-05i,5.8702e-05-5.7667e-05i,-0.00059558-0.00015431i
-0.0015495+0.00020587i,-0.0014877+0.00045931i,-0.0013952+0.0011502i,-0.001042+0.00082389i,-0.0012103+0.00027731i,-0.0014644-0.00020727i,-0.0012272-0.00024817i,-0.00074792-0.00036778i,-0.00074226-0.00097072i,-0.00042611-0.00015426i,-8.6865e-05+0.00098545i,-0.00016724+0.00028456i,-0.00042597-2.8888e-05i,-0.00072201+0.00039045i,-0.00043759+6.4605e-06i,-0.00030262-0.00027754i,-4.4441e-05+0.0001779i,-5.1614e-05-0.00026939i,8.03e-05-0.00037334i,-7.3606e-05+0.00031383i,-0.00011226+0.00083433i,-0.00028989+0.0013421i,-4.113e-05+0.00067681i
