0.0005144+0.00039077i,0.0016845-5.8076e-05i,-0.00036919-0.00033613i,-0.0021853-0.00017589i,-0.0020516-0.00035091i,-0.0017955+0.00015554i,-0.00066014+0.00057577i,0.001137+0.00014718i,0.001428-0.00050573i,0.00035186-0.001112i,-0.00045892-0.0013624i,-0.00016974-0.0011818i,0.00054514-0.00055125i,0.00077875-0.00024529i,0.0010149-3.8562e-05i,-9.5074e-06+1.4776e-05i,-0.00061724-0.00029294i,0.00036846-0.00037008i,0.00041993+0.00036422i,-0.00022437+0.00039769i,-0.00022619-0.00012736i,0.00012559-8.9053e-05i,-0.00017526-7.7803e-05i
-0.0009006+9.9388e-05i,-0.00019131-0.00022627i,-0.0008392-0.00023907i,-0.0010259-0.00046144i,0.00021376-0.00026355i,0.00080916+0.00044448i,0.00078348+0.00031343i,0.00052371-0.00080783i,-9.4832e-05-0.001615i,-0.00044856-0.0010567i,-0.00030561-0.00056752i,-1.7557e-05-0.00069115i,7.3794e-05-0.00078882i,0.00032672-0.00054333i,0.00060038+0.00030217i,0.00057182-2.8246e-06i,0.00050051-0.00042102i,-0.00031765-2.1362e-05i,-0.0013133-0.0004619i,-0.0013214-0.0007033i,-0.0005208-0.00045451i,-0.00024973-0.00032358i,0.00033397-0.00018856i
-0.0030486+0.0026854i,-0.0021114+0.0031633i,-0.00083688+0.0031683i,0.00027857+0.002587i,0.00096743+0.0016093i,0.001833-0.0003496i,0.0016793-0.0012541i,0.00040665-0.00044992i,-0.00067897+0.00047406i,-0.00087871+0.00067959i,-0.0002354+0.00031241i,0.00055459-0.00064645i,0.00085157-0.0012424i,0.00084475-0.00088204i,0.0005261-9.8873e-05i,3.7251e-05-0.00056318i,-0.00030965-0.0011597i,-0.00091864-0.00093218i,-0.00031142-0.00021338i,-6.5361e-05+0.00062241i,-0.0011378+0.00059096i,-0.0015455+0.00026282i,-0.0009671+3.7311e-06i
0.00091449-0.00073022i,-0.00057785-0.00039979i,-0.00066575-0.0010633i,-0.00039075-0.0018721i,-0.00085515-0.0018668i,-0.0011885-0.0017629i,-0.0008148-0.0013933i,-0.00015698+2.4869e-06i,0.00035295+0.00064621i,0.00047993+0.00030164i,0.00036965+2.9622e-05i,-5.6193e-05+0.00018i,-0.00025992+0.00012432i,8.8281e-05+3.3379e-05i,-0.00045445-0.00039681i,-0.00021245-0.0004201i,0.00033258-0.00012935i,0.00024271-8.159e-05i,0.00031938+0.00043209i,0.00043175+0.00021899i,1.7828e-05-0.00054289i,-9.9596e-05-0.0010853i,0.00018031-0.0014424i
0.0021101-0.0012365i,0.0020593+2.1223e-05i,0.0017635+0.00043098i,0.00076374-0.00015126i,5.761e-05-0.00092894i,-0.00019853-0.00060429i,-0.00045884+0.00016998i,-0.00050678+0.0010871i,-0.00080196+0.00058111i,-0.00034941-0.00064545i,0.00016506-0.0007001i,0.00021853-0.00073256i,9.0109e-05-0.00029209i,-0.00076135+0.00018008i,-0.0010695+5.865e-05i,-0.00059664+0.00026687i,-0.00028976+0.00025135i,0.00031158-0.00022917i,0.00013689-0.00027656i,-0.00023985+0.00014297i,-5.7193e-05+0.00068242i,0.00016568+0.00064817i,0.00020749+0.00053189i
-2.7781e-05+0.00093749i,-0.00017351+0.00061058i,-0.00014251-0.0011895i,0.00083254-0.0012237i,0.0010554-0.00085181i,0.0010239-0.00060779i,0.00096184-0.00070853i,0.00013366-0.0011995i,-8.8097e-06-0.00061944i,0.00043645+0.00027383i,0.00066955+0.00085314i,0.00034355+0.0009738i,-6.6425e-05+0.0010603i,-0.00021707+0.00090242i,3.5344e-05+0.00060289i,0.00043501+9.4441e-05i,0.00026461-0.0003876i,6.7614e-05-0.000531i,-0.00018887-0.00055556i,-0.00019772-9.2696e-05i,-4.6134e-05-9.1049e-05i,0.00040659-0.00053055i,-6.6346e-05+0.00021739i
-0.00058808-1.6223e-05i,-0.0013118-0.00070503i,-0.0014902-0.0004161i,-0.0019088-2.9145e-05i,-0.0012861-0.00034379i,-0.00057384-0.00077584i,-0.0007168-0.00073774i,-0.00075844-0.0002273i,-0.00056886+0.00025697i,-0.00029188-0.00038397i,0.00048732-0.0011327i,0.0010439-0.00070315i,0.0008369-2.5057e-05i,6.5048e-05-0.00013108i,-9.8734e-05-0.00073264i,0.00049212-0.00056327i,0.00021137-0.00016571i,-0.00031008-0.00041256i,-0.00050717-0.00013809i,-0.00061437-0.00016926i,-0.00037509-0.0003836i,-0.00049981+0.00036695i,-0.00053667+0.00043148i
-0.00011041-0.00089067i,0.0013581+0.00020827i,0.0014395+0.001107i,0.00059508+4.1118e-05i,0.00055561-0.00023965i,0.00061419-0.00018689i,9.9516e-05-0.00096224i,-0.00034458-0.00089185i,-0.00085733-0.0004266i,-0.00036958-0.0004126i,0.00031373-0.00059425i,0.00068774-0.00050276i,0.00027133+0.00022568i,-0.00053711-8.0197e-06i,2.3267e-05-0.0002284i,0.00017027-0.00010537i,-0.00062141-0.00029239i,-0.00067818+0.00038275i,-0.00085864+0.00049769i,-0.0013424-0.00031879i,-0.00073799+2.1054e-05i,0.00015465+1.7761e-05i,0.00034955+0.00044545i
0.00026351+0.00089784i,-0.00046111+0.00043936i,-0.0014447-0.0005982i,-0.0013728-0.00099776i,-0.0012921-0.001662i,-0.0014554-0.0017942i,-0.0014583-0.00091959i,-0.00072457-0.00034843i,-1.6993e-05-0.00043874i,0.00080943-0.00017296i,0.00078064-5.1906e-05i,0.00066876-0.0006016i,0.00043959-0.00066929i,0.00038508-0.0011338i,0.0008288-0.00071064i,0.00020657-0.00032475i,-3.511e-05-0.00085958i,-0.00040229-0.00093797i,-0.00049446-0.00087658i,-0.00057303-0.0007764i,9.3574e-05+0.00032567i,0.00093414+0.00047371i,0.00039861-0.00029877i
0.00051741+0.001177i,0.0013872+0.0011486i,0.00092426+0.00077609i,9.0118e-05+0.00028917i,-0.00019231-0.00042907i,0.00090467-5.2713e-05i,0.0010748+0.00044224i,0.00022341+0.00034719i,9.0863e-05+0.00030853i,6.7428e-05+0.00042481i,0.00020046+0.00049639i,1.5202e-05+0.00029023i,-5.5913e-05-0.00022766i,-0.00013705-0.0011775i,-0.00025779-0.0014384i,0.00015823-0.00047772i,0.00020443+0.00021265i,-0.00033837+0.00078534i,-0.00023489+0.0011105i,8.6255e-05+0.00060598i,0.00025464+0.00029508i,0.00069373+0.00060693i,0.00036642+0.00052044i
-0.0022736+0.001571i,-0.0013789+0.0012651i,-0.001912+0.0010891i,-0.001574+0.00072798i,1.7997e-05+0.00013896i,0.00068543-0.00021856i,-0.00016019-0.00093961i,-0.0010843-0.00056792i,-0.00049053+0.0007088i,0.00017638+0.0012833i,0.00074369+0.00076992i,0.00064256-0.00014572i,0.0006334-0.00024955i,0.0010613-0.00069875i,0.0011364-0.0012505i,0.00060171-0.00029404i,9.7099e-05+8.2853e-05i,0.00025745+4.6808e-05i,1.757e-05+0.0003366i,-4.4598e-05+0.00037412i,8.5776e-05+0.0004475i,-0.00024484+0.00076049i,-0.00026522+1.7584e-05i
