-0.002524+0.0022812i,-0.0026993+0.0017192i,-0.0022636+0.0017962i,-0.001536+0.0013225i,-0.0011266+0.00070565i,-0.0015046+0.00025458i,-0.0013818-9.0859e-05i,-7.3387e-05-0.00063788i,0.00079791-0.00040056i,0.00076724+0.00043627i,0.00088099+0.00059522i,0.0013763+3.2338e-05i,0.0018523-0.00017506i,0.0009572-0.0005653i,0.00038985-0.0014555i,8.767e-05-0.00069956i,5.4001e-05+0.00029373i,0.00052913-0.00055767i,-8.6207e-05-0.00064769i,-0.0013094-8.3308e-05i,-0.0011432+4.1621e-05i,-6.6713e-05+0.0005104i,0.00036593+0.00066175i
0.0014327+0.0019113i,0.001918+0.0015323i,0.0033965-0.00033543i,0.0021267-0.0018509i,-7.5284e-05-0.0016787i,-0.0016446-0.00068446i,-0.0017087+0.00020489i,-0.0010445+0.00061534i,-0.00051167-0.00050227i,-0.00051871-0.001267i,-0.0005029-0.00056373i,-9.0352e-05-0.00015311i,-8.6904e-05-0.00046508i,-0.0010815-0.0012048i,-0.0015451-0.00095019i,-0.00082844-0.00055601i,-9.6475e-05-0.00060415i,0.0003727-0.00045574i,-9.1427e-05+9.0242e-05i,-0.00035262+4.3793e-05i,0.00049139-0.00040637i,0.00070663-0.00040177i,2.6331e-05-0.00067127i
0.00030092-0.00091654i,0.00047465-0.0010247i,0.00093404+0.00047347i,0.0009319+0.0017166i,0.00055523+0.0013307i,5.9543e-05+0.0006368i,-7.8155e-05-0.00020286i,0.00066151-0.00057198i,0.00054341-7.6083e-05i,-0.00048376+0.0007054i,-0.00090492+0.00022883i,-0.00037161-0.00035049i,-0.00020634+0.00042695i,-0.0010035+0.00059336i,-0.0005325-0.00012976i,0.00017376-0.00030369i,3.9122e-05-9.0829e-05i,7.7581e-05-0.0003503i,-0.00042144-0.0003608i,-0.00044421+8.6659e-05i,0.00051223+0.00036074i,0.00031873+0.00016471i,0.00013275+0.00017608i
0.0015547+0.00088659i,0.00095441+0.001171i,0.00082963+0.0013592i,7.2463e-05+0.00079314i,-0.00024061-0.00040229i,0.0001957-0.00117i,-0.00030305-0.00085805i,-0.00065797-0.00031417i,-0.00052167-0.00012164i,-0.0004576+0.00010944i,-0.00069003+0.00021721i,-0.00076806+0.0002711i,-0.0010182-0.00014448i,-0.0011529-0.00092003i,-0.0010677-0.0011796i,0.00015296-0.001245i,0.001191-0.00083961i,0.00066414-0.00059475i,-1.6683e-05-0.00037111i,-0.00023773-9.917e-05i,-0.00018944-0.00015468i,0.000178-0.000657i,0.00049251-0.0010464i
0.00058131+0.00050861i,0.001542-0.00010352i,0.0026192+9.2874e-05i,0.0025778+0.00062167i,0.0015705-0.000563i,6.7265e-05-0.0014582i,-0.00019534-0.00093107i,0.00043626+0.0001783i,0.00039437+0.00039132i,0.00018888+0.00025619i,-9.2612e-05+0.00067739i,-0.00028642+0.00095514i,0.00011875+0.00083837i,0.00045847+0.00049639i,0.00050879-2.1385e-05i,0.00076723-0.00045609i,0.00067434-0.00030385i,0.00023723-0.00064097i,-7.054e-05-0.00039724i,0.00035848-3.1511e-06i,0.0010035+0.00053031i,0.0015425+0.00099627i,0.0014206+0.00067131i
0.00058673-0.0014707i,-0.00051383-0.0014403i,-0.00062592-0.00064332i,-0.0002843+7.5048e-05i,-0.00079751+0.00057423i,-0.0008459+0.00088412i,3.1637e-05+0.00051084i,0.00047444-0.00027025i,-6.6213e-05-0.00028947i,0.00028536+0.00054856i,0.00053506+0.000814i,0.00043682+0.00036059i,-9.3945e-07-1.6797e-06i,-0.00025456+5.456e-05i,0.00049168+0.00039098i,0.00080413+0.00068622i,0.00039475+0.00020201i,0.00034308-0.00034825i,0.00021857-0.00053758i,-0.00079894-0.00023059i,-0.0007725-0.00036884i,-0.00052695-0.00037625i,-0.00096322+0.00010482i
-0.00016332-6.9535e-05i,-0.00043794+0.00032527i,-0.00081296+0.0014903i,-0.00035654+0.0023001i,9.2314e-05+0.0017285i,-0.00035087+0.0010637i,-0.00071944+0.00013181i,-4.6297e-05-0.00059308i,0.000299+0.00013712i,-0.00019647+0.0011926i,-9.8044e-05+0.0015139i,3.1437e-05+0.00073905i,0.00021874-0.00022481i,0.00075986-0.00044057i,0.0012614-0.0003197i,0.001428-0.00046251i,0.00043046-6.0074e-05i,-0.00080129-6.0832e-05i,-0.00058441-0.00040666i,0.00038091-0.00028766i,-4.4413e-05-0.00022503i,-0.00019444+0.00051039i,0.00019851+0.00067539i
-0.00020365+0.0009162i,-0.0010972+0.00023256i,-0.00065291-0.00031149i,0.00023375+5.3241e-05i,0.00049689-0.00012594i,0.00043545-0.0012048i,9.1937e-05-0.0014318i,3.4664e-05-0.00067013i,0.00032465+9.7943e-06i,0.00029319-0.00022125i,0.00011904+0.00016436i,0.00027773+0.00087579i,0.00086653+0.00051649i,0.0014598+0.00017753i,0.0012711+8.0301e-05i,8.3353e-05+6.6463e-05i,-0.00084744-0.0003009i,-0.00073067-0.00052011i,-0.00041508+0.00027409i,-0.00044319+0.00070514i,-0.00056098+0.00056386i,5.1573e-05+0.00055867i,0.00011152+0.00086357i
0.0017618+0.00047024i,0.001886+0.0010654i,0.001027+0.0010441i,-0.00016296+0.00095403i,-0.00078055+0.00063896i,-0.00106+0.00036532i,-0.00042902+0.0002824i,-1.2439e-05-0.00018952i,-0.00014695-0.00055006i,0.00034724-0.00068063i,0.00067418+9.0438e-05i,9.8866e-05+0.0006435i,-0.00054256-6.3668e-05i,-0.00038508-0.0011009i,-0.0002241-0.0012438i,-7.8153e-05-0.00039183i,0.00046523-0.00020577i,0.00039748-0.00041513i,-0.00074417-0.00028062i,-0.00033492-0.00034634i,0.00072977-0.0011587i,0.00076213-0.0011642i,0.00043302+4.4289e-05i
0.001409-0.0011613i,0.0017791-0.0020812i,0.0017628-0.00093086i,0.0014558-0.00045815i,0.00048756-0.00063704i,0.00018068-6.3625e-05i,0.00071708-2.4135e-05i,0.0011147-0.00014663i,0.0005519+9.6176e-05i,-6.364e-05-0.00054634i,-0.00038163-0.0012862i,-0.00010071-0.0013081i,4.0282e-05-0.0004733i,-0.0012198-0.00032453i,-0.0014569-0.0003058i,-5.0187e-05+0.00058185i,0.00038388+0.00087812i,7.1964e-05+0.00057977i,-0.00019575+0.00060562i,-0.00021996+0.00047163i,-0.00011052+0.00048701i,-0.00012768+0.00091381i,0.00040296+0.00056599i
-0.0013434+0.0006478i,-0.0024307+0.0020906i,-0.0022282+0.0021826i,-0.00011569+0.00091409i,0.00090343+0.00010129i,0.00010708-0.00068517i,-0.00045269-0.00096359i,-0.00061034-0.0013326i,-0.00031682-0.0013172i,8.5722e-05-0.00044407i,0.00040058+0.0004583i,0.00091495-0.00023328i,0.00088344-0.0010033i,-2.6737e-06-0.00089i,-0.00012164-0.00093001i,2.9039e-05-0.00053966i,8.0634e-05+0.00022681i,5.4081e-05+6.598e-05i,0.00016044-0.0010573i,0.00024842-0.00099415i,0.00018478-0.00054924i,0.00011054-0.00015472i,-8.4148e-05+1.493e-05i
