-0.00041208+0.00047352i,-0.00022231+0.0021502i,-0.0013426+0.0029967i,-0.0016776+0.0027872i,-0.00048033+0.0027211i,-0.00015794+0.0024744i,-0.0012295+0.0016537i,-0.00060287+0.00076539i,0.00091731+0.00098531i,0.00076154+0.00027133i,0.0002259-0.00039218i,0.00023587-0.00033543i,0.00020582-8.3175e-05i,-0.00054756+0.00018198i,-0.00081529+0.00080625i,-0.0008102+0.0013675i,-0.0010132+0.00079924i,-0.00096975+0.00028438i,-0.00038783-8.9971e-05i,-0.00038492-0.00030411i,-6.8163e-05-0.00037992i,-0.00045572-0.00067624i,-0.0006687-0.00057212i
-0.00045855-0.00044159i,-0.0016639-0.00052119i,-0.00222+0.00033995i,-0.0023101+0.00043757i,-0.0020511-1.8115e-05i,-0.0012315+0.00015043i,-0.0004238+0.00017701i,-0.00038408+3.0176e-05i,-0.00018615-4.5146e-05i,0.00060481-0.0010992i,0.0012099-0.0014097i,0.00059621-0.00048362i,0.00018914-4.0638e-05i,0.00032409+0.00011488i,0.0002188+3.359e-05i,-9.9234e-05-0.00018669i,-8.4843e-05-6.6326e-05i,-0.00023219+0.00015576i,2.2292e-06+3.5832e-05i,0.0008031+3.9584e-05i,0.00083829+0.00037867i,2.8288e-05+0.00058176i,-0.00026386+0.00017119i
-0.0021013-0.003086i,-0.0015911-0.0025774i,-0.0016067-0.00071589i,-0.0018188+0.00049358i,-0.0004556+0.0012136i,0.0011519+0.0012952i,0.0018511+0.00047509i,0.0017329-0.0010434i,0.00045555-0.0020347i,-0.00013159-0.00094187i,-3.6664e-05-4.3172e-05i,-0.00013398+0.00044965i,-7.8406e-05+0.00085696i,0.00036319+0.00063107i,0.0010046+0.00068895i,0.00054983+0.00022849i,-0.00034442-0.00024545i,-0.00069954-0.00038824i,-0.0002484-0.00037034i,-0.00020011-6.6135e-05i,-0.00013534+0.00046283i,-0.00026101+0.00060409i,-0.00055394-0.00015036i
0.0036428-0.0010618i,0.0031241-0.00058975i,0.0025789-0.001109i,0.0017042-0.00094255i,0.0009921-0.00072955i,0.00069561-0.00043115i,0.00034134+0.00013209i,0.00019506+0.00040921i,-0.00043189+0.00014517i,-0.00092882-0.00074198i,-0.00022531-0.0015199i,0.00014794-0.0010411i,5.3344e-05+0.00029377i,0.00038333+0.00085325i,-0.0003811+0.00079256i,-0.00085977+0.00065153i,-0.00012539+0.00071916i,0.00018293-0.0001037i,-7.5178e-05-0.00070563i,-7.9283e-05-0.00066327i,-0.00021304-0.00033879i,-0.0002967-8.727e-05i,0.00063974-0.00063873i
-0.0023815+0.0016256i,-0.0020074+0.0023647i,-0.0030102+0.0035097i,-0.0020675+0.0032712i,0.00048325+0.0021851i,0.0015734+0.0011782i,0.0006793+0.00013918i,-0.00047541-0.00061098i,-0.00026563-0.00032312i,0.00057729+0.00031096i,0.00054397+4.6372e-05i,-0.00014374-0.00068002i,-0.00097264+5.3907e-07i,-0.0008388+0.00059376i,-0.0003248+0.00012827i,2.166e-05+0.00026284i,-0.00016043+0.0010496i,-0.00081233+0.0012577i,-0.00064094+0.0012276i,-6.7322e-05+0.0016115i,-0.0001565+0.0011475i,-0.00014535+0.00045297i,0.00022126+0.00060934i
-0.0021656-0.0015706i,-0.0026497-0.00033417i,-0.00328+0.0009637i,-0.002988+0.0013595i,-0.001286+0.0010747i,-2.25e-05+0.0010215i,0.00081272+0.00069957i,0.0014157+0.00022248i,0.00047498-0.00010371i,-0.00010814-0.0005345i,-0.00019594-9.3665e-05i,-0.0003148+0.00025298i,-0.00014974+0.00024133i,0.0004664+1.0515e-05i,0.00068997+0.00016022i,0.00051354+0.00051318i,0.00072378+0.0001667i,0.00020735-4.4245e-05i,4.8699e-06-0.00042341i,0.00028167-0.00048109i,-0.00013508-4.2981e-05i,-0.0003708+0.00033443i,-0.0011945+0.00027633i
0.0017992-0.0026498i,0.0011334-0.0036387i,0.00024822-0.0026961i,0.00018489-0.001693i,0.00052922-0.0011699i,0.00062879-0.00045977i,0.0011264+0.00024929i,0.00091817-0.00024826i,0.00057008-0.0009702i,0.00035438-0.0006292i,-0.00026319-9.7842e-05i,2.8355e-05+0.00011554i,-1.6988e-05+0.00010485i,-0.00074068+0.00042605i,-0.00072141+0.00094841i,-0.00036747+0.00090508i,0.00027936+0.00026423i,0.00080236+7.1386e-05i,5.636e-05+0.00051377i,-0.00011149+5.9982e-05i,0.00029558-0.00053819i,0.00054701-0.00080338i,0.00078633-0.00047532i
0.00059986-0.0015674i,-0.0011538-0.0012531i,-0.0010439-0.00064361i,0.00018602+0.00094641i,0.00059656+0.0010903i,-8.4724e-05+0.0003818i,-0.00056851+0.0003454i,-0.00033185-6.423e-05i,0.00065389-0.00061348i,0.0014304-0.00062389i,0.0012077-0.00076867i,0.00090126-0.00068554i,0.00040398+6.8301e-06i,0.00028444-0.00017811i,3.1353e-05-0.0005864i,9.266e-05-0.00095562i,0.00055334-0.00087664i,0.00049057-5.0754e-06i,0.00047876+0.00052928i,0.0004769+0.0010055i,0.00055933+0.0010081i,-4.9251e-05+0.00054168i,-0.00059856+0.00017603i
-0.0026026-0.00055335i,-0.0022753-0.00061664i,-0.0025103+0.00085289i,-0.0022718+0.00297i,-0.00084241+0.0028218i,0.00068928+0.00091096i,0.00174-0.00020023i,0.0015643-0.00038023i,0.00017191-0.00014721i,-7.5376e-05-2.6732e-05i,0.00038074+0.00032945i,0.00011661+0.0009178i,0.00017832+0.00071277i,0.00054177+0.00047304i,0.00058861-6.8088e-05i,0.00068737-0.00018026i,0.00019623+0.00019276i,-1.9209e-05+0.0001915i,0.00056491-0.00018457i,0.0006526-0.00107i,0.0003326-0.0010934i,2.0359e-05-0.00028645i,-8.6969e-05-6.6182e-05i
-0.0017144+0.0020956i,-0.0010223+0.00059108i,-0.0012105+7.3426e-05i,-0.00078155+0.00029986i,0.00050366+0.00076624i,0.00018209+0.00062359i,1.8087e-05+0.00014438i,0.00057477-0.00027396i,0.00058338+4.2086e-05i,0.00052376+0.00049096i,0.00021586+0.00052277i,-0.00012513+0.00014559i,-9.214e-05+0.00030052i,0.00022252+9.3065e-05i,0.00039238+2.3354e-05i,-4.5285e-05-0.00016308i,9.4191e-05-0.00037645i,0.00070582+0.00020981i,0.0006159-0.00021387i,-0.00023363-0.00054426i,-0.00043347+0.00026192i,-0.00018652+0.00099186i,-0.00011616+0.0011191i
-0.00058141-0.001861i,-0.0010416-0.00065434i,-0.00097219+0.00022248i,-0.0014256+0.00013823i,-0.00097214-0.00023098i,0.00034991-0.00014306i,0.00079845+4.9055e-06i,0.0012346-8.9294e-05i,0.001358-0.00043128i,0.00081206-0.00037711i,5.3015e-05-5.8144e-05i,2.0329e-05+3.2506e-05i,0.00011639-0.00028753i,-0.00066006-0.00041443i,-0.00090968+6.268e-05i,-0.0001683+0.00024075i,8.9937e-05+0.00043183i,-4.8397e-05+0.00069369i,0.00018307+0.00032687i,-8.8644e-05-4.3507e-05i,-0.00034833-0.00015668i,2.0039e-05-0.00056943i,0.00026476-0.0010264i
0.001001-0.0012316i,0.00052192-0.0011497i,-0.00097971-0.00036488i,-0.00063796+3.0675e-05i,0.00083084+0.00065454i,0.001539+0.00067814i,0.00098967+0.0017422i,0.00050835+0.0019215i,0.0010182+0.0004852i,0.0011937+2.1443e-06i,0.00067033+0.00010407i,5.6657e-05-0.00021404i,0.00031153-0.00052596i,0.00039027-0.00028841i,0.00025896+0.00027813i,0.00090309+7.1307e-05i,0.0001397-7.5959e-05i,-0.00043902+0.00027383i,0.00055103+0.00035586i,0.00070483-0.00037699i,9.2562e-05-0.00061781i,7.8139e-05+1.5065e-05i,-0.00035006+0.00028329i
