0.0024687-0.00017573i,0.0020956-0.0010403i,0.001034-0.0020513i,-0.00034427-0.0018428i,-0.0014139-0.00067475i,-0.0016438+0.0005474i,-5.7618e-05+0.0018273i,0.0010696+0.0019219i,0.0010274+0.00097522i,0.00086275+0.00030757i,2.3258e-05+0.00026732i,-0.00048179-0.00010408i,-0.00038382-0.00065391i,0.00044678-0.00051223i,0.00082553+3.4957e-05i,0.00064612+0.00082475i,-0.00047593+0.00068471i,-0.00062707-0.00032218i,0.00088054-0.00078031i,0.0011798-0.00074232i,0.00039944+4.819e-05i,-0.00055596-4.4878e-05i,-0.0010362-9.38e-05i
-0.00014554+0.00094725i,-0.00082444+0.0011347i,-6.3975e-05+0.0015531i,0.00051177+0.0011509i,0.0010437+0.00040628i,0.00050312-0.0001112i,-0.00078725+0.00020836i,-0.00089555+0.00086162i,0.00013601+0.0011208i,0.00078268+0.00052234i,0.00044203-0.00048207i,0.00047117-0.00085036i,-0.00012532-0.00092519i,-0.00028676-0.0013006i,0.00015732-0.00083853i,-0.00023211-0.00058574i,0.00039274-0.000181i,0.00083456+0.0006199i,0.00064184+0.00057457i,0.00030048+0.00057822i,-0.00050131+0.00044835i,-0.00031088+0.00019995i,0.00024528+0.00015441i
0.0001625-0.00089788i,0.00104-0.0014825i,0.0014659-0.0015607i,0.0012425-0.00097415i,0.00088448-0.0010461i,0.00086489-0.00044085i,0.0011299-0.00010924i,0.0009432-0.00059903i,7.3316e-05+6.304e-05i,-4.505e-06+0.00050549i,7.6938e-05-0.00019029i,9.1122e-05-0.00025259i,0.0005637+0.00034901i,0.00029+0.00055343i,9.919e-05+1.574e-05i,0.00046899-0.00035876i,0.00042183+2.6499e-05i,-0.00048604-0.00025605i,-0.0006375-0.00085827i,-0.00038093-0.0010906i,-0.00047775-0.00084509i,8.3839e-05-0.00036218i,0.00016181+2.5094e-05i
0.0020817+0.00040897i,0.00093031+0.00052167i,0.0014507-0.00059259i,0.00059526-0.0011503i,-0.00030113-0.0012421i,1.5991e-05-0.00087883i,0.0010442-7.6565e-05i,0.0015872+0.00047009i,0.0012149+0.00055065i,0.00091631+0.00030267i,0.00032703+3.3246e-06i,-0.00072302-0.00016806i,-0.0011276-0.0006636i,-0.00054285-0.00075132i,-0.00084508-0.00019469i,-0.00096841+0.00077099i,-0.00055693+0.001018i,-0.00018587+0.00043802i,-2.0211e-05+0.00077996i,-0.00014052+0.00129i,-0.00021867+0.0010701i,2.2947e-05+0.0012011i,-0.00026183+0.0005304i
-0.00099315+0.0010901i,-0.00031202+0.0020657i,0.00016933+0.0025832i,0.00067848+0.0014089i,0.0011376+5.4183e-05i,0.00077269+0.00031417i,0.00054672+0.00091801i,0.00071686+0.00086387i,0.00035623+4.2019e-05i,0.00062315-0.0001195i,5.5188e-06+0.00020877i,-0.00060441-9.3823e-05i,-0.00028274-0.0003903i,-6.7889e-05-0.00088351i,0.00010059-0.00098282i,-0.00015179-0.00060767i,-8.6405e-05+4.0548e-05i,-0.00038909-0.00024029i,-0.001211-0.00035766i,-0.0013445-2.1308e-06i,-0.0010973-0.00063516i,-0.00035974-0.0010724i,-8.8993e-05-0.00068806i
-0.00016695-0.0026795i,0.00056835-0.0033604i,-0.00020633-0.0026295i,-0.00073343-0.001781i,0.00033253-0.0009902i,0.0012823-0.000367i,0.0018098-8.2585e-05i,0.0012534+0.00029295i,0.00012056+0.00033895i,-0.00013076+0.00015372i,-0.00029718+0.00032635i,-0.00028045+0.00046888i,0.0005936+0.00093991i,0.00068205+0.00039652i,0.00035215-0.00049406i,0.0001463-0.00069716i,0.00017117-0.00047552i,0.00012199-1.1035e-05i,-0.00036441-0.00049529i,-0.0001861-0.0010961i,-9.9421e-05-0.00048572i,-0.0004212+0.00020258i,-0.00067743+0.00030718i
-0.0011196-0.0024698i,-0.0019967-0.0017633i,-0.0025938-0.00088846i,-0.0014269+0.00054071i,0.00025749+0.0014049i,0.00038582+0.0013571i,0.00020626+0.00045852i,0.00019738-0.00018606i,-0.00018708+4.658e-05i,-0.00022769-0.00013946i,9.2283e-05-0.00042519i,1.613e-05-0.00050231i,2.6131e-05-0.00058091i,0.00048609+0.00041688i,0.00069217+0.0010118i,0.0001683+0.000943i,0.0002486+0.00049564i,0.00037298+2.909e-05i,-3.6663e-05+2.2879e-05i,-0.00027827+0.00047687i,-0.00074238+0.00075052i,-0.00063345+9.0746e-05i,-5.9441e-06-4.0222e-05i
-0.00087759-0.00024944i,-0.0015216+0.00034676i,-0.001694+0.0013453i,-0.000574+0.0017217i,4.6913e-05+0.00086769i,0.00032975+0.00058384i,0.00096321+0.00075466i,0.00031915+0.00034224i,-0.00092516+8.5156e-05i,-0.0012763-0.00023728i,-0.0010214-0.00030099i,-0.00020322+5.4892e-05i,0.00042675+0.00024862i,0.00060666-0.0001568i,0.00068883-0.0003839i,0.00039873-2.7775e-06i,-2.0284e-05+3.7506e-05i,-0.00010648+0.00056612i,-6.0527e-05+0.00074315i,-0.00044662+0.0003604i,-0.00052035-0.00046862i,0.0001852-5.6741e-05i,0.00033236+0.00057337i
-0.00063275-0.0034997i,-0.00021777-0.0032361i,0.00054927-0.0020303i,-7.0951e-05-0.0013562i,-0.00019001-0.00066268i,-0.00025411+0.00076891i,0.00032184+0.0010446i,0.0012057-9.3969e-05i,0.00076114-0.00024307i,-0.00018299+2.4722e-05i,0.00039682+8.7732e-05i,0.0010484+6.2787e-05i,0.0010075+0.00022314i,0.00080754+7.0377e-05i,0.00061924-1.081e-05i,0.00018675+0.00015028i,-0.00043563+0.00045994i,-0.00079633-0.00016607i,-0.00087345-0.00073222i,-0.000299-0.00069391i,-3.2666e-05-0.00061687i,0.00019475+0.00067952i,0.00010433+0.0015189i
-0.00075111+0.00031008i,6.8911e-05+0.00047819i,0.00048496+0.00088341i,-0.00025706+0.00026838i,0.00016272-8.759e-05i,0.00093172+0.0001683i,0.0013053+0.00052225i,0.00088844+0.00030302i,-4.9624e-05-0.00058596i,-0.0010957-0.00018925i,-0.00060713+0.000711i,0.0005516+0.00072063i,0.00051996+0.00035568i,0.00050932+0.00012726i,0.00034283+6.864e-06i,0.00014577+7.2664e-05i,-0.0002773+0.00060301i,-0.00010801+0.00085736i,0.00066951+0.00069119i,0.00032786+0.00093537i,-0.0002118+0.00059642i,0.00015534-0.00021634i,7.7006e-05-0.00067309i
0.00018427-0.00098751i,-0.0011973-0.00066486i,-0.0010107-0.00036555i,-0.00021643-0.00036209i,-0.00011365-0.00091537i,0.00034243-0.0013912i,0.00043107-0.00053855i,0.0001103+0.0009361i,0.0002513+0.0008233i,0.00079445-0.00010652i,0.00048984-0.00044377i,-0.00018049-0.00053664i,0.00028448-0.00064899i,0.00064499-4.0783e-05i,0.00064856+0.00070318i,0.00046688+0.00066483i,0.00039885+0.00052064i,0.00029207+0.00036704i,1.1112e-05+0.00021086i,-0.00075529-0.0002303i,-0.00097055+0.00016894i,-0.00083781+0.00074746i,-0.00033561+0.00030501i
