-0.0030143+2.2119e-05i,-0.0034608+3.9155e-05i,-0.001918+0.0011689i,-0.0011292+0.0016135i,-0.00095957+0.0017477i,-8.6582e-05+0.0015582i,-0.00040352+0.001385i,-0.00071781+0.0011727i,-0.00020126+0.00051602i,0.00073845-0.00010566i,0.001066-0.0005052i,0.00088802-0.0011016i,0.00072271-0.00073858i,0.00064683-9.5158e-05i,0.00087256-0.0001727i,0.00038112+0.00017228i,0.0001013+3.8164e-05i,-0.00047189-0.00030944i,-0.00064588-0.00050849i,1.5344e-05-0.00061276i,-0.00028101-0.00029406i,-0.00099529+0.00012651i,-0.00042013+2.1755e-05i
0.0016215+0.0024437i,0.0030208+0.0033721i,0.0037171+0.0025149i,0.0021972-0.00011167i,0.001305-0.0013205i,0.00044635-0.00049228i,-0.00066362+0.00095721i,-0.0012269+0.0012686i,-0.00094013+0.0012007i,0.00011366+0.00067585i,0.00057653-0.00026706i,0.00063088-0.0006476i,-0.00041253-0.00079925i,-0.0011517-0.0010408i,-0.00060996-0.00030247i,0.00037014+0.00041875i,0.00017936+0.0007955i,-0.00014319+0.00072572i,0.00041859+0.00056066i,0.00041011+0.00095546i,0.00033958+0.00096632i,0.00057653+0.00018674i,0.00092389+0.00012598i
-0.0017052+0.0024557i,-0.001856+0.0028634i,-0.00060014+0.0022564i,0.00055076+0.0020819i,0.00056617+0.0015083i,-0.00076102+0.00030839i,-0.0011707+0.0004107i,-0.00071101+0.00016966i,0.00019121-0.00036271i,0.00090698-0.00014815i,0.00079563-1.8483e-05i,-0.00018567-0.00033482i,-0.00058015-0.00092235i,-0.00013178-0.00050452i,-0.00033539+0.00022133i,-0.00076901-0.00012107i,-0.00045315-4.1809e-05i,0.00021139+3.2575e-05i,0.00112-0.00010274i,0.0011502-0.00027623i,-0.00040046-0.00073936i,-0.00083356-0.0011867i,-0.0001074-0.00090804i
-0.0014549+0.00041849i,-0.0011698+0.0019782i,-0.0005565+0.0026205i,-0.00015291+0.0014349i,0.00066356+0.0008856i,0.00065751+0.00097563i,2.959e-06+0.00065842i,-0.0004792-0.00027024i,-0.00037289+3.5136e-05i,-0.00029439+0.0013761i,-2.3697e-05+0.001379i,0.00032801+0.00047697i,0.00062573+0.00057292i,0.00084988+0.00074189i,0.00080811+8.9843e-05i,0.00036864-2.3287e-05i,-0.00026653-0.0001189i,-0.00045453-0.00067365i,-0.00075778-0.00043787i,-0.00048415+0.00019636i,5.8485e-05+0.00021489i,-0.00075107-9.1701e-05i,-0.00016234-0.00025423i
-0.00081902-0.00036305i,-0.00071432-0.00038861i,0.00039829-0.0005079i,0.00066687-7.8608e-05i,0.00036471+8.5261e-05i,-0.00035788+0.00045823i,-0.0010445+0.0015573i,-0.00027083+0.0016935i,0.00021465+0.00082237i,-0.00028554-0.00018741i,-0.00037571-0.00033731i,4.0434e-05+0.00012231i,0.00024757+3.7799e-05i,0.00057014+0.00080843i,0.00041761+0.0015945i,-0.00034476+0.0015783i,-0.000501+0.00082544i,-0.00056334-8.6601e-05i,-3.5056e-05-0.00071159i,0.00087301-0.00043768i,0.00065536-0.0001024i,0.0002726-0.00026578i,0.00059235-1.462e-05i
0.0017143-0.0010574i,0.00092214-0.00062061i,-0.00027073-0.0015489i,-0.0012639-0.0015795i,-0.0016826-0.0009883i,-0.0015863-0.00019975i,-0.0013955+0.0011394i,-0.0006998+0.0013826i,0.00012274+0.00016961i,1.8056e-05+0.00022491i,-0.00043095+0.00094235i,-0.00052209+0.00090494i,-4.5335e-05+0.00048039i,0.00045488+0.0011654i,0.00080424+0.0015495i,0.0012656+0.0013475i,0.0013487+0.00042195i,0.0011389+0.00012982i,0.00069633+0.00093244i,3.9491e-06+0.00071114i,-0.00048781-2.6746e-05i,-0.0010407+0.00021121i,-0.00069876+7.9164e-05i
0.00078778-0.0004705i,0.0010894+0.00047075i,0.00039816+7.5718e-05i,-0.00057094-0.00075585i,-0.00071379-0.00034311i,-0.00083209+0.00011086i,-0.0010257+0.00018569i,-0.00027025-0.00033326i,0.00026718-0.00083817i,0.00014344-0.00030871i,-0.00036195+0.00022876i,-0.00064189+0.00061823i,-0.0004804+0.00068145i,0.00030072+0.00031082i,0.00074971+4.1492e-05i,-0.00017588-0.00024577i,-0.00019923+6.0655e-05i,0.00042596+0.00072227i,-7.5349e-05+0.00079864i,-0.00037494-0.00010751i,3.0895e-06-0.00081468i,1.9223e-05-0.00054397i,-0.00045295-0.00037143i
-0.0018035+0.0040558i,-0.00031451+0.0035986i,0.0010596+0.0023863i,0.0017321+0.0018146i,0.001269+0.00057923i,0.00023637-0.00024125i,-0.00019344+0.00097877i,-0.00024963+0.0014869i,-0.00067715+0.00081672i,-0.00042337+0.00062217i,0.00045195+0.00077394i,0.00050835+0.00044025i,-8.4533e-05-0.00030838i,-0.0012037-0.0008595i,-0.0009589-0.0010899i,-5.2831e-05-0.00022031i,0.0001865+0.00095779i,0.00035016+0.00062857i,-0.00033498+0.00020553i,-0.00095138+0.00046566i,-0.00088427+0.0011184i,-0.00060287+0.0008427i,-0.00024667+2.8907e-05i
-0.001705+0.0019364i,-0.0010173+0.0026665i,0.00022278+0.0031928i,0.0017318+0.0020035i,0.0025506-2.9955e-05i,0.00075166-0.0011927i,-0.0008467-0.00036715i,-0.00015912+0.00073943i,0.00051911+0.0011466i,0.0015939+0.00022755i,0.0021178+0.00017702i,0.00028413-4.5165e-06i,-0.00047181-0.00041927i,-1.4827e-05-0.00036649i,0.00057739-0.00077122i,0.0006933-0.0010159i,0.00039405-0.00055615i,0.00026916-9.4697e-05i,-0.00049225+0.00013947i,4.9199e-05-0.00017832i,0.00026019-0.00058526i,-2.8965e-05-0.00068813i,-0.00018768-0.00024049i
-0.00092201-0.00037113i,0.00021834+0.00041207i,0.00037489+0.00098991i,0.0010208+0.00064753i,0.0011812+8.0334e-06i,0.00024715-0.00035141i,-0.00015319+0.00015208i,-4.7214e-05+0.00068062i,0.00023793+0.00060941i,5.9893e-05+0.00026109i,0.00083437-2.8692e-05i,0.0014718-6.8401e-05i,0.00021358+0.00085918i,-0.00019811+0.0012752i,0.00079121+0.00049024i,0.00020295+0.00024052i,0.0002196+0.00036367i,0.00058183+0.00067143i,0.00019231+0.00054502i,8.2345e-05+0.00012927i,-0.00035977+0.00022304i,-0.0009227+0.00059171i,-0.0010368+0.00034633i
0.00053282+0.0021978i,0.00040787+0.0020865i,0.00073541+0.0012157i,0.0014022+8.7273e-05i,0.0013907-0.0004597i,0.00045453+0.00019614i,-0.00032815+0.0011669i,-0.00012317+0.00085655i,-8.1862e-05+0.00012272i,0.00042529-0.00012099i,0.00089133+0.00051729i,0.00010353+0.00047263i,-0.00025252-0.00015395i,0.00027108+0.00025798i,0.0007219+0.0010216i,0.00071462+0.00098717i,7.4029e-05+0.00074529i,-0.00020262+0.0011719i,9.3873e-05+0.00026446i,-0.0002158-0.00062457i,-0.0010453-0.00034276i,-0.00086517-0.00043418i,-0.00022859+4.1906e-05i
