-0.0019175-0.0002268i,-0.0011621-0.0016575i,-0.0026457-0.0011925i,-0.0022076-0.0007715i,-0.0010347+0.00046349i,-0.000503+0.0020381i,-0.0002433+0.0021423i,0.00026235+0.0011622i,0.00075101-2.069e-05i,-0.00053266+1.2513e-05i,-0.00093955+0.00082392i,-0.00027447+0.00056586i,-0.00018169+0.0004828i,0.00085744+0.0011854i,0.0012794+0.0011822i,0.00079971+0.00033353i,0.00064848-0.00050977i,2.0704e-05-0.00047864i,-0.00011739+0.00021229i,0.00018401+0.00022733i,0.0005077+0.00014236i,0.00023164+0.00046909i,-0.00033657+0.00029599i
0.0020014-0.00020851i,0.0018015+0.00049103i,0.0013323+0.00054079i,0.0011511-3.1354e-05i,0.00039834-0.00051202i,-0.00044722-0.00042479i,-0.00060855-0.00018553i,-0.00061716-0.00047921i,-0.00038583-0.00062794i,-0.00046322-0.00063955i,-0.00017295-0.00027635i,-8.3704e-05+3.6829e-05i,-0.0003198+8.3293e-05i,-0.00018583+0.00013565i,-0.00045116-2.4489e-05i,-0.00087039-0.00081027i,-0.0006036-0.00083352i,-0.00010856-0.00076528i,-3.6715e-06-0.0012448i,0.00063682-0.00027702i,0.00076067+0.00041738i,0.00045573+0.00014306i,0.00019767-0.00011529i
0.001076+0.00029173i,8.9485e-05-0.0001934i,0.00090582-0.00085677i,0.0016644-0.0014547i,0.0013389-0.0016733i,0.00087135-0.00068729i,0.00034817+0.00023035i,-0.00061601-0.00013679i,-0.00078093-0.00078352i,-0.00067056-0.00024141i,-0.00088776+0.00069686i,-0.0004014+0.00044721i,-0.00022009+0.0005038i,-0.00026371+0.00069312i,0.0002394-0.00022396i,0.001141-0.00062157i,0.00025286+3.0967e-05i,-0.00012449+4.5881e-05i,0.00069556+0.00048717i,-0.00014196+0.0011487i,-0.00047719+0.00064946i,0.00012443+0.00033076i,-0.00040547+0.00095513i
-0.0017796-0.00059324i,-0.002729-0.0013173i,-0.0028788+0.0011778i,-0.0011577+0.0019183i,0.0010248+0.0018905i,0.0011662+0.0017524i,-0.00013715-0.00012117i,-0.00071994-0.00068062i,-0.0010205-0.00011063i,-0.0011827+0.00026415i,-0.00061436-5.871e-05i,-0.00038988+0.00011853i,0.000444+0.00037924i,0.0015778+0.00084953i,0.0011932+0.00068148i,0.00026852+0.00031827i,-0.00019015+0.00042837i,0.0002808+0.00038409i,0.0010859-9.498e-05i,0.00049989-0.000667i,-0.00015805-0.00045158i,-0.00010986+0.00021508i,-0.00039607-5.0001e-06i
0.00094669-0.0016125i,0.0015015-0.0019577i,0.00061884-0.0019517i,-0.00062172-0.0017861i,-0.00093521-0.0017861i,-0.00066508-0.0018891i,-0.00070849-0.0014637i,-0.0005964-0.00089534i,-0.0010976-0.00036662i,-0.001894+0.0006035i,-0.0011366+0.0016173i,0.00034905+0.0012508i,0.00076085+0.00083517i,-0.00017978-4.8329e-05i,-0.0012335-0.00096814i,-0.0012046-0.00028771i,-0.00035348+0.00038725i,-0.00015318-2.6294e-05i,-0.0001227-0.00035752i,0.00018632-0.00032576i,-0.00028902-0.00034367i,-0.0013889+9.9527e-05i,-0.001151+0.0003511i
-0.0015143-3.2165e-05i,-0.0018362-0.00011724i,-0.0023741+0.00051607i,-0.00085579+0.0016182i,8.0852e-05+0.0023195i,-2.7917e-07+0.0018344i,0.00012167+0.00058421i,-0.00034561-9.0463e-05i,-0.00068629-0.00063267i,-0.00081682+0.00039803i,-0.00025271+0.0016641i,0.00067208+0.001572i,0.00035312+0.0010336i,-0.00034341+0.001165i,-0.0008095+0.0009224i,-0.00094666+0.00035715i,-0.00072317+0.00019771i,-0.00037563-0.00048036i,-0.00045602-0.00071544i,-0.00077016-2.672e-06i,-0.00071007+0.00050115i,-0.00088719-0.000241i,-0.0007824-0.00076587i
-0.0017372-0.0022858i,-0.0017646-0.0036758i,-0.002583-0.002292i,-0.0024084+0.00028418i,-0.0010276+0.0013688i,0.00019059+0.0010501i,0.0005003+0.00043699i,-0.00022155+0.00032014i,-0.00068135+0.00031295i,-0.00077874+0.00043457i,-0.00093727+0.0012417i,-0.00024923+0.0010931i,0.00062344+0.00036425i,0.00012764+8.0971e-06i,-0.00019479-0.00019869i,0.00037705-0.0010039i,-9.5873e-05-0.0015983i,-0.00044004-0.00093493i,-5.7329e-05-0.00051921i,-0.00019252-0.00030819i,-4.2799e-05+2.6337e-05i,0.0002649-1.7663e-05i,0.000389+0.00019614i
0.001632-0.00086116i,0.0021875-0.00052793i,0.0019838-0.0010034i,0.00011614-0.00037385i,-7.7939e-05-0.00047431i,0.0001705-0.00061503i,-0.00064499+0.00016594i,-0.00093678+0.0001765i,-0.00056265-0.0010782i,-0.00085818-0.00060001i,-0.0013342+0.00058294i,-0.00062936+0.0010799i,-0.00027738+0.0011309i,-0.00053883+0.000508i,-0.00024065-0.00017057i,-0.00014929-4.7655e-05i,-0.00036182+0.00017064i,-0.00071493+0.0003159i,0.00012177-2.232e-05i,0.00047978-0.00064612i,4.5702e-05-0.00056584i,0.00049379-0.00024193i,0.00020209+7.6237e-05i
0.0015859-0.00089786i,0.00092421+0.00029536i,0.00063107+0.00030088i,-5.8236e-06-0.000397i,-0.00064689-0.00028798i,-0.00074276+0.00019023i,-0.00048864+0.00016641i,-6.5096e-05-0.00039796i,0.00022518-0.00057153i,-0.00027996-0.00051725i,-0.0011827-5.4594e-05i,-0.00079815+0.00080435i,0.00020196+0.0011089i,-0.00012772+0.0004246i,-0.00010177-0.00038666i,5.1236e-05-0.00037997i,-0.00058031+0.00022644i,-0.0010238+8.6553e-05i,-0.00055951-0.00089357i,-2.6755e-05-0.0014617i,0.00060618-0.0013711i,0.00082878-0.00077489i,0.00025461-0.00012069i
0.00053315+0.00083246i,0.0010457+0.00042723i,0.0023265+7.8618e-05i,0.001307+0.00064975i,0.00066657+0.00051844i,0.00048349+1.524e-05i,-0.00064642+0.00030114i,-0.00025501+0.00041954i,0.00059258+0.00025488i,-0.00047038-5.1001e-05i,-0.0012847-0.00011994i,-0.00017394+7.7275e-05i,0.0011589-1.0742e-05i,0.00064635-0.00010004i,-0.00010224+0.00020857i,0.00036521+0.00061222i,0.00014156+0.00015471i,-4.3431e-05-0.00020231i,-7.9924e-05+0.00017823i,-0.00010495-5.7745e-05i,-0.00038107-0.00041193i,-0.0002052-0.00042884i,0.00077975-0.00015549i
-0.0013705+0.00074017i,-0.0015275-0.000235i,-0.00099975-4.336e-06i,-0.00049582+0.00023425i,0.00049054+0.00062652i,0.00062862+0.0011375i,-0.0010042+0.001274i,-0.0017803+0.0010634i,-0.0010945+6.9255e-05i,-0.00068976+0.00038233i,-0.00062308+0.0013211i,-0.000513+0.0021895i,-0.00051957+0.0020414i,3.2008e-05+0.00068602i,0.0004681-0.00043907i,0.00061905+8.6467e-05i,0.00049714+0.00076575i,0.0010291+0.00079959i,0.0010182+0.00092251i,0.00037382+0.00044347i,-5.7358e-05+0.00010603i,-0.00053067-0.00040894i,-0.00057668-0.00059998i
