-0.0020988-0.00035189i,-0.0036171-0.00089888i,-0.0046756-0.00053389i,-0.0036379-0.00033941i,-0.0033273+0.00031006i,-0.0026652+0.00089341i,-0.00067907+0.001179i,0.00058583+0.0013959i,0.00090182+0.0011432i,0.00051989+0.00046071i,-2.6456e-06-0.0003598i,-0.00034811-0.00014436i,-0.00090408+0.0006016i,-0.00057899+0.00071943i,-5.9531e-05+0.00052131i,9.1246e-05+0.00012446i,0.00023401-0.00040086i,-0.00015577+8.1792e-05i,-0.00039315+9.0827e-06i,-0.000266-0.00017422i,-0.00030458-0.00038017i,-0.00035697-0.00050492i,-9.2816e-05-0.00057006i
0.00018035-0.0013821i,0.0010952-0.00048291i,0.00050303-0.0011404i,0.0002619-0.00094798i,0.00038078+0.00012698i,-7.3263e-05+0.0010217i,-0.00032983+0.0018455i,3.4519e-06+0.0010835i,0.00025733+0.00027025i,0.00010958+0.000276i,-0.00019282-7.4881e-05i,0.00042375-0.00093189i,-7.536e-06-0.0011807i,-0.00054025-0.00014306i,-0.00048124-1.2158e-06i,-0.00045915-0.00061864i,-0.00051152-0.00093624i,-0.00079465-0.00065471i,-0.00020876-0.00021876i,6.3844e-05+0.00064857i,-0.00064625+0.001087i,-0.0013215+0.00056795i,-0.00088631+9.4787e-05i
-0.00069655-0.0025532i,-0.0012344-0.0025025i,-0.00094302-0.0027733i,4.7288e-05-0.0015974i,-0.00022778-2.3281e-05i,-0.0012067+0.00063156i,-0.0010652+0.00048798i,-0.0003437+0.00040146i,6.6642e-05-4.9396e-05i,-1.1375e-05-0.00039479i,0.00017871-0.00014773i,0.00039348-0.00028488i,0.00053042-0.00056958i,0.0002295-0.00078595i,0.000477-0.0010392i,0.0012247-0.0007115i,0.0013317-0.00025302i,0.0005788-0.00033078i,-0.00030619-0.00033152i,-0.00056566-0.0009464i,-0.00084421-0.00095968i,-0.0011112-0.00081941i,-0.00064626-0.00018277i
0.00055317-0.0014834i,0.00030744-0.0016448i,0.00083645-0.0012149i,-0.00031634-0.00092509i,-0.00062532-0.00070011i,0.00049725+0.00039049i,5.3018e-05+0.00073636i,0.0002133+6.5237e-05i,0.0009362-5.9363e-05i,0.0002952-0.0003897i,-0.00052008-0.00099148i,-0.00021295-0.00048924i,0.00035502-0.00042815i,0.00033416-0.00089904i,0.00032053-0.0010027i,-6.9751e-05-0.00013486i,-0.00059133+0.00085543i,-0.00032546+0.00083831i,4.5138e-05+0.00074659i,-0.00010368+0.00019573i,6.9181e-06-7.5529e-05i,0.00017447-0.00044253i,2.437e-05-0.00040407i
0.00024602+0.00065601i,0.00071816+0.00089512i,-0.00025613-0.00025824i,-0.0012131-0.0015356i,-0.00088453-0.00086088i,-8.435e-05-0.00018802i,0.00062676-0.00048165i,0.00093453-0.00061848i,0.00062436-0.00045598i,-0.00030986+0.00025453i,-0.00066958+0.00044047i,-0.00037426-0.00026021i,7.4053e-05-0.00048302i,0.00035088-0.00021431i,-0.00023439-0.0005393i,-0.00026615-0.00044122i,0.00051497-0.00029358i,0.00071218-5.4923e-05i,-0.00035035+0.0002575i,-0.0011094+0.00016535i,-0.00095173+0.0001277i,-0.00033385-4.7496e-05i,-0.00053772-1.5498e-05i
0.0010645+0.00036754i,0.0010003-5.9258e-06i,0.0015999+0.00023401i,0.0011231-0.0001449i,0.00072416-0.0010049i,0.00042101-0.00012817i,0.00044799+0.00033016i,0.00051789+0.00035567i,0.00021639+3.3218e-05i,-0.00072448-0.00057364i,-0.00086491-0.00088656i,-0.0002381-0.00075808i,0.00030314-0.00040183i,0.00078295-0.0006077i,0.00045131-0.00045524i,0.00058603-0.00083925i,0.00038848-0.00045955i,-0.00064872+0.00038325i,-0.00077743+0.00058364i,-0.00067599+0.0006363i,-0.00037785-2.2124e-05i,6.257e-05-0.00017572i,0.000125+0.00048485i
-0.00087453-0.0011143i,-0.00036339-8.1679e-05i,0.0003753+0.00080777i,0.00035233+0.00027605i,-0.00076242+8.1591e-05i,-0.00058938+0.00092355i,1.1867e-05+0.0012452i,-0.00021241+0.0012742i,-0.00074038+0.001125i,-0.00057094+6.1363e-05i,-0.00019552-0.00037122i,-0.00038678-0.00028136i,-0.00015202+0.00027579i,0.00038514+0.0011501i,0.000147+0.00074686i,8.097e-05-0.00059205i,0.00018474-0.00072523i,-0.00033702+0.00021072i,-0.0010942+0.00054004i,-0.00088348+0.000279i,-0.00040417+0.00043002i,-0.00021239+0.00037768i,-0.00018933+5.2336e-05i
-7.7671e-05+0.00071224i,0.00042394+0.001689i,0.00017422+0.0023828i,-0.00022029+0.0015756i,0.00038637+0.00072199i,-0.00015396-0.00021274i,-0.00020553-4.4886e-06i,0.00081878+1.573e-05i,0.0010942+2.4543e-05i,0.00071878+0.00026833i,0.00074518-0.00072254i,0.00067502-0.0011378i,0.00016926-0.00018631i,0.00021109+0.00019697i,0.00013869-0.00014753i,0.00011988+0.00013401i,-0.00026667+0.00032702i,-9.7187e-05+0.00021532i,-2.2287e-05+0.00019707i,-0.00012975-4.7106e-05i,-0.00066797+0.00032826i,-0.00066622+0.00063929i,0.00016645+0.00094902i
-0.0016178-0.0010862i,-0.0015433-0.0008591i,-0.0024469-0.00050395i,-0.0015131+0.00031354i,-0.00069835+0.0010571i,-0.00071513+0.00086135i,1.2924e-06+0.00077974i,0.0006033+0.00099967i,0.0006237+0.00065537i,-0.00046732-6.0446e-05i,-0.00087678+0.00025507i,-0.00030471+0.00054495i,-0.00021883-0.00018475i,-0.00060384-0.00041367i,-0.00038747-0.00029564i,0.00015769-0.00038326i,0.0010468-0.00026938i,0.0015597-0.0001189i,0.00089905+0.00031345i,0.00095397+0.0003554i,0.0014813+0.0001195i,0.00080688+0.00012802i,-0.00047128+5.321e-05i
0.0011933+0.00090531i,0.0016997+0.00089294i,0.0025718-0.00048889i,0.0014409-0.0013629i,-0.00082795-0.0010277i,-0.00041869-0.00020486i,0.0011566+0.00046709i,0.0013653+0.00022268i,0.0011181-0.00010482i,0.0011887-0.00044298i,0.00028599-0.00068201i,-0.00030143-0.00097008i,-0.00040836-0.00081919i,-0.00098186-0.00043375i,-0.0010254-0.0005196i,-0.00098264-0.00044346i,-0.0014086+0.00021168i,-0.0015746+0.0011336i,-0.00099711+0.0010412i,0.00017985+9.048e-05i,0.00034828-0.00067248i,-0.00020667+0.00065508i,-0.00013773+0.0012565i
0.0011324+0.0006565i,0.00015511+0.00092642i,-2.236e-05+0.00064931i,-0.00063154+0.00055559i,-0.00087932-0.00035723i,-0.00090093-0.00079621i,-0.00068092-0.00047724i,-8.1608e-05+0.00024685i,-0.00031235-8.4369e-05i,-0.0005293-0.00069718i,0.00026872-0.00016268i,0.00050101-0.00022535i,0.00037944-0.00013217i,0.00027977+0.0002685i,-3.6419e-05+5.7881e-05i,0.00044814-0.00060072i,0.00065925-0.00096288i,-0.00055281-0.00027443i,-0.00077852-0.00012065i,0.00018321-0.00051337i,0.00025581-0.00035444i,-0.00013438-0.00033689i,9.8433e-06-0.00072824i
