-0.00033817+0.00075725i,0.0013843+0.00022151i,-0.00021465+0.00015442i,-0.0013192-0.00023808i,-0.002253+0.0003303i,-0.003112+0.0010013i,-0.0016092+0.001379i,-0.0003527+0.002277i,2.9771e-05+0.0015609i,0.00033795+0.00074165i,0.00025063+0.00015291i,0.00018934-0.00051335i,0.00050012-0.00079347i,0.00029589-0.00077718i,-0.00043108-0.00030867i,-0.00070673+0.00061747i,-0.0011241+0.00086921i,-0.00065604+0.00022578i,-0.00017034-0.00019654i,0.00046215-7.8481e-05i,0.0012268-0.00022493i,0.00052577-0.00087115i,-0.00019466-0.00085038i
0.0016319+0.0024542i,0.0017348+0.0010562i,0.0018603+0.00054289i,0.00073409+0.00048915i,0.00011615+0.00013323i,-0.00017768-2.5561e-05i,-0.00039085+0.0002164i,-0.00014103+0.0010817i,0.00061405+0.0018699i,0.00057912+0.0014129i,0.00058333-5.1597e-05i,0.00078525-0.00056166i,0.0011173-0.00017442i,0.0016397-0.00096111i,0.00071693-0.00078525i,-0.00011478-7.9779e-05i,0.001089+0.00045495i,0.00081376+0.00096525i,-0.00071138+0.00079378i,-0.00069135+7.4474e-05i,0.00012586-0.00050941i,-0.00035813+0.00014828i,-0.0006665+0.00051854i
-3.1797e-05-0.0007169i,0.0010459-0.0012871i,0.00048285-0.00049412i,0.00032661+0.00060905i,0.00077824+0.0019115i,0.00050418+0.0015884i,0.00029017+0.0012757i,0.0012785+0.0014926i,0.0021365+0.0011862i,0.0017695+0.00044326i,0.00091694+0.00024895i,0.00080882+0.00029327i,0.00063152-0.00056522i,0.00019797-0.00062457i,0.00015116-9.724e-05i,0.00025335-0.00028008i,0.00013729-0.0007091i,3.7843e-05-0.00055921i,0.00040415-0.00018496i,0.00095717-0.00041015i,0.0013686-0.00010272i,0.00091831+0.00049417i,0.00019457+0.00070267i
0.00044228-0.0014309i,3.4687e-05-0.00019202i,-0.001761-0.00022489i,-0.0022859-0.00098064i,-0.0016514+0.00011606i,-0.00098058+0.0013632i,-0.0001369+0.0016069i,0.00048772+0.0012219i,0.00040689-2.4442e-05i,0.00012278-0.00078678i,7.1021e-05-0.0005669i,-0.00042016-5.8378e-05i,-0.00029346+0.00027363i,-6.3304e-05+2.452e-05i,-0.00043538-0.0004486i,-0.00063956-0.00047746i,-0.0005066-0.00062666i,0.00016062-0.00070203i,0.00057743-0.00068475i,0.00060493-0.000952i,0.00075935-0.0005824i,0.0008861+0.00029341i,0.00066675+0.00042919i
0.0034256+0.00011533i,0.0037377-0.00058464i,0.0044342-0.00072479i,0.0038162-0.0011898i,0.0011549-0.00097225i,-0.00086297+1.6191e-05i,-0.000778+0.0012521i,-0.0010694+0.0012036i,-0.00081785-6.987e-05i,0.00060138-0.00064447i,0.0011291-0.0003006i,0.001104-0.00053288i,0.00090573-0.0004243i,0.00054201-0.00038892i,0.00064129-0.00080738i,0.0003641+0.00015124i,0.00017642+0.0010023i,0.00055347+0.00070515i,0.00053248+0.00034263i,0.0002041+1.5864e-05i,0.00051096-0.00029758i,0.00064397+8.5183e-05i,0.00074976+0.00038283i
0.002495-4.7072e-05i,0.0018695-0.00087081i,0.0010096-0.0017535i,0.0005787-0.001724i,-6.3513e-05-0.00076659i,-0.0008497-0.00039718i,-0.00039736-0.0004476i,0.00086335-0.00055098i,0.0010019-0.00035048i,0.00070162-0.00040381i,0.00045149-4.182e-07i,0.00068485+0.0004345i,0.0013393-5.9039e-05i,0.0011176-0.00065545i,0.00085701-0.00064156i,0.00039234-0.00044187i,-0.00035077-0.0007923i,-0.00021095-0.00047933i,-8.9929e-05+0.00012975i,-0.00039597+0.00027434i,0.00023229+0.00039681i,0.00066282+0.00059405i,0.00071621+0.0007391i
0.0017126-0.0013788i,0.0027583-0.00069585i,0.002857-0.00011297i,0.0011408-0.00023817i,-0.0010836+0.00029054i,-0.0011483+0.00042453i,-0.00052981+0.00021528i,7.609e-05+0.0002026i,0.0011294-0.0003556i,0.0017568-0.00078556i,0.0014987-0.00079492i,0.0013034-0.00064254i,0.0015142-0.00088699i,0.0011375-0.00082423i,0.00012712+4.5779e-05i,-1.1397e-05+0.00098204i,-0.00012012+0.0012314i,-0.0008598+0.00051699i,-0.00055115+0.00013045i,0.00063679+0.00033405i,0.00089285-5.0468e-05i,-0.00011548-0.00054139i,-0.00035827-0.00082196i
-0.00058507+0.00084704i,-0.0010732+0.0017098i,-0.00029431+0.0019725i,-0.00035481+0.00068405i,-0.0002352+0.00012305i,0.00029446+0.00036248i,-0.00052494+0.00072698i,-0.00065093+0.0009867i,0.00033033+0.00082836i,0.0014006-0.0001385i,0.0013594-0.0013056i,0.0015619-0.0014504i,0.0011042-0.0012091i,1.2074e-05-0.001501i,-0.00064627-0.0012951i,-0.0006383-0.00070084i,0.00052588+6.3534e-05i,0.00072392+0.00048377i,0.00011738-1.2287e-05i,-0.00011623-0.00052033i,0.00020302+0.00022616i,0.00081673+0.00055398i,0.0012331+0.00056995i
0.00082402+0.0013213i,-0.00014212+0.0011806i,0.00015637+0.0013001i,0.00084758+0.00076679i,0.0012162-0.00030448i,0.00048908-0.00049606i,7.2509e-06+0.00079726i,0.00077499+0.00065508i,0.0015696-0.00024616i,0.0012861-0.00020917i,0.00074724-0.00059696i,0.00099058-0.00016822i,0.0015212+0.00012972i,0.0020554-9.0904e-05i,0.0017109+0.00022083i,0.00028035+0.00021085i,-0.00040081+6.9424e-05i,-0.0011258-0.0003652i,-0.001588-0.00090626i,-0.00034955-0.00085776i,0.00046108-0.0001875i,0.00021346+0.00048379i,0.00076529+0.00065979i
0.0015493+0.00054331i,0.0014914-9.2413e-05i,0.0017993-0.00095016i,0.0010995-0.0016294i,-0.00053185-0.0010445i,-0.00072493-0.00048197i,0.00021184-0.00060347i,0.00060531-8.2871e-05i,0.00085898+0.00076519i,0.00079028+0.00047385i,-1.1911e-05-0.00045428i,6.9583e-05-0.00075809i,0.00094521-0.00069486i,0.00016503-0.0001182i,-0.0010195+0.0003774i,-0.0013748-9.5541e-05i,-0.0014761-0.00053008i,-0.0011773-0.0002029i,-0.00062414-4.6038e-05i,-0.00011329-2.6501e-05i,0.00041532+0.00038237i,0.00031194-0.00015404i,-0.00063366-0.00065566i
0.0018494+0.0010665i,0.0017098+0.0018417i,0.0021658+0.0019152i,0.0014603+0.0016861i,0.0010642+0.0014189i,0.00084633+0.001113i,0.00079104+0.0015192i,0.0015257+0.0011843i,0.0019258+0.00024846i,0.0017951+0.00024909i,0.0012752+0.00047709i,0.0013991+4.6236e-05i,0.0020777-5.6387e-05i,0.00085646+0.00010339i,-0.00080724-0.00024461i,-0.00035337-0.00032237i,-9.794e-05+0.0002554i,-0.00047164-0.00018757i,0.00046643-0.0004297i,0.00097734+0.00020851i,0.00045181-0.00016639i,0.0002488-0.00059956i,0.00026302+0.00018996i
