-0.00202+0.0012131i,-0.0012819+0.00053607i,-0.0032068-0.00014929i,-0.0033752-0.00054612i,-0.0016239-0.00023039i,-0.00072124+0.00087764i,-0.00044773+0.0012527i,-0.00070314+0.00097803i,-0.00012927+0.00098982i,0.00097737+0.00094893i,0.00029673+0.00012712i,-0.00056601+6.5104e-05i,-0.00049611+0.0007718i,-0.00032728+0.00076161i,-0.00021893+0.00067865i,0.00018113+0.00048408i,0.00023894+0.00012509i,0.0005741-5.17e-05i,0.00083471-0.0010756i,0.00031264-0.0016228i,-0.00047533-0.00096721i,-0.00091855-0.00049589i,-0.00059755-0.00035931i
0.0017525-0.00017295i,0.0021423-0.00033868i,0.0034792+0.00057633i,0.0032272+0.00053774i,0.0020435-6.7585e-05i,0.0015705+0.00031721i,0.0018028+0.0003447i,0.0013628+5.2293e-06i,-0.00022178-0.00085613i,-0.001082-0.0012762i,-0.0011072-0.00078608i,-0.0012536-0.00019596i,-0.00070514+0.00027376i,-0.00023502+5.1217e-05i,-0.00041795-0.00046943i,-0.00036466-0.00038638i,-0.00050451+2.5073e-05i,-0.0007022-0.00054547i,-0.00070218-0.00014861i,-0.00024903+0.00070592i,3.9841e-05+0.00082139i,0.00013955+0.0011146i,6.8057e-05+0.00075476i
0.0013582-0.0022499i,0.001629-0.0011594i,0.0014731-0.0011209i,0.0001965-0.0014294i,-0.00021036-0.0001049i,0.00029657-0.00022656i,0.00095953-0.0013096i,0.00036501-0.00081801i,-9.1758e-05+5.804e-06i,0.00018513-3.0363e-05i,-0.00034249+0.00059152i,-0.0005526+0.0011806i,-0.00066946+0.00089943i,-0.00040689+0.0003551i,1.829e-05-3.1146e-05i,-0.00056757+0.0001022i,-0.0015026+0.00062674i,-0.0016255+0.00052339i,-0.0011402-0.00028609i,-0.00081695-0.00058022i,-0.00059825-0.000491i,-0.0003654-0.0002383i,-0.00017638+0.00042194i
0.00026514+0.00075579i,-3.0292e-05-5.282e-05i,8.3044e-05-0.00046106i,0.00035094+0.0010997i,0.00049466+0.0019406i,0.0010633+0.0012123i,0.001272-6.2297e-05i,0.0011606-0.00053804i,0.00060672-1.1762e-05i,0.00054425+0.00050169i,0.00013098+0.00029802i,-0.0010265-0.0004406i,-0.0015532-0.00016606i,-0.0016108-0.00029373i,-0.0017212-0.00054116i,-0.001043+0.0001143i,-0.00030738+0.00036562i,-0.000362-5.2752e-06i,-0.00085898-0.00024114i,-0.00080466-6.8107e-05i,-0.00091597-0.00031966i,-0.00087174-0.0008036i,-0.00019261-0.00097003i
0.00063383-0.0021731i,0.0010833-0.0013553i,0.00088566-0.0011891i,0.00038297-0.00097153i,0.00020448-0.00034063i,0.00017891+0.00024039i,0.00012302+0.00026565i,0.00019169-0.00026548i,-0.00017533-0.00066947i,-0.0012292-0.00024861i,-0.0017621-0.00029427i,-0.0018634-0.0012025i,-0.001519-0.00059417i,-0.001248-6.9605e-05i,-0.0010551-7.5489e-05i,-0.00053807-5.831e-05i,-0.00037755-0.00050101i,-0.00085088-0.00058572i,-0.00072428-0.00068545i,0.00055184-0.0009801i,0.0011764-0.00073712i,0.00058651-0.00020505i,0.00036855+0.00053751i
-0.00068493+0.00017499i,-1.6149e-05+0.00070565i,-0.00034037+0.00066613i,-0.00068626+0.0005053i,-0.00089624+0.001013i,0.00022346+0.00070819i,0.0013078+3.2923e-05i,0.0011701-0.00044646i,0.0009267-0.00070721i,0.00048783-0.00096152i,-0.00012995-0.00031596i,-0.001025+0.00019773i,-0.0012814+0.00046822i,-0.0010289+0.00046102i,-0.00054267+1.1424e-05i,0.00026266+0.00014642i,-3.4393e-05+0.00050877i,-0.00037319+0.00055996i,-7.6797e-05+0.00068361i,1.1187e-05+0.00056017i,0.00081185+0.00023015i,0.0010101+3.2881e-05i,0.00035898+2.5348e-05i
0.00062607+0.0016599i,-0.00022638+0.0021603i,0.00079055+0.0027537i,0.0008798+0.0029524i,0.00037372+0.0019142i,0.00085151+0.00066633i,0.0013415-0.00054092i,0.00088973-0.0012058i,-2.9064e-05-0.0006122i,-0.00020839+0.00033854i,-0.00039397+0.00053126i,-0.00052971+0.00052475i,-0.00076992+6.4682e-05i,-0.00023927-0.00069825i,-3.8738e-05-0.00064212i,-0.00041336-0.00050277i,-0.00016426-2.6676e-05i,-0.0002457+0.00073428i,-0.00016379+0.00034156i,0.00019872-0.00042117i,0.00016218-0.00042402i,0.00019221-3.7652e-05i,0.0001827+0.00029682i
-0.0023752-0.0011805i,-0.0020057-0.0019086i,-0.0015421-0.0022782i,-0.00072417-0.00086218i,-0.00037586+0.0012778i,0.00012378+0.0019477i,5.7885e-05+0.00087709i,-0.0010852-0.00033007i,-0.0018427-0.00026519i,-0.0016207+0.0008965i,-0.00082881+0.0012463i,-0.00050597+0.00038617i,-0.00057179+0.00034679i,-0.00074369+0.00090235i,-0.00035489+0.0005147i,0.00040173+0.00089403i,0.00022397+0.00061569i,-0.00015797+0.00032703i,-0.00057062+0.00042591i,-0.00095239+0.00017006i,-0.0001715+0.00042618i,0.0010751+0.0006494i,0.00061927+0.00029321i
-0.0010779-0.0016898i,-0.00058894-0.0013185i,-0.00089816-0.00087763i,-0.0012519-0.00055823i,-0.00054781-0.00012156i,0.00059221+2.6511e-05i,0.0016348-0.00066229i,0.0013991-0.0014852i,0.00095342-0.00099215i,-0.00028073-0.00064067i,-0.0018106-0.0013238i,-0.0016962-0.00059289i,-0.00103+0.00050963i,-0.00097756+0.00015118i,-0.00085735-0.00047457i,-0.00095015-0.00088598i,-0.0013019-0.00040706i,-0.0013508+0.0001951i,-0.00083523+0.00052157i,-0.00064728+0.00051402i,-0.00066046+0.00036367i,-0.00075183+0.00015086i,-0.00039973-8.0433e-05i
0.00050662-0.0013784i,0.0015124-0.0010871i,0.0019268-0.0010463i,0.00191+0.00015631i,0.0022317+0.00034262i,0.0023933+0.00029774i,0.0020758-1.4484e-05i,0.00080419-0.0009297i,-0.00074806-0.0017354i,-0.0015573-0.0011051i,-0.0015713-5.9134e-05i,-0.0014555+0.00060848i,-0.0012462+0.00086757i,-0.0011483+0.00048032i,-0.0012661+0.000369i,-0.00089447-2.9518e-05i,-0.00063215-0.00035044i,-0.00047892-0.00064881i,-0.00022969-0.00029725i,-9.7904e-05+4.7625e-05i,0.00026894-9.3129e-05i,5.2187e-05+4.5212e-08i,-0.00026775+0.00019219i
-0.00094037-0.0011881i,-0.00037665-0.00077228i,-1.3526e-05-0.0014606i,-0.00049531-0.0012373i,-0.00065215+0.00045476i,0.000119+0.0016078i,0.00033758+0.00064425i,-6.1237e-05-0.00042995i,-0.00044168-0.00052403i,-0.00091458-5.8279e-05i,-0.0014673+0.0005533i,-0.0015906+0.00069897i,-0.0011931+0.00039958i,-0.00046085+0.00013886i,-0.00060515+0.00011513i,-0.0011599-5.7536e-05i,-0.0012018-0.00025046i,-0.00083406-0.0002835i,-0.00090856-0.00034597i,-0.0012092-0.00021793i,-0.0009729-9.6645e-05i,-0.00067598-0.00033935i,-0.00061081-0.00010041i
