-0.0012213+0.00023694i,-0.0023252-2.7948e-05i,-0.0030628+0.00092274i,-0.0025662+0.0015584i,-0.0025058+0.0014672i,-0.0030411+0.001314i,-0.0031129+0.0017791i,-0.0019976+0.0015383i,-0.00062279+0.00011569i,0.00016228-0.00044242i,0.00022024-0.00089631i,-2.0477e-05-0.00075032i,0.00020757+5.2379e-05i,0.0004538+0.00056531i,0.00038874+0.000641i,0.00068966+0.00069297i,0.0014987+0.00016718i,0.0017306-0.00070793i,0.0010921-0.0016773i,0.00057902-0.0018465i,0.00043453-0.00064657i,0.00012492+0.00040117i,0.00011736+0.00022135i
-0.0002048+0.0024955i,-0.0010406+0.001423i,-0.0019348+0.00061765i,-0.0020934+0.001177i,-0.0017622+0.0010255i,-0.0015821+0.00019128i,-0.00084182+0.00016095i,-0.00040612+0.00040923i,-0.00020788+0.00033881i,0.00011396+2.4541e-05i,0.00047467+0.00017744i,-3.8244e-05-0.00019228i,-0.00065326-0.00028085i,-0.00055838+0.00067168i,-0.00014844+0.00073557i,0.00067245+0.00025847i,0.0012425+0.00024474i,0.00075129-0.00014286i,-0.00044126-0.00032644i,-0.00080685-0.0007052i,-0.00054346-0.0005903i,-0.0003665+5.0956e-05i,-0.00013723+0.00020782i
-0.00098484-0.00021167i,-0.00078954+0.00018058i,-0.00050843+0.00072008i,-0.00035114+0.0011141i,-0.0012719+0.0015537i,-0.0023372+0.0011378i,-0.0022164+0.00041065i,-0.0014072+0.00051608i,-0.0010187+0.00073626i,-0.0010411+0.00051839i,-0.00046284+0.00015721i,0.00047519-1.3843e-05i,0.00064733+2.4078e-05i,-0.00031141+0.00029244i,-0.00016128+0.00039815i,0.0010652+0.00033837i,0.0015346+0.00074696i,0.0010148+0.00053956i,-6.3328e-05-9.7545e-05i,-0.00075451-0.00090483i,-0.00083355-0.00058725i,0.0001235+0.00082066i,0.00026068+0.0014119i
0.0014478+0.0012067i,0.0011845+9.4475e-05i,0.00048258-2.7188e-05i,-0.00063071+0.0011158i,-0.00068686+0.0014578i,-0.00084358+0.0012203i,-0.00095232+0.00051682i,-0.00089726+0.00013227i,-0.0012208+0.00030364i,-0.00062305+0.00013342i,-0.00042005-0.00067128i,-0.00073766-0.00067757i,1.2493e-05+0.00029597i,0.00019525+0.0012737i,0.0001017+0.0015415i,0.00050788+0.00048633i,0.0017167-0.00039932i,0.0012732-0.0006295i,-0.00022314-0.001082i,6.536e-05-0.0011826i,0.00076949-0.00054187i,6.4839e-05+0.00039849i,-1.027e-05+0.00062041i
0.0010706+0.00053579i,-0.00018591-4.8785e-06i,-0.00043414-0.00048392i,-0.00067835-0.00051308i,-0.0009628+0.00019347i,-0.00098355+0.0001918i,-0.00091299-0.00030404i,-0.00082841-0.00027687i,-7.2331e-06-0.00032175i,0.00010893-0.00072804i,-0.00020421-0.0006486i,3.7571e-05-0.00029517i,-0.000321-0.00049156i,-0.00018894+0.00012679i,0.00038021+0.00062664i,0.0012551+0.00056647i,0.0016363+0.00073468i,0.0015341+0.00044832i,0.0010416-0.00041695i,0.00045544-0.0011864i,0.00033471-0.00082028i,0.0004193-0.00021678i,0.00027405+0.00028591i
0.0010526-0.0018269i,9.4601e-05-0.0016158i,-0.001216+7.8149e-05i,-0.0005885+0.00073755i,-0.00027698+0.00074922i,-0.0011552+0.00076271i,-0.0015917+0.00020412i,-0.0014422-0.00025031i,-0.00075996-0.00051835i,-0.00054533-0.00060726i,-0.00057581-0.0002074i,-0.00027663+0.00017744i,-3.4e-05-0.00030188i,3.4012e-05-0.00075252i,0.00018956-0.00064057i,0.0010269-0.0009412i,0.0017521-0.00085509i,0.0014231-0.00022462i,0.0013645-0.0002259i,0.00094811-0.00042914i,-0.00029577-0.00026013i,-0.001276-0.00031192i,-0.0011154-0.00016971i
-0.0017206+0.0023418i,-0.0025289+0.0015533i,-0.0014435+0.001612i,-0.00038321+0.0022993i,-0.0004632+0.0018615i,-0.0013402+0.0010685i,-0.0016758+0.00031715i,-0.0013681+0.00032371i,-0.00052771+0.00054706i,-0.00016171+0.00049857i,-0.00022924+0.00023488i,0.0003867+0.00049509i,0.00050679+0.00058234i,0.00071321+0.00026655i,0.0012193+0.0002253i,0.0016362+5.3313e-05i,0.0010866+0.00032064i,0.00080927+0.0001245i,0.00087834-0.00064538i,0.00035249-0.00081579i,-0.00020613-0.0008165i,-9.8101e-05-0.00089296i,-0.00043314-0.00028574i
-0.00025948-0.0020024i,-0.0016612-0.0014923i,-0.003321-0.0012053i,-0.0033183-0.00021772i,-0.0025028+0.00070292i,-0.0023436+7.8687e-05i,-0.0021229+0.00023608i,-0.0013653+0.00015755i,-0.00091324-0.00017799i,-0.0004973-0.00066429i,-0.0003194-0.0010899i,-0.00038093-0.00071728i,0.00036603-0.00036438i,0.00048415+1.9573e-05i,0.00043152-5.6903e-05i,0.00063168+0.00044872i,0.0011475+0.00098016i,0.0012227+0.0012319i,0.0002918+0.00035444i,0.00010708-0.00058414i,0.00021226-0.0007538i,-5.091e-05+0.00028385i,-0.00095188+0.001487i
0.00055475+0.00075115i,0.00035866+0.00043573i,0.00074416+0.0011885i,0.0010857+0.002391i,0.00055342+0.0015784i,-0.0010979-3.0722e-05i,-0.0020039-0.0007389i,-0.0017915+0.00015426i,-0.0011877+0.00082445i,-0.00057839+0.00054398i,-0.00064515+0.00010955i,-0.00077241-0.00031754i,-0.00022015-0.0003884i,9.0194e-06-1.8536e-05i,0.00011038+0.00051429i,0.00027712+7.4437e-05i,0.00057475-0.00056638i,0.00057693-0.0013727i,-0.00014272-0.00090317i,-0.00074473+0.00050584i,-0.0010341-2.9494e-05i,-0.0015467-0.00027416i,-0.00094775+0.00041885i
-0.00069713-0.0020389i,-0.0024805-0.00091553i,-0.003913-0.001104i,-0.0043427+5.8956e-05i,-0.0038623+0.0013229i,-0.0026871+0.0013294i,-0.0026827+0.00043507i,-0.0021945-0.00038025i,-0.0011172-9.8469e-05i,-0.0011835+0.00038733i,-0.00091702+0.0003632i,-0.0001505-0.00070375i,-8.5485e-05-0.0012779i,-0.00038146+3.7086e-05i,-3.3565e-06+0.0013286i,0.00074608+0.0010161i,0.0012856+0.00033772i,0.0016737-0.00044132i,0.0013817-0.00041335i,0.00029448+0.00045304i,-0.00069428+0.00061437i,-0.0011268+0.0003559i,-0.00016742+0.00062873i
0.00046973+0.00030491i,-0.0010431+0.00074444i,-0.0011843+0.0018305i,-0.00042512+0.0019958i,-0.00066137+0.0011635i,-0.0015193+0.00052863i,-0.0017345+4.1257e-05i,-0.00094789-0.00013178i,-0.00010624+0.00022566i,-0.00010443+0.000247i,-0.00026229+0.0003276i,-0.00022214+0.00046597i,-0.00052299-0.00010474i,-0.00087198+0.00024525i,-0.00079387+0.00050476i,0.00032266+8.8642e-05i,0.0012568-0.00020145i,0.0010009+7.1534e-05i,5.4188e-05+3.2292e-06i,0.00020208+0.00013032i,0.00051644+0.00052824i,-8.2578e-05+0.00054682i,-0.00014412+0.00052532i
