0.0051282-0.00053599i,0.0071045-0.0023802i,0.0050618-0.0063439i,8.7482e-05-0.0076657i,-0.0049014-0.0055459i,-0.0072259-0.0011141i,-0.0040715+0.00097053i,-0.00070148+0.00024858i,0.00019853-0.00034721i,2.7665e-06-0.00068592i,1.2766e-05-0.00018523i,0.00011154+8.5754e-05i,0.00034652+0.00025724i,-0.00043989+0.00088307i,-0.0013786+0.0010999i,-0.00077931-0.00023544i,-0.00064982-0.0010149i,-0.00060818-0.00034954i,0.00011146+2.5757e-05i,0.00041527+0.00022114i,0.00032533+6.3681e-05i,0.0003884-0.00044384i,0.00023902-0.00019385i
-0.00049934+0.0017365i,-0.00022534+0.0020844i,0.00019093+0.0015466i,-0.00073077+0.00034261i,-0.0011825-0.00075739i,-0.0017023-0.00060114i,-0.0019293+7.2099e-05i,-0.0014403+0.00029783i,-0.0013861+0.00041325i,-0.0012363-0.00054343i,-0.00034122-0.00081234i,-0.00013693-0.00011019i,-0.00041826+0.00043614i,0.00018535+0.00093641i,0.00080183+0.0014843i,0.00099497+0.00064182i,0.00074181-0.00024846i,0.00031189-0.00075324i,0.00090619-0.00086877i,0.00027343-0.00049577i,-0.00073616-9.8729e-05i,-0.00029327-4.8465e-05i,0.00012075-0.00025976i
0.00089772-0.00010955i,0.0009146-0.0001798i,0.00046034-0.0010361i,-0.00050839-0.001355i,-0.0019044-0.00094881i,-0.0026873-0.00024746i,-0.0023825-0.00024275i,-0.0015543-0.00021527i,-0.0012347+0.00037391i,-0.0010887+0.0005559i,-0.00037155+0.00056299i,4.6816e-05+0.00095854i,-0.00040926+0.0011574i,-0.00050689+0.00027136i,0.000216+0.00035483i,0.00034168+0.00045337i,0.00010525-0.00022174i,0.00056731-0.00065387i,0.00088716-0.0010918i,0.00098466-0.00065354i,0.00089145+0.00014056i,0.00023515+5.7972e-05i,-1.4026e-06-0.00032797i
0.00078438+0.00092337i,0.0021184-7.3244e-05i,0.0033657-0.0019839i,0.002115-0.0030885i,0.00044098-0.0031733i,-0.0011055-0.001848i,-0.001463-2.2337e-05i,-0.00017381+0.00014569i,0.00021696-0.00096507i,-0.00071191-0.00055817i,-0.00066131+0.00046357i,-0.00043499+0.00037466i,-0.00056072+0.0002266i,-0.00055712-0.00037221i,-0.00065195-0.00095414i,-5.5021e-05-1.3055e-05i,0.00093289+0.00081166i,0.0010231+0.00053308i,0.00062661+0.00045703i,0.00017953+0.00097268i,-8.4867e-05+0.0013112i,-0.00025987+0.00045293i,-0.00073683-0.0002098i
-0.0037904-0.00061484i,-0.0042847-0.00023088i,-0.0049257+0.0017605i,-0.0034207+0.0018131i,-0.0011275+0.0010624i,-0.0010912+0.00029054i,-0.0018831-2.1683e-05i,-0.0014343+0.00064533i,-0.00082686+0.00057948i,-0.00038902+0.0012059i,0.00012252+0.0018359i,-0.00050047+0.0013411i,-0.0007031+0.00048344i,0.00020404-0.00037115i,0.00090323-0.00087683i,0.00070262+1.7168e-05i,0.00019362+0.00049708i,-7.1719e-05+0.0002628i,-0.00043727+0.00017345i,-0.00092567-0.0002253i,-0.00062814-0.00035375i,-5.9222e-05-0.00032499i,-0.00033553-0.00030942i
0.0002917-0.00013621i,0.00033814+0.00049966i,0.000471+0.00092662i,0.00028893+0.00025996i,-0.00067729-0.00063355i,-0.0012634-0.0013087i,-0.0010744-0.00099707i,-0.00056967-0.00039268i,-0.00095628+5.9657e-05i,-0.00091809+0.00012364i,-0.00036541+0.00015595i,-0.0003948+7.0701e-05i,-0.00061737+0.00018588i,0.0003048-0.00025248i,0.0014469-0.0013675i,0.00095625-0.0011735i,0.00014791+0.00043111i,1.2289e-05+0.00089674i,0.00029532+0.00039386i,-4.0022e-05+0.00038263i,-0.0006232+0.00067683i,-0.00040122+0.00075723i,-0.00024639+0.00074515i
-0.00056311+0.00084349i,0.00087779+0.00067115i,0.00048388+8.4699e-05i,-0.0001862-0.00041962i,-8.9325e-05-0.00060646i,0.00021144-0.00058551i,-0.00023972-0.00052839i,-0.00079452-0.00031018i,-0.00041108+0.00024937i,0.00047569+0.00079718i,0.00074978+0.00077603i,0.0010483+0.00014788i,0.0005964+5.0739e-05i,-0.00063841+0.0013292i,-0.00057251+0.0014101i,-0.00026308+0.00051326i,-0.00041564+0.00043517i,0.00067744+7.3522e-05i,0.00096766-4.965e-05i,0.0007374-0.00023709i,0.00017479-0.00028257i,4.7832e-05+8.1885e-06i,0.0001762+0.00034493i
3.0793e-05-0.0021085i,-0.0015791-0.00071759i,-0.0024076+0.00022873i,-0.0018289+0.00013003i,-0.0016426-3.5597e-06i,-0.0015466+8.518e-05i,-0.0015476-0.00026336i,-0.00094965-0.00085121i,-0.0001091-0.00051686i,-6.6301e-05+0.00012736i,-0.00011692+0.00045037i,0.00028731+0.001018i,0.00027812+0.0013262i,-0.00029739+0.00093638i,0.00033961+1.3333e-05i,0.00075436-0.00011847i,0.00027827+0.0005362i,0.0005061+0.00067697i,0.00061092+5.0739e-05i,-9.6815e-06-0.00011791i,-0.00061974+0.0005044i,-0.00012657+0.00014078i,0.00064283-0.0002624i
2.8322e-05+0.0031907i,-0.00016787+0.0024469i,0.00099002+0.0011313i,0.0014747-0.0003678i,0.0006184-0.001325i,-0.00065456-0.001439i,-0.00059042-0.00052321i,-1.8086e-05+0.00010571i,8.1895e-05-0.00021348i,-7.1478e-05-0.00059351i,-2.4456e-05-0.00063773i,-3.7249e-05-0.00052802i,-0.0005168-0.00059645i,-0.00072486-0.00039633i,-0.00077845+0.00010681i,-0.00077337-0.00020068i,-0.0006094-0.00041726i,1.2202e-05+4.2139e-05i,0.00054642+0.00044737i,0.00024185+0.00057543i,-0.00039563+7.0219e-05i,-0.00086646-4.234e-05i,-0.0012076-0.00016646i
-0.00063612+0.003336i,-0.00058069+0.0023032i,-0.00020972+0.00095813i,-3.602e-05-0.001155i,-0.00097826-0.0022713i,-0.0028527-0.0010223i,-0.0024969-9.2472e-06i,-0.0011885+1.913e-05i,-1.4437e-05-0.00016244i,0.00011271-0.00036125i,-0.00091467-0.00014015i,-0.00099669+0.00011528i,0.00021275-0.00041157i,8.1995e-05-0.00020718i,-0.00065571+0.0009216i,-0.00020615+0.00039844i,0.00060535-0.0007683i,0.00069476-0.00091129i,0.00054853-0.00016709i,0.0001629+0.00012978i,-0.00020703-9.4474e-05i,2.8802e-05+0.00050984i,0.0002624+0.00020352i
0.00053248+0.00012024i,0.00094423+0.00066577i,0.0019619-0.00077395i,0.001192-0.0015251i,-0.0012275-0.0021201i,-0.0023715-0.0017157i,-0.0018865-0.00031984i,-0.00058628-0.00039249i,-2.9877e-05-0.00010117i,0.00052795+0.00036849i,0.00096471-6.8554e-05i,0.00034367-0.00060483i,-0.00053253-0.0001135i,-0.0008359+0.00048803i,-0.0006688+0.00071266i,-4.4961e-06+0.00055943i,0.00088556+0.00045799i,0.00087236+0.00082423i,0.00045947+0.00088885i,0.00014858+0.00037977i,-7.6381e-05-0.00031397i,0.00083704-0.00014663i,0.00084378+0.00047701i
