-0.0028429+0.00056587i,-0.0023359-0.00021869i,-0.0024183+0.00086768i,-0.00021461+0.0021153i,0.0005933+0.0024712i,-0.00037789+0.0013168i,-0.00062306+0.00057483i,-0.00023963+0.0012159i,0.0002956+0.0015377i,0.00081763+0.0013705i,0.0012984+0.0010524i,0.00088312+7.5011e-05i,0.00056902-0.00084395i,0.0010748-0.00034981i,0.00059233-3.9002e-05i,-0.00051541-0.00057655i,-0.00020205-0.00066611i,0.0010093-0.00012788i,0.0013475-2.5159e-05i,0.00099721-0.00036209i,0.00039535-0.00024239i,8.4239e-05-0.00018305i,-0.0001905+0.00014303i
0.0010795-0.0013769i,0.00074286-0.0012832i,-0.00057322-0.0015749i,-0.0016939-0.0005373i,-0.0014029+0.00080445i,-0.0017196+0.0016619i,-0.00083643+0.0017578i,0.00026787+0.0011727i,0.00039403+0.00062529i,0.00044606+0.0005249i,0.00034036+0.00064321i,-0.00025373-5.7798e-05i,3.9591e-05-0.00025757i,0.00028252+0.0010608i,-0.00010836+0.0017029i,-0.00010831+0.0010371i,0.00013761+0.00096093i,0.00016874+0.00058723i,0.0001694+0.0001517i,-0.00046592+0.00053602i,-9.3731e-05+0.00034307i,9.8504e-05-1.992e-06i,-8.4002e-05-0.00032383i
0.00065113-0.0019086i,0.00045073-0.0015906i,-0.00077941-0.0016988i,-0.0015318-0.0011605i,-0.0013026+0.00091569i,0.00026372+0.0013964i,0.0013734+0.0011043i,0.00063926+0.0012019i,-7.8877e-05+0.00083758i,0.00010479+0.00080251i,3.0453e-05+0.0010025i,-0.00055066+0.00065022i,-0.0011728+0.00029916i,-0.0011926+6.8946e-05i,-0.00074885+0.00033005i,9.9977e-05+0.001187i,0.0010844+0.0012373i,0.00069559+0.00069104i,-0.00011252+0.00063258i,-0.00021642+0.00057442i,-1.4447e-05+0.00043157i,-1.4245e-05+0.00048178i,0.00036075+0.00030857i
0.00081164+0.00016601i,0.00078648-0.00052248i,0.001424-0.00083367i,0.00062722-0.0016661i,0.0001251-0.0013467i,0.00075973+9.7777e-05i,0.00085604+0.00042202i,0.00062943+0.00035909i,0.0007161-0.00017605i,0.00036167-0.00032668i,2.3084e-05+0.00010434i,0.00087566+0.00027794i,0.0015801+0.00097175i,0.00096564+0.0010364i,0.00030011-0.00031803i,0.00013778-0.00054747i,0.0001004-8.4756e-05i,0.00017939+0.00031087i,-2.3888e-05+0.00034448i,0.00026605-0.00024083i,0.000516-8.5956e-05i,0.00015966-2.8435e-05i,-0.00046252-0.00039108i
-0.0016647+0.0013813i,-0.0013542+0.000975i,-0.0011034+0.00062411i,0.00059804+0.00017471i,0.0013885-0.00021773i,0.00080744-0.00025872i,0.0007524-0.00016408i,0.0010882-0.00010093i,0.0012796-0.00023886i,0.00095905+6.7565e-05i,2.7255e-05-0.00016998i,-0.00061198-0.0011517i,-7.3794e-05-0.00052871i,1.7077e-05+0.00019965i,-0.00026919-0.00049625i,-0.00064216-0.0010784i,-0.0007057-0.00049307i,-9.3618e-05-0.00035515i,-4.6507e-05-0.00061067i,-0.00018183-0.00059193i,-0.00054204-0.00091563i,-0.00039289-0.0005586i,-0.00013314-6.6762e-05i
0.00017958-0.001175i,-0.00029933-0.00025858i,-0.00018716-1.2773e-05i,-0.0003196+0.00024078i,-0.00026829+2.8964e-05i,0.0006051-0.00073184i,0.0011541-0.0012771i,0.00094269-0.00090991i,-0.00045682-0.0010045i,-0.0013931-0.0011486i,-0.00070991-4.2588e-05i,0.00060836+0.00051524i,0.00126+0.00050604i,0.00080476+0.00028937i,-0.00019241-3.2072e-05i,-0.00084881+0.00067088i,-0.00053322+0.00073686i,0.00017501+0.0001928i,-0.00031479+0.00059778i,-0.00062998+0.00073526i,-0.00062345-0.00013215i,-0.0008864-0.00050744i,-0.0012444-0.00013196i
0.00048255-0.00029095i,0.00025548-0.00048347i,-0.00042323-0.00075717i,-0.00070915-0.00013127i,-0.0013776-2.6107e-06i,-0.0018275-0.00071656i,-0.0010027-7.5771e-05i,2.2168e-05+0.00084103i,0.00044084+0.0003749i,0.00013168+0.00028427i,0.00024762+0.00052799i,0.00027105+0.00058462i,2.907e-05+0.00059295i,-0.00015966+0.0012011i,-0.00026869+0.00090171i,-0.000334+0.0001481i,-0.00041214-0.00014489i,0.00038762-0.00031851i,0.0010539+2.8517e-05i,0.00082235+0.00012133i,0.00046447-0.00020349i,0.00051131-0.00013524i,0.00042893-9.8935e-05i
0.00087927-0.0005258i,0.00054197-0.001243i,0.00014278-0.0015475i,0.00010161-0.00085616i,4.4811e-05-0.00024326i,-0.0005316+1.7168e-05i,-0.00047208+0.0006524i,-0.00028069+0.00088102i,-0.00054382+0.00019626i,-0.00017928-0.00095924i,0.0001446-0.00083318i,-0.00020887+6.0663e-05i,-0.0003112+0.00027i,-4.0576e-05+0.00038467i,-1.7527e-05+0.00076686i,-0.00046733+0.00022218i,-0.00056521-0.00017328i,4.5666e-05+0.00040462i,0.00023409+0.00024948i,3.3386e-05+4.7707e-06i,-0.00018814+0.00025594i,-0.00040304-0.00030315i,-0.00011889-0.00091165i
0.001049+0.00038448i,0.00017403+0.00037604i,-0.00037447+0.0010616i,0.00019313-1.6823e-05i,0.00015308-0.00034407i,0.00050499+0.0010685i,0.00060519+0.0015606i,2.6272e-05+0.0015179i,-0.00045172+0.0016001i,-0.00032196+0.0010783i,-0.00071038+0.00058628i,-0.0011371+0.0008703i,-0.00093425+0.0013199i,-0.0003283+0.00044919i,9.1683e-05-0.00039583i,8.7014e-05+1.7268e-06i,-0.00061559+0.00039544i,-0.00059043+6.5932e-05i,0.0001593-0.00043416i,1.3808e-05-0.00048766i,-0.0010809-0.00015341i,-0.0014023+0.00045465i,0.00039496+0.00041803i
-0.00045551+0.00171i,0.00022557+0.0014422i,0.00032138+0.0012702i,0.00062816+0.0012893i,0.0013209+0.0015362i,0.0013984+0.0017887i,0.0015273+0.0017822i,0.0010851+0.0013426i,0.00052499+0.00076942i,0.00026764+0.00069721i,0.00025692+0.001299i,0.00066903+0.00063268i,0.00031429-0.00031507i,-0.00037162-0.00066871i,0.00032164-0.00092994i,0.0010214+0.00017203i,0.00050855+0.0010074i,0.0003962+0.00020489i,0.00043339-5.2441e-05i,0.00014639-1.6536e-05i,-8.6988e-05+0.00010309i,-0.000308+0.00021992i,0.0006499-0.00022216i
0.0013747-0.00099194i,0.0022441+0.00010599i,0.0026325+0.00114i,0.0022272+0.0020593i,0.0012708+0.001585i,0.0011723+0.00025827i,0.0016018+0.00027953i,0.00092405+0.00061202i,0.00065335+0.00097492i,0.00049912+0.00046131i,-4.0109e-05+0.00011928i,-0.00010366+8.7257e-05i,8.0622e-05-0.00036077i,-0.00012699-2.7651e-05i,-0.00048711+0.00062166i,-0.00039415+0.0009317i,-0.00058267+0.0011952i,-0.00074713+0.0011898i,-0.00038558+0.00061572i,-0.00050113+0.00044677i,-0.0006185+0.00046273i,-0.00034885+0.00053522i,-0.00087534+4.641e-05i
