-0.0052415-0.0026131i,-0.0042002-0.001927i,-0.0041088+0.000362i,-0.0025725+0.0011873i,0.00014743+0.0013554i,0.0002213+0.00050587i,-0.0011712+6.5701e-05i,-0.00015888+0.0012685i,0.00135+0.0017157i,0.0015192+0.00074505i,0.00117+0.00014545i,4.7605e-05-0.00013154i,0.00036305-0.00088889i,0.0012931-0.0005843i,0.00087548+0.00051098i,0.00050434+0.000613i,-0.00049719+4.3948e-05i,-0.0012949+8.6431e-06i,-0.00055898+0.00062978i,-1.8643e-05+0.00078134i,-0.00027139+0.00060866i,-0.00041461+0.00039133i,-0.00066732+0.00011341i
-0.00012496-0.00010645i,-0.00018335+0.0010386i,-1.5005e-05+0.0012802i,-5.9102e-05-3.0498e-05i,-0.00012998-0.00072554i,0.00015708-0.00092238i,0.00028019-0.00063431i,-0.0005972-0.00034346i,-0.00054857+0.00025117i,0.00040922+0.00057932i,0.00059463-0.00036236i,6.6787e-05-0.00090616i,0.00015555-0.00025378i,-4.5291e-05+0.00017156i,-0.00043295-0.00038967i,-0.00084832-0.00079536i,-0.0013897+8.2577e-05i,-0.0010241+0.00066121i,-0.00047677+0.00025781i,-0.0001134+0.00048127i,0.0005339+0.0010657i,0.00012437+0.00099625i,-0.00072687+0.00062435i
-0.003145+0.0014695i,-0.0020514+0.00077209i,-0.0005683+0.0019177i,0.0013293+0.0011967i,0.0022098-0.00086352i,0.0016428-0.001892i,0.00034686-0.00084146i,-0.00063589+0.00013008i,-0.00078717+0.00060814i,-6.4074e-05+0.0016258i,0.00094911+0.0014461i,0.00094141+0.0004623i,0.00064189+0.00055501i,0.00084517+0.00087129i,0.0010982+0.00052293i,0.001118+0.00024914i,0.00055434-0.0010011i,0.00018944-0.0020834i,0.00060444-0.001278i,0.0011078-0.00084882i,0.00082887-0.0010506i,-0.00026086-8.148e-05i,-0.00068571+0.00020692i
-0.0033362-0.00039504i,-0.0017234+0.00049407i,-0.00071521+0.0014747i,-6.1279e-05+0.0015839i,0.0011977+0.00087519i,0.0017464+0.00041384i,0.00084814+0.00050766i,0.00032997+0.00014347i,0.00047203+0.00029046i,0.00077701+0.0012631i,0.0007491+0.0016329i,0.00062591+0.00074779i,0.00076334+0.00030605i,0.00061759+0.00065636i,0.00059498+0.00094612i,6.9273e-05+0.00049493i,-0.00024379-0.00045284i,-0.0003481-0.00061787i,-0.0010256-3.744e-05i,-0.0011-6.5677e-05i,-0.00084939-0.00016804i,-0.0010006-2.7714e-05i,-0.00070269-0.00045348i
-0.0001145-0.0010714i,-0.00042529-0.0016775i,-0.00053381-0.001203i,0.00012284-0.0013771i,0.0007992-0.001338i,0.00031021-0.0013087i,-0.0001188-0.0015396i,-0.0006141-0.00060671i,-0.00054194+0.00057455i,-0.00010125+0.00043518i,-3.4043e-05-7.0478e-05i,0.0003395-7.285e-05i,0.00068961-0.00041466i,0.00015381-0.00045012i,-0.00036905+0.0001226i,-0.0001958+0.00023122i,1.3751e-05-7.3864e-05i,-0.00010791-0.00031231i,-0.00031378-0.00075324i,-0.00038625-0.00061283i,-0.00063418+0.0001183i,-0.00054379+0.00039696i,0.00027297+0.00026534i
-0.001505-0.0015904i,-0.00098691-0.0012622i,-0.0004451-0.00028385i,-0.00043857+0.00046282i,-0.00023702+0.00055146i,-0.00057385+0.0006612i,-0.0013097+0.00037951i,-0.00070668+0.00084648i,-0.0001499+0.0013048i,-9.4691e-05+0.00087177i,-0.00019481-7.1224e-05i,0.00055133-0.00043424i,0.0014894+0.00039874i,0.001055+0.00066516i,0.00059624-5.0973e-05i,0.0007905-0.00032449i,0.00029339+0.00012119i,-4.5395e-05+0.00033818i,0.00043657+0.00036944i,0.00053644+0.00021449i,0.00072255+0.00090389i,0.00064437+0.001286i,0.00018426+0.0007212i
-0.0006879+0.00032725i,-0.0012398+0.0010038i,-0.0005546+0.0010897i,0.0010004+0.00091865i,0.00095469-0.00026399i,0.00082826-0.0011334i,0.000818-0.00095457i,0.00030027-0.00055184i,9.7884e-05-0.00029785i,-0.00022243-0.00024113i,-0.00065452-0.00023163i,-0.00054498-0.00042761i,-0.00044831-0.00019342i,-0.00071164-7.2512e-05i,-0.0002115+0.00043213i,5.8685e-05+0.00053471i,-0.0004856+0.00025983i,-0.00025527+0.00015912i,0.00029377+0.00022194i,0.00072308+0.00019279i,0.0008986+5.8239e-05i,0.0006352-0.00014134i,0.00010578-4.6707e-05i
0.00018071-0.00033958i,6.68e-05-0.00040262i,-6.4881e-05+0.0002799i,0.00028985+0.00013553i,0.0001992-0.00050106i,-5.7725e-05-0.00053895i,-0.00015737+0.00013952i,-4.7015e-05+0.00010032i,-0.00037123-0.00060729i,-0.00084233-0.00051842i,-0.00099523-0.00055754i,-0.00095029-0.00033954i,-0.0012006+0.00013677i,-0.0015203+3.8337e-05i,-0.00053692+1.2459e-05i,0.0005339-7.2483e-05i,0.00018132+0.00071616i,0.0005298+0.00093649i,0.0010103+0.00018795i,0.00095284-0.00019534i,0.00086697+0.00020393i,0.00012433+0.00094398i,-0.00026882+0.00046827i
-0.0008614-0.00040078i,-0.00072259-0.00013337i,1.1357e-05+0.00027629i,0.00020668+0.00065773i,-0.00042132+0.00046181i,-0.00026011+0.00020349i,0.00025368+0.00027856i,0.00031849+0.00096507i,-0.00031572+0.00025078i,-0.00044662-0.00051729i,-0.00085551-0.00020441i,-0.00084188-3.2173e-05i,-0.00016352-4.4234e-05i,0.00030684-0.0002877i,-5.7598e-05-0.00024196i,-0.00040021-0.00061033i,-0.0005976-0.00066453i,-0.00068164+0.00010351i,-0.00029203+0.0004524i,0.00023091+0.00090202i,0.00068586+0.00083643i,0.0006412-8.5011e-05i,0.00043525+0.00027535i
-0.00092344-0.0019465i,-0.00047323-0.0016672i,5.9021e-05-0.00095383i,4.6172e-05-1.449e-05i,0.00011653+6.1682e-05i,0.0003515+0.00067477i,-4.674e-05+0.00064758i,-0.0003534+0.00037515i,-0.00068162+0.00042435i,-0.00061241+0.00049493i,-0.00040737+0.00052657i,1.9434e-05-0.00027524i,-0.00013626-0.00043581i,5.9493e-05+9.8056e-05i,0.00086778+0.00023559i,0.00089156+0.00039946i,0.00020852+0.00029159i,-0.00057858+0.0005478i,-0.00026101+0.00067825i,0.00027581+0.0004848i,0.00033635+0.00047143i,0.00049997+0.00040464i,8.0762e-05-3.1649e-05i
0.00090764-0.0013311i,0.0018279-0.0010884i,0.00082284-0.00074527i,0.00024737-0.00053626i,0.00035599+0.00015512i,-0.00023196+0.00056751i,-0.00030336+0.00040504i,0.00044764+0.00033034i,0.0006813+6.7689e-05i,0.0006025+0.00018385i,-0.00030078-0.00012908i,-0.00071708-0.00016098i,-0.0001327+0.00012535i,0.00031671+0.0001194i,-0.00050428+0.00022602i,-0.0015165+7.4608e-05i,-0.00083908+0.00042315i,0.00015037+0.00067076i,0.00010079+0.00067077i,0.00015746+0.00072004i,0.0005452-4.3646e-05i,-0.00017673+1.4824e-05i,-0.0009344+0.00042065i
