-0.0045279-0.00037027i,-0.0031512-4.2619e-05i,-0.0035211+0.0013619i,-0.0030696+0.0025511i,-0.001667+0.0032611i,-0.00062944+0.0028508i,0.00012456+0.0021685i,0.0009315+0.0018791i,0.001059+0.00098455i,0.0012953+0.00088135i,0.0017448+0.00036044i,0.0011102-0.00046344i,0.00035444-0.00014509i,0.00075379+0.00047445i,0.001167+0.00097611i,0.00037658+0.00065349i,-0.00015058+0.00015361i,-0.0001336-0.00020865i,2.8948e-05-0.00086649i,0.00038992-0.00093025i,-6.4492e-05-0.0009446i,-0.00043972-0.0010051i,-0.00014445-0.00088001i
4.6966e-06-0.0039223i,5.667e-05-0.0020542i,-0.0010244-0.0011324i,-0.00045935-3.1152e-05i,0.00074688+0.00054509i,0.0014844+0.00037904i,0.0010807+0.00055982i,0.00014957+0.0010715i,-0.0007442+0.001272i,-0.0014022+0.001426i,-0.00087067+0.0019204i,-0.0003188+0.0020347i,-8.2569e-05+0.0010475i,0.00026572+0.00039757i,-0.00014431+0.00086356i,-0.00072457+0.00066467i,-0.00025606-0.00027262i,0.00016972-0.00032707i,0.00054555-3.1743e-05i,0.00084643-6.8661e-05i,0.00068945-0.00011001i,8.0114e-05-0.00075003i,7.7673e-05-0.00090658i
0.00038324+6.5793e-05i,-0.000132-0.00040916i,-0.00028057-0.0011798i,-0.00028629-0.0012811i,-0.00058985-0.00014732i,-0.00047272+0.00094745i,6.64e-06+0.00066805i,0.00070329+0.00024409i,-1.4127e-05+0.00036775i,-0.00077846+0.00015166i,-0.00063232-0.00018507i,-0.00049288+9.7999e-05i,-4.82e-05+0.0001031i,0.00015049-3.6308e-06i,-0.00014653+0.00022385i,-0.00040201+0.00094172i,-0.00030645+0.00030292i,-7.4047e-05-0.00053144i,0.00016068-0.00062885i,0.00028593-0.00088851i,0.00064916-0.00091466i,0.00093493-0.00046444i,0.00039875-0.00022303i
-0.001444+0.0002136i,-0.00098714+0.00023232i,-0.0012431+3.8252e-05i,6.7903e-05+3.4746e-05i,0.0012887+0.0003696i,0.00084029+0.00065558i,-4.6211e-06+0.00058958i,-6.662e-05+0.00045105i,-1.6942e-05+9.4641e-05i,-0.00074154+0.00034037i,-0.0013823+0.00062547i,-0.00080318+0.00015989i,-0.00033832+0.00010038i,-0.00033988-0.00018774i,-0.00025203-0.00029251i,-1.915e-07-0.00039208i,-0.0004312-0.00064737i,-0.00078336-0.00017202i,-0.00067721+0.00020396i,-0.0004554-0.00012179i,-8.8929e-05-0.00034558i,9.4936e-05-0.00042083i,8.4551e-05+0.00011168i
-0.00082548-0.0028525i,-0.00084439-0.0024414i,-0.0014288-0.0014062i,-0.0010925-0.00050018i,0.00025827+8.1441e-05i,0.0014401+0.00062176i,0.0012762+0.0003237i,0.00027981-0.00065079i,-0.0010812-0.00047902i,-0.0015252+0.00031165i,-0.00051345+0.0003522i,0.00044003+0.0003267i,0.000931+0.0010427i,0.00034689+0.00063235i,-8.6046e-05+0.00029011i,-0.00022182+0.00043294i,-0.0010798+7.2984e-05i,-0.00079824+0.000285i,-0.00017225+0.00040891i,-6.8548e-05+0.0003508i,-0.00038275+0.00025498i,-0.00028095+2.9331e-05i,0.00018702+0.00049419i
0.0016097-0.001482i,0.0011124+2.4698e-05i,-0.00014461+0.00048481i,3.275e-05+0.00055543i,0.00034923+0.0011613i,0.00024058+0.0011819i,1.1721e-05+0.00037666i,-0.0001862+0.00044811i,-0.00066023+0.0010748i,-0.0004321+0.001019i,-0.00029813+0.0010251i,-0.00026231+0.00057975i,-7.8585e-05-0.00017944i,-0.00013739-0.00036971i,0.00035925-0.00012657i,0.00061387-6.7897e-05i,0.00022906-0.0001607i,0.00031578-0.00035846i,0.00031476+0.00027496i,-0.00033672+0.00023855i,-0.00021133-0.00049648i,0.00052837-0.00042113i,0.00067433+0.00056784i
-0.00047934+0.00021475i,-0.00025484+0.0011401i,-0.00030685+0.00042408i,0.00040959+5.9263e-05i,0.00098143+0.00017549i,0.00054241+0.000576i,-0.00021779+0.001137i,-0.00022495+0.00046452i,0.00040156-0.00063677i,0.00057405-0.00062136i,0.00060691-0.00030155i,0.00068146+0.00044189i,0.00052842+0.00094933i,0.0001931+0.00040974i,2.9391e-05+0.00023122i,-0.00016335-0.00011873i,2.8564e-05+0.00014962i,0.00047144+0.00096671i,0.00017379+0.00056151i,-0.00023535+0.00051092i,-0.0004567+0.00061849i,-0.00052079-3.3774e-05i,-3.0298e-05-0.00048438i
0.0004615-0.0014442i,-4.0832e-05-0.00093345i,-0.0006855-0.00013324i,-0.00027508+0.00013783i,0.00089311+0.00045108i,0.0014212+0.00054699i,0.0007151+2.9026e-05i,-0.00011914+0.0001082i,-0.00076478+0.00059541i,-0.00038829+0.0004098i,0.00054+0.00037419i,-4.1518e-06+0.00024595i,-0.0004781-6.0061e-05i,0.00020481+0.00019154i,0.00054144+0.00032301i,0.00077556-1.4936e-05i,0.00071293+0.00032446i,0.00046315+0.00037048i,2.768e-05-0.00062012i,-7.9684e-05-0.0010973i,0.00031121-0.00033241i,-0.00041158+0.00037035i,-0.00092383-0.0001696i
-0.00025464+0.00032847i,-0.00019504+0.00088631i,0.00011601+0.0012479i,0.00095208+0.00061072i,0.0011831+0.00015761i,0.0011009-0.00030659i,0.001467-0.00053697i,0.0012299-0.00056157i,0.00032167+0.00024468i,0.0007532+0.00092841i,0.0012478+0.00082114i,0.00095231+0.0008049i,0.0003215+0.00019899i,-7.3529e-05-8.9048e-05i,-3.7896e-05-0.00026734i,-0.00015394-0.0009519i,0.00024151-0.00099428i,0.00042628-0.00022695i,-8.8875e-05+0.00037141i,-0.00060116-0.00037391i,0.00013922-0.0013147i,0.0011834-0.00063397i,0.0012262+0.0002143i
0.003111+0.0008581i,0.0023807-0.00010179i,0.0006685-0.0021263i,-0.00047534-0.0018369i,-0.00067834-0.00037923i,-0.00065286-0.00041182i,-0.00062537-0.00051616i,-0.00041756+9.9217e-05i,-7.4139e-05+0.00028065i,-1.4703e-05+7.8575e-05i,-2.6382e-05+0.00066251i,-0.00022729+0.00089692i,-0.00036059+0.000715i,-0.00076565+0.00086144i,-0.0011873+0.00077603i,-0.00045147+0.00019725i,0.00056057-0.00036319i,0.00029148-0.00025539i,1.7799e-05+2.6232e-05i,0.00035452-3.259e-06i,0.0007041+0.00022019i,0.0010352+0.00074693i,0.0012174+0.00055451i
0.0010744-0.00065488i,0.00079683+0.00029501i,0.00074827-0.0002954i,2.8051e-05-0.00082717i,-0.00063673-0.00014409i,-0.00085981+0.00050687i,-0.00067096+0.00010118i,-0.0007366-0.00052554i,-0.0004903-0.00057942i,0.00016498-0.00045815i,6.3623e-05-0.00024965i,-0.00055371+1.3568e-05i,-0.00096113+0.00023864i,-0.00069131+0.00074808i,-0.00024915+0.0010012i,0.00055931+0.00073832i,0.00018014+0.00047522i,-2.1764e-05+0.00036142i,0.00017231+0.0004052i,9.056e-05-0.00066169i,0.00031381-0.00084672i,7.3901e-05+0.0003848i,-0.00061813+0.0011523i
0.00032652-0.0014083i,0.00033299-0.0016398i,9.5092e-05-0.001255i,0.00027506-0.00097914i,0.0009305-0.00057603i,0.00049167-0.0003768i,-1.5111e-05-0.00031843i,0.00032113-0.00080282i,0.00035724-0.00071267i,0.0001939-0.00094426i,0.00085893-0.00093766i,0.0010165+0.00014176i,0.00089685+0.00054907i,0.0009419+0.00047467i,0.00012577+0.00011482i,-0.00018788+0.00030644i,0.00014529-0.00018935i,0.00021007-0.00068121i,-3.5503e-05-0.00030554i,-0.00010375-0.0001532i,-0.00049371-0.00021847i,-0.00057703-0.00018389i,-1.1755e-05+6.2693e-05i
-0.0003117+0.00078797i,-0.00067347+0.00044652i,-0.00039137+0.00097444i,0.0012814+0.0010496i,0.0011982+0.00036045i,-0.00029742-0.00017914i,1.5787e-05+0.00019573i,0.00066235+0.00029704i,0.00089034-0.00062315i,0.0012708-0.0012683i,0.0014341-0.00044697i,0.00050836-0.00028346i,-0.00096606-0.00093533i,-0.001368-0.0003703i,-0.0001809+0.00013564i,-0.00036095-0.0002621i,-0.00099263+2.0694e-05i,-0.00077788+0.0010119i,-0.000428+0.00069051i,-0.00032956+0.00077429i,-0.00071658+0.0011598i,-0.00058362+0.00077673i,-0.00013022+0.00044509i
