-0.0011189+0.00052745i,-0.00029129-3.6417e-05i,-0.0013635-0.0017841i,-0.0014984-0.00080097i,-0.0010232+0.00081713i,-0.0010388+0.00034106i,-0.0003173-1.8391e-05i,0.00020658+0.00081529i,0.00042852+0.00068432i,0.00091639+0.00090675i,0.0012542+0.001631i,0.00025638+0.001492i,-0.00061958+0.00033451i,-0.00014371-0.00038186i,3.6196e-05+0.0001822i,-0.00034509+0.00053303i,0.00081053+0.00031044i,0.0015235-0.00025051i,0.00078693+8.6274e-05i,0.00018252+0.00035734i,4.0677e-05-0.00063611i,0.00043972-0.0003475i,-9.9292e-05+0.00053452i
3.6857e-05+0.0010939i,0.00023745+0.0008559i,0.00059613+0.0020341i,0.00057671+0.00098477i,0.00031546-0.00026588i,0.00047123-0.00026734i,0.00036697-0.00061144i,0.00020392-0.00064099i,0.00056273-0.00040314i,0.0011612+0.00025288i,0.00091643-0.00030441i,0.00065196-0.0011431i,0.00050953-0.00024208i,0.00037005-0.00055073i,0.00028335-0.0014207i,-0.00058524-0.0011836i,-0.001014-0.00079422i,-0.00076512-0.00019982i,-0.00067382-0.00037075i,-0.00058389-0.00031923i,-0.00044958+0.00014802i,-0.00048014+0.00011058i,-0.00015507+4.9832e-05i
0.0016275+0.0005543i,0.00099888-0.00015213i,0.00097769-0.00088009i,0.0010446-0.0012371i,0.00056661-0.00071391i,2.2829e-05-0.00075652i,0.00021345-0.00083221i,0.00071816-0.00074993i,0.00045004-0.00074701i,-0.00034849-0.00022042i,-0.00017709+4.8877e-05i,0.00020137-0.00019216i,-0.00040166+0.00011851i,-0.001104+0.0007432i,-0.00069263+0.0002945i,-0.0004116-0.00022399i,-7.6068e-05+0.00021033i,-0.00021465+0.00047872i,-0.00010308+0.0002747i,2.4949e-05+3.1766e-05i,-0.00039016-0.00017398i,6.2054e-05+0.00058966i,0.00040721+0.00095945i
0.00062193+0.0017215i,0.00068991+0.0015856i,0.00031352+0.00066296i,2.9941e-05+0.00028774i,0.00054322+0.00033812i,0.00061783-0.00014193i,-6.6417e-05-0.00061856i,0.00051494+9.2476e-05i,0.00052664+0.00051933i,-0.00060544+0.0002062i,-0.00087389-0.00055808i,-0.00092401-0.00049914i,-0.0010171-0.0002577i,-0.00019415-0.00055759i,0.00041878-0.00075336i,0.00019614-0.0010524i,0.00015108-0.00093339i,1.3036e-05-0.00095164i,-0.0006925-0.0004077i,-0.00089606+0.00031975i,-0.00078013+0.0001067i,-0.00061684-0.00059863i,-0.00066256-0.0005996i
0.00027439+0.00086382i,0.00060773+0.0012744i,0.0018184+0.00029474i,0.0019181-0.00088154i,0.00084862-0.0022591i,3.3874e-05-0.0025422i,-0.00063374-0.0013853i,1.6921e-05-0.0011232i,0.0011833-0.00072494i,0.00072227+5.9489e-05i,0.0004537+0.00016844i,0.00071636-0.00052769i,0.00013616-0.00085287i,-0.00019333-0.0012505i,-0.00056115-0.0012679i,-0.0006808-0.0010601i,0.00060052-0.00024948i,0.0002174+0.00059593i,-0.0007169-0.00010606i,-0.00040839-0.00058655i,1.7446e-05-0.00041752i,-0.00034237-0.00031477i,-0.00030603+2.7586e-05i
0.00055331+0.00052658i,-1.5994e-05+0.00030436i,-0.00029324-9.3474e-06i,-0.00018459-0.00072369i,-0.00070383-0.0011476i,-0.00089382-0.00099903i,-0.00056472-0.00051008i,-0.00055147+0.00031221i,-0.00074563+0.00096581i,-0.00061986+0.001253i,0.00041206+0.00099468i,0.00078035+0.00039737i,0.0005056-0.00032415i,0.00030147-0.00095636i,0.00016349-0.00076018i,5.2839e-05+7.5227e-05i,-4.6841e-05-0.0002238i,-9.0792e-05-0.00065215i,0.00010609-0.00030712i,0.0002965+0.00068599i,-1.3892e-05+0.00080178i,-0.00013301+0.00055213i,5.5946e-05+0.00054924i
-0.00072699+0.0010919i,-0.0008828+0.00075834i,-0.0012129+0.0010498i,-0.0013027+0.00059526i,-0.00082029+0.00014953i,-0.00034602+0.00016441i,0.00017982-3.1362e-06i,0.00019618+0.00015175i,-0.00056279+0.0002977i,-0.00054357+0.00047694i,-0.00019749+0.00047614i,-0.00056615+0.00046i,-0.00034557+0.0011226i,0.00012866+0.00088507i,0.00031015-0.00040671i,0.00020576-0.0010004i,0.00033042-0.0012206i,-3.346e-05-0.00071113i,-0.00066613+0.0001413i,-8.4909e-05+0.00021284i,4.2767e-05+0.00016805i,-5.0063e-05+0.00053153i,0.0003457-6.5702e-05i
-0.0013867+0.0007155i,-0.0010443+0.00038945i,0.00014101+0.00034491i,0.00018905+0.0010231i,-6.7826e-06+0.00023333i,0.00022373-0.00072863i,0.00051715-0.00039707i,0.00056661+0.00031087i,-0.00022474+0.00065209i,-0.00040888+0.00059036i,-0.00039381+0.00035406i,-0.00028584+0.00080274i,0.00024703+0.0011588i,-0.00030892+0.00035704i,-0.00023683+0.00021673i,-1.3662e-05+0.00021984i,-0.00053035-0.00038586i,-0.0011509-0.00016637i,-0.00046062+0.00017091i,0.00071776-7.5698e-06i,0.00044472-0.00067146i,-4.181e-05-0.00067171i,-0.00016595-0.00018126i
0.00047062-0.0027284i,0.0014049-0.0011936i,0.00099534-0.00086713i,-0.00015623-0.00067266i,-0.00067848-0.00057749i,0.00043091-0.00050251i,0.0012647-0.00056734i,0.00032806-0.0010982i,-0.00072699-0.00067778i,-0.00080303+0.0008438i,-0.00048335+0.0017213i,-0.00025819+0.0020427i,0.00019374+0.0012248i,0.00048618-3.0312e-05i,0.00017129-0.00080016i,-0.00026769-0.00082015i,-0.00062125-0.0005022i,-0.0006423-0.00084856i,-0.00057073-0.0013016i,-0.00011121-0.0010227i,0.00071864-7.5238e-05i,-1.2622e-05+0.00016473i,-0.00070054-0.00066179i
0.0011619+0.00041696i,0.00035771+0.00082737i,-0.00052041-0.00059216i,-0.0010468-0.0017183i,-0.00035397-0.0023147i,0.00042706-0.0030777i,0.00044162-0.0016621i,-0.00025038-8.4422e-05i,-0.0002553-0.00045159i,0.00066095-0.00068191i,0.00070798+2.9674e-05i,0.00036425+0.0003742i,0.00046332+0.00071244i,0.00068506+0.00028343i,0.00036915-0.00018582i,-0.00012154+9.4038e-05i,-2.1438e-05+5.5092e-05i,0.00070765-0.00015758i,0.00063155+0.0006379i,-0.00053939+0.001064i,-0.00050057+0.00017865i,0.00045866-0.00096365i,0.0010519-0.0011586i
-3.8521e-05+0.0014323i,0.00026422+0.00074229i,6.5392e-05-0.00036071i,-0.0004-0.00028507i,-0.00036741+0.00016877i,8.2917e-05-2.9551e-05i,4.4948e-05-0.00040822i,-0.00029071-0.00054171i,-0.00044976-0.00072847i,-0.0003328-0.00027457i,-0.00023077+0.00058083i,-0.00023163+0.00086597i,0.00051581+0.00010686i,0.00098181-0.00030036i,0.00026172+0.00035609i,-0.00068872+0.00035873i,-0.00084755+0.00025909i,-0.00027486+0.00029422i,-0.00013406+0.0005072i,2.7025e-05+0.00079607i,-0.00031669-0.00030337i,-0.00064648-0.00078521i,8.7876e-05-6.9324e-05i
