-0.0020453+0.0011491i,-0.0019526+0.0028802i,-0.0014536+0.0033974i,-0.0014843+0.0025239i,-0.0017733+0.0030445i,-0.00092799+0.0032559i,-0.00025685+0.0022034i,0.00067425+0.00085138i,0.0011641+0.00046501i,0.001238+0.00016443i,0.001434-0.00036504i,0.0011393-0.00010756i,0.0007216-0.00055295i,-0.00057146-0.00091884i,-0.00065841-0.0011505i,-0.00059562-0.0003833i,-0.00048195+0.00068473i,0.00018007+0.0003558i,7.6487e-05-0.00067399i,-0.00020192-0.0011492i,0.00016912-0.00039894i,0.00036718+0.00027467i,0.00020227+0.00060789i
-0.00084505+0.0001513i,-0.00075364+0.00042644i,-0.00080221+3.7721e-05i,-0.0013865+0.00023169i,-0.0017877+0.00095249i,-0.00068269+0.0020878i,0.00046281+0.0019041i,0.00020554+0.00030149i,-7.7686e-06-0.00042736i,-0.00019634-0.00021056i,-0.00051983+0.00068593i,-0.00054256+0.0006771i,-0.00047332-8.9032e-05i,8.2377e-05-0.00020388i,0.00085952+0.0005i,0.001025+0.00034006i,0.00083655-0.00037685i,0.00072867-0.00042394i,0.0006522-0.000199i,0.00044389+0.00035745i,-0.0001015+0.00036426i,3.5272e-05+0.00014375i,0.0001819+5.612e-05i
-0.0019377+0.0017766i,-0.0012719+0.0020373i,-0.00036944+0.0017101i,0.00084553+0.0018437i,0.0017974+0.0021207i,0.0022985+0.0017135i,0.0023884+0.00045524i,0.0017245+6.3388e-05i,0.0010034-8.3413e-05i,0.00086588-0.00018006i,0.00061808-3.7391e-05i,-0.00029543+0.00033647i,-0.00081435+0.00057414i,-0.0009373+0.00012201i,-0.0014259-0.00077018i,-0.0012565-0.00046741i,-0.00088934-4.3206e-05i,-0.00024529+6.8514e-05i,0.00022801-0.00032349i,-0.00041796-0.00051773i,-0.00045429+0.0001671i,-0.00042801+0.00039688i,-0.00049444+1.7128e-06i
-0.00043481+0.0016093i,-0.001318+0.0019135i,-0.00070733+0.00041967i,-0.001091-0.00093394i,-0.0024511-0.001082i,-0.0020073-0.0012163i,-0.00076181-0.00059283i,-0.00048654-0.00038702i,7.9748e-05-0.00042306i,0.00031356-0.00014476i,-0.00039866+0.00020713i,-0.00068705+0.00076449i,0.00026424+0.00093528i,0.00029794+0.00067115i,0.00017064-0.00010317i,0.00058552+6.2224e-05i,0.00038586+5.4012e-05i,0.00010628-0.00024849i,-0.00047298-8.6784e-05i,-0.00073956+0.00015634i,-0.00018435-4.9572e-05i,-2.5174e-05-0.00014005i,-0.00028521+1.0962e-05i
-0.0011806+0.0011936i,-0.00048359+0.0019277i,0.00022696+0.0016449i,0.00061631+0.0022092i,0.00066999+0.0033503i,0.00052279+0.0029068i,9.9004e-05+0.0015709i,-0.00026368+0.00038483i,-0.00063908-2.1723e-05i,-0.0015937+0.00042099i,-0.0016065+0.00078232i,-0.00030587+0.0012039i,0.00033414+0.0012045i,-0.00014172-7.9503e-06i,-0.00054989-0.00065867i,-5.2478e-05-0.00037617i,0.00054194+0.00026677i,6.3328e-05+0.00030751i,-0.0002034+0.00024251i,-7.8321e-06+0.00029992i,-0.00024518+0.00028126i,-0.00051159+0.00016851i,-0.00039363+1.0685e-05i
-0.0024013+0.00035436i,-0.0021306-0.00060185i,-0.0022047-0.00046137i,-0.0018993-0.000113i,-0.0015607+0.0010184i,-0.00071351+0.0028172i,0.00080653+0.0021211i,0.0012077+0.0004525i,0.00041501-1.2797e-06i,-0.00023403+0.00063533i,-0.000434+0.0014133i,-0.00011861+0.0010107i,0.00021459+0.00064823i,-2.6085e-05+0.00010885i,-8.5372e-05-0.00051401i,-0.00059942-0.00030134i,-0.00072749+0.00090947i,0.00054945+0.0014157i,0.0012533+0.00018244i,0.0011068-0.00094834i,0.00073603-0.00017254i,-0.0001734+0.00066951i,-0.00066157+0.00020723i
-0.0017474+0.00084604i,-0.0021526+0.0021265i,-0.0014471+0.00178i,-0.0011179+0.0013463i,-0.0013106+0.0013042i,-3.013e-05+0.0010035i,0.0013697-6.905e-05i,0.00056733-0.00084229i,-0.0006596-0.0012311i,-0.001279-0.00075589i,-0.00096254-8.9885e-05i,6.896e-07-3.3948e-05i,-6.4381e-05+8.969e-05i,-0.00058048+0.00015095i,-0.00090798-0.00036279i,-0.00076048-0.00037328i,-7.6735e-05-0.00017528i,0.00062284+0.00043322i,0.001099+0.0010226i,0.0010493+0.00024253i,0.00044626-0.00063785i,0.00024152-0.00088851i,-0.00014655-0.00038039i
-0.0013142+0.0018312i,-0.00078488+0.0016293i,0.00029178+0.0015123i,-0.00035329+0.00042884i,-0.00033977+0.00042312i,0.00045321+0.00056807i,0.0010528-0.0003097i,0.00077571-0.00031341i,0.00057605+0.00016062i,0.000336+0.00047594i,3.8592e-05+0.00081154i,-0.00014717+0.00069627i,-0.00088216+0.000486i,-0.0016088+0.00015748i,-0.0018976-0.00028154i,-0.001112-0.00038627i,0.00026309-0.00030797i,0.00070236+0.00013611i,0.001062+0.00018525i,0.00088852+0.00087793i,0.00032516+0.0013106i,-0.00013749+0.00054094i,-3.7659e-05+0.00024845i
-0.00072562-1.8547e-05i,-0.001625+0.001131i,-0.0015063-2.9273e-05i,-0.0001977-0.0013847i,0.00032492-0.00027693i,-0.00020424+0.00053942i,0.00038291+7.6603e-05i,0.00074306+0.00030872i,0.00010654-0.0005116i,4.9729e-05-0.00036963i,0.00048423+0.00076095i,0.00086898+0.00064944i,0.00043547+0.0003171i,0.00061789-5.6366e-05i,0.00042884-0.00015924i,0.00010434+0.00067807i,0.00023384+0.0011835i,0.00044745+0.0013083i,0.00036844+0.0015587i,0.00018207+0.00070312i,0.00018112-0.0003237i,-0.00045524-0.00043874i,-8.9501e-05-0.00021103i
-0.00065282+0.00053361i,-0.00089104+0.0015653i,-0.0010639+0.0013364i,-0.0013+0.0015253i,-0.00062304+0.0020107i,8.509e-05+0.0019789i,0.00048725+0.0016615i,0.00072623+0.001302i,0.00070506+0.0010263i,-8.2251e-05+0.0012957i,-0.00068662+0.0011504i,0.00015165+0.0010448i,-0.00028093+0.00054519i,-0.00072712+0.00030086i,-0.00077187+0.00057961i,-0.00078834+0.00097533i,-0.00023747+0.001179i,0.00038304+0.0008393i,0.00068674+0.00018767i,0.00039618+5.4046e-05i,0.00024757+0.00036526i,0.00038085-0.00029219i,0.00084222-0.00054434i
0.00015065+0.0030225i,0.0025726+0.0031283i,0.0042608+0.0012055i,0.0037099-0.0010162i,0.0026131-0.0008135i,0.00091487-7.9309e-05i,-0.00045123-0.00072723i,-0.00040676-0.00092359i,4.6864e-05+0.00022163i,0.00016762+0.00078307i,0.00020184+0.00045801i,2.728e-05-7.4644e-07i,-0.00019664-0.00012181i,-0.00048644+0.00020304i,-0.00064635+0.000395i,-0.00076526+0.00059323i,-0.00076339+0.00027827i,-0.00022978+0.00024757i,-0.00028831-0.00015411i,6.9916e-06-0.00046351i,8.7399e-05+0.00015889i,4.6487e-05-8.1029e-05i,4.8578e-05-0.0005586i
-0.00036327+0.00033664i,-0.001502+0.00031474i,-0.001307-0.0011194i,-0.0012083-0.0025872i,-0.00091317-0.0022632i,-6.5558e-05+0.00016153i,0.0008233+0.00067935i,0.00090453+0.00010108i,-0.0001854+0.00019377i,-0.00023529+0.0001564i,0.00068987+7.566e-05i,0.00026795+0.00050046i,-0.00039809+0.0012263i,-0.00018709+0.0013896i,0.00045183+0.00099619i,-9.9932e-05+0.00099878i,-0.00033959+0.00067004i,0.00053967+0.00028273i,0.0015492+0.00018418i,0.0017992-0.00085599i,0.0011204-0.0010227i,0.00031514-0.00012748i,0.00090778-0.00057058i
