-0.00099468+0.0011518i,-0.00068774+0.00031205i,-0.0015758+0.0010156i,-0.0007942+0.0015921i,-6.2757e-05+0.001699i,-0.00046317+0.0014145i,-0.0008362+0.00094393i,1.3471e-05+0.0010585i,0.0010438+0.00081725i,0.00058416-6.9106e-05i,0.00041151-0.00046323i,0.00039711+0.00019312i,-9.96e-05+0.00077718i,-0.0001047+0.00062168i,0.00024137+0.00072742i,-0.00034204+0.00022036i,-0.00047673+0.00022917i,-0.00013341+0.0011931i,-0.00025781+0.0010071i,-0.00013313+2.7632e-05i,0.00030584-0.00056808i,-0.00035959-0.00056122i,-0.0010816-0.00043287i
0.00095022-0.0010407i,0.0012212-0.0019493i,0.00057406-0.0016235i,0.00045106-0.00062725i,0.00085469-2.6059e-05i,0.00031231+3.5631e-05i,-5.641e-05+6.7713e-05i,0.00011382-4.5893e-06i,-0.00047415-0.00040941i,-0.00058804-0.00064898i,0.00016333-0.00013095i,0.00027632+0.00023521i,-0.00014138+0.00028739i,0.00064143-3.1427e-06i,0.0011332-0.00059098i,0.00023462-0.00052126i,-0.00016331-0.00075002i,-0.0003259-0.00064185i,-0.00039134+0.00023145i,-0.00021484+4.2085e-05i,-9.6647e-05-0.00030128i,-5.9348e-06+0.0001871i,8.5525e-05+7.8793e-05i
0.0002249-0.00064186i,8.3946e-05-0.0018995i,-0.00012903-0.0022216i,-0.00050022-0.0012698i,-0.00035349+0.00016601i,-0.00048386+0.0014275i,-0.0007673+0.0018929i,-0.00067331+0.0012264i,-0.00069134-0.0005553i,-0.00088496-0.00094746i,-0.00030082+0.00038682i,0.00023831+0.00074359i,-0.00031425+0.00078897i,-0.0005448+0.00041472i,0.00026237-0.00044042i,0.00021344-0.00050923i,-0.00031659+0.0003601i,-0.00021016+0.00090993i,0.00032215-0.00035966i,0.00028038-0.0012928i,-8.7871e-06-0.00098714i,-0.00033446-6.385e-05i,-0.00067902+0.0006795i
-0.0016215+0.0005066i,-0.0022387+0.00053759i,-0.0016704+0.0011839i,-0.00080161+0.001574i,9.2736e-05+0.00093583i,0.00074356+6.3044e-05i,0.00083924-0.00049993i,0.00065263-0.00078362i,8.5204e-05-0.00057173i,-0.0004129-0.0010406i,-4.3984e-06-0.0016281i,8.4838e-05-0.00074661i,-0.00027352-0.0002231i,-0.00066593+5.9218e-05i,-0.00090067+0.00022095i,-0.00030959+0.00016818i,0.00041787+0.00063844i,0.00071445+0.0011835i,0.00097745+0.00081837i,0.00088473+0.00022107i,0.00031901+0.00073591i,-9.5956e-06+0.00022854i,0.00027335-0.00061016i
0.00077603+0.0021547i,0.0019455+0.0022855i,0.0029795+0.0020314i,0.0018715+0.00074865i,0.0010903-0.00079343i,0.00094746-0.001351i,0.00040096-0.0010751i,0.00042896-0.00098269i,0.00026396-0.0011588i,-0.00024577-0.00088854i,-0.00050437+0.00050665i,-0.00064874+0.0010657i,-0.00087181+0.00075185i,-0.00015093+0.00085425i,0.00053548+0.00059277i,0.00056876+0.00058206i,0.001021+0.0010452i,0.00048641+0.00036502i,0.00018859-0.00024838i,0.00019272-6.9274e-05i,-0.00049958-0.00027603i,-0.00068014-0.00013149i,-0.00039575-0.00029403i
0.0012033+0.00025396i,0.0003234-0.00071641i,-0.00040861-0.0012382i,-0.00093401-0.0015213i,-0.00085458-0.0015397i,-0.00031863-0.00050871i,6.7807e-05-0.00027471i,-0.00031764-0.0011139i,-0.00027632-0.0017433i,-0.00011814-0.00067371i,-0.00021665+0.0002489i,-0.00025874+0.00048405i,0.00036301+0.00078179i,0.0009357+0.00069492i,0.00098273+0.00066474i,0.00031222+0.00070967i,9.2643e-05+0.00029323i,0.00058667-8.3903e-05i,0.00057253+6.175e-05i,0.00034153+0.00014076i,-0.00053192-0.00010902i,-0.0010597-0.00035083i,-0.00088906-0.00056902i
-0.0010457-0.0011834i,-0.00096006-0.001015i,-0.0011397-0.00043661i,-0.0013833-0.00018447i,-0.00017617-0.00024412i,0.00066855-0.00033407i,0.0003714-0.00093009i,0.00010228-0.0012593i,-0.00034429-0.00077293i,-0.00075728-0.00031486i,-0.0011327+4.6735e-06i,-0.0012713+0.00018457i,0.00016484+0.00037982i,0.00036553+0.00020749i,-0.00052187-0.00019372i,-0.00022117+6.5822e-05i,-0.00033324+0.00027619i,-0.00017413-0.00018363i,0.00072722-0.001089i,0.00092151-0.00093319i,0.00046973+0.00015399i,-0.00013077+0.00029828i,-5.5248e-05+0.00020532i
-0.0012751-4.0947e-05i,-0.0014619-0.0002495i,-0.0010431+0.00039512i,5.6027e-05+0.0012084i,0.00022594+0.00067172i,0.00011685+0.00087994i,0.00018211+0.0012644i,0.00014997+0.00068928i,-0.00031242-0.00052387i,-0.0010004-0.00060079i,-0.00061906+5.66e-05i,0.00021142+0.00014453i,0.00031469+9.9609e-05i,-0.0002107-0.00010206i,9.1267e-05-0.00027425i,0.00062132+0.00054011i,0.0003755+0.00072833i,0.00038104+5.702e-05i,0.00053972-0.00013654i,-0.00019597+0.00043067i,-0.0011241+0.00014062i,-0.0011986+0.00033249i,-0.00094807+0.0012616i
0.0012691-0.00049694i,0.0017955-0.0010887i,0.0014685+0.00033938i,0.00098234+0.0010147i,0.00064329+0.00035125i,0.00056304-0.00020677i,0.00048201+0.00014148i,0.00024729+0.00021353i,0.00053576+9.0524e-05i,0.00025477-3.7512e-05i,-0.00028621+0.00016865i,-0.00045276+0.00065239i,-0.00057891+0.00078971i,-0.00050002+0.001012i,-0.00018695+0.0011548i,-0.00019075+0.00096556i,-0.00045924+0.00038257i,-6.5629e-05+0.00012709i,0.00021358+0.00053427i,0.00021244+0.00074452i,-4.2885e-05+0.00093461i,0.00024808+0.00046843i,0.00030946+0.00025339i
-0.00015455+0.00066059i,0.00064046-0.00010409i,0.0016528+1.6956e-05i,0.0026813-0.00024879i,0.0030734-0.0010584i,0.0018422-0.00097452i,-0.00020957-7.432e-05i,-0.00098261+0.00047673i,-4.3703e-05+0.00089355i,0.0001764+0.0013923i,-0.00065288+0.00093736i,-6.3137e-05+3.9779e-05i,0.00026601-5.1497e-05i,-0.00041322-0.00010322i,-7.4774e-05-0.00012973i,-9.2367e-05+0.00013312i,0.00030881+0.00064963i,0.00068031+0.00087576i,0.00038367+0.00049882i,7.7303e-05-0.00027013i,-0.00020629-0.00026737i,-0.00030319-0.00013208i,0.00015256-0.0010888i
0.0015707+7.9838e-05i,0.0015723+0.001094i,0.0015644-0.00032654i,0.00088606-0.0016275i,0.00029267-0.0012637i,-0.0002605-0.00024431i,-0.00021067+0.00055462i,-0.00026659+0.0004022i,-0.00018378-4.8556e-05i,-0.00053088-0.0004588i,-0.0010757-0.00040373i,-0.00083501+0.00050224i,-0.00032718+0.0012949i,-6.6308e-05+0.00081114i,0.00026278+0.00021536i,0.00075803+7.0651e-05i,0.00048029-0.00037724i,0.00049749-0.00011501i,0.00077479-0.00039696i,0.00016289-0.0011144i,-0.00055416-0.00091378i,-0.00039792-0.0005079i,0.00053773-0.00050968i
