-0.0017045-0.00049653i,-0.0016445-0.00033549i,-0.0021233-0.0001542i,-0.0024048-0.0001339i,-0.0021698-5.6944e-05i,-0.0010678-9.5527e-05i,-0.00072416+0.0013022i,1.7128e-05+0.0026068i,0.0016434+0.0019376i,0.0022917+0.00055562i,0.001481-0.00039799i,0.00057868-0.0010339i,-0.00011843-0.00035579i,-0.00092429-0.00032693i,-0.00062147-0.00046287i,0.00026777+0.00015638i,0.00016607+0.00038844i,-0.00023379+0.00020402i,-0.00029859+0.00044279i,-0.00039195+0.00066842i,-0.000404+0.00012918i,-0.00078182-0.00039567i,-0.0010233-0.00031452i
0.00049354-0.00070822i,0.00043918+0.00082334i,-0.00090329+0.0011516i,-0.0018143+0.0012791i,-0.0016215+0.0006313i,-0.0011225+0.00035019i,-0.00027648+0.00097866i,-2.0015e-05+0.00047414i,-0.00063679-0.0011154i,-0.00069936-0.0016163i,-0.00075453-0.00067938i,-0.00066642-0.00017003i,0.00013015-0.00032172i,0.00038214+5.736e-05i,-0.00020453+0.00046177i,-0.00057904-0.00044976i,-0.00012736-0.0010284i,0.00024278-0.00052701i,0.00020658-0.00013267i,0.00052717+0.00028529i,0.00028389+0.00024274i,-0.00042166-0.00043613i,0.00036603-0.00023204i
-0.00062967-0.0018967i,-0.0010889-0.0012751i,-0.0020331-0.00033495i,-0.0010704+1.6927e-05i,0.00017525-6.5768e-06i,0.00064573-0.0004408i,0.00021268-0.0010746i,-0.0005971-0.0012536i,-0.0006763-0.0010863i,-0.00020327-0.00015608i,-2.1865e-05-3.2574e-05i,-3.9429e-05-0.00037988i,-0.0001316-0.00036562i,-0.00032093+2.4252e-05i,-0.00021009+0.00022117i,0.00020001+0.00011181i,-0.0003426+0.00024628i,-0.0010335+0.00057683i,-0.0009272+0.00032816i,-0.00017264-0.00052654i,0.00035479-0.00065317i,3.2362e-05-0.00017132i,-0.00079088-0.00013071i
-0.00014648-0.00014785i,-0.0012699-6.7832e-05i,-0.0012741-0.00051454i,-0.0014083+0.00012225i,-0.0014089+0.0011175i,-0.0010645+0.00090191i,-0.00074497+0.0001906i,-0.00074827-0.00014559i,-0.00087515-0.00012768i,-0.00066713-0.00027728i,-0.00043819-0.00045109i,-0.00012393+0.00031289i,-0.00015222+0.00095954i,-4.8359e-05+0.00091968i,0.00015993-4.0093e-05i,2.106e-05-0.00078358i,-0.00072938-0.00063254i,-0.0011263-0.00077055i,-0.00072358-0.00086033i,-0.00013738-0.00047358i,-0.00044425-6.3003e-05i,-0.00013729-0.0002325i,0.00011254-0.00010548i
-0.00039355+0.00053879i,-0.00061493+0.0019907i,-0.00074502+0.0025444i,-0.00062719+0.0018386i,-0.00032402+0.00099653i,-0.00019293-0.00050427i,0.00014247-0.00076775i,0.00049189-0.0003201i,0.00025229-0.000654i,7.5962e-06-0.00090297i,-0.00011721-0.00032314i,-0.00048191+7.0369e-05i,-0.0010109-0.00029267i,-0.0010418+2.194e-05i,-0.0010238+0.00059664i,-0.0011647-0.00023085i,-0.00044814-0.00053079i,0.00065818-0.00079031i,0.00055924-0.00051935i,-5.2552e-05+0.00060613i,3.2529e-05+0.00096066i,0.00012111+0.00084432i,-0.0004058+9.8502e-05i
-0.00080897+0.0011052i,-0.00077557+0.0014886i,-0.0012802+0.00064483i,-0.0011714+0.00091493i,-0.00068548+0.0007546i,0.00013409+0.00034458i,0.0002128-6.1886e-05i,-0.00050726-0.00035845i,-0.00058546+0.00022835i,-0.00020361+0.00014857i,-0.00023326-0.00054273i,-0.0006423-0.00017147i,-0.00052371+0.00041084i,-0.00018294+0.00046082i,-0.00048482+0.00017136i,-0.000475-0.00048096i,-0.000109-0.00019303i,-0.00054913-0.00043208i,-0.00017421-0.0010778i,0.0002599-0.00099118i,0.00016637-0.00046775i,0.00095434+0.00022666i,0.001491-4.2443e-05i
-0.0019868+0.0011795i,-0.0017463+0.0014087i,-0.0021155+0.0008042i,-0.00087439+0.00088511i,0.00091606+0.0013795i,0.0014474+0.00062924i,0.0013439-0.00022357i,0.0014152+0.00014303i,0.00070398+0.00014719i,-0.00038885-0.00063586i,-0.00085378-0.00061723i,-0.00050363-0.00086151i,-0.00013779-0.00034204i,0.00030357+0.00045394i,-2.0399e-05+0.00017438i,-0.00072622+0.00026752i,-0.00044473+0.0002411i,-0.00031316+0.00012552i,-0.00037975+0.00083545i,-0.00066483+0.0012588i,-0.0011763+0.00089139i,-0.0012106-0.00030702i,7.9946e-05-0.00064228i
0.00093814-0.00080126i,0.00032493-0.00042372i,-0.00026529-0.00017549i,9.9213e-05-0.00038416i,0.00069094-0.00068435i,0.00061751-0.00076473i,0.00030245-0.00057833i,-8.4697e-05+2.4607e-05i,0.0001783+7.5483e-05i,0.00016227+0.00025726i,-0.00049664+0.0002793i,-5.375e-05+7.9268e-05i,0.0003092+0.00086832i,1.8642e-05+0.00052853i,-4.7422e-05-0.00034573i,-0.00028167-0.00036488i,0.00041491-0.00039054i,0.0011035+1.8115e-05i,0.00067127+0.00034614i,0.00017094-4.6948e-05i,-0.00011049-0.00041377i,2.3261e-05+0.00018825i,-0.00042178+0.00056146i
0.0014502-0.00071576i,0.002463-0.00047621i,0.0012971-0.00093552i,-0.00074971-0.00053906i,-0.0011848+5.1155e-05i,-0.0004565+6.3109e-05i,-0.00021617-0.00041742i,-0.00042074-0.00065033i,-0.00061463-0.0010299i,-0.0011086-0.0012662i,-0.0011303-0.0010491i,-0.00031852-0.000429i,-5.8354e-05-0.00026321i,-0.00055185-0.00020004i,-0.0002694+0.00026493i,0.00019315+0.00034413i,-0.00025993+0.00083695i,-0.00043521+0.00095883i,-0.00035021+0.00053733i,0.0001827+0.00028835i,0.00029845+0.0001261i,-3.7904e-05+7.6546e-05i,-8.5639e-05-0.00048225i
0.00034126-0.00066149i,0.00026273-0.0011457i,0.00058784-0.00097927i,-0.0001082-0.00023631i,0.00034177+9.0811e-05i,0.00058347-0.0002774i,-0.00041045-0.00023634i,-0.00079579-0.00015847i,-0.00072447-0.00045307i,-0.00077754+0.00042942i,-0.0008627+0.0011453i,-0.00047117+0.0013432i,-0.00030441+0.0014324i,-0.00017322+0.00076121i,0.00042595+0.00055402i,0.00015295+0.00012594i,-0.000335-0.00029027i,-0.00052144+5.5936e-05i,-0.00083374+0.000213i,-0.00065278-0.00042341i,-7.7091e-05+0.00020124i,-9.8445e-05+0.0002372i,-0.00048187-0.00020837i
0.0011035+0.00096377i,-7.4439e-05+0.00064923i,-9.3451e-05-0.001174i,8.3805e-05-0.002379i,0.00021765-0.0021021i,-0.00031968-0.00086049i,-0.0012887+0.00012515i,-0.00097132-4.201e-05i,-0.00021066-0.00040887i,-0.00043266-0.00036818i,-0.0010248-0.00044952i,-0.0012362-0.00010131i,-0.0010966+0.00030887i,-0.00086768+0.0002833i,-0.00054202+0.00024852i,-0.0003287+0.00012364i,-0.00013544+0.00020306i,0.00050859+0.00045234i,0.00056995+0.00061454i,0.00064116+0.00016812i,0.00056234-0.00082024i,0.00056151-0.00065951i,0.0001537+0.00014894i
0.0010832+0.0016975i,0.0010215+0.0024207i,0.0010716+0.0032142i,0.001005+0.0024173i,0.00068602+0.0011654i,0.00036449+0.0010076i,0.00016564+0.00052287i,-0.0002514-0.00053041i,-0.00030528-0.00075511i,0.00012573-0.00055591i,0.00024705-0.00056943i,-0.00042081-5.2191e-05i,-0.0010828+0.00013625i,-0.00097592+0.00017948i,-0.00017356+0.00088485i,-0.00033595+0.0011286i,-0.00036801+0.00046384i,0.0003857+0.00071957i,0.00055834+0.00098834i,0.00014883+0.00014679i,0.00015468-0.00011591i,-0.0001191+0.00038058i,-8.4916e-05-0.00020567i
-0.00070981+0.00083365i,0.00056166+0.0015586i,0.0012396+0.0022326i,0.00098222+0.0010093i,0.0017683-0.00059759i,0.0017472-0.00064284i,0.00012485-0.00049825i,-0.00055379+0.00018657i,-0.00083996+0.00077008i,-0.0010017+0.0001666i,-0.00060655+0.000274i,-3.8797e-05+0.00068098i,-0.00010078+0.00075434i,-0.00038598+0.00031034i,-0.00042717+0.0001888i,-9.3776e-05+0.00050295i,0.0011907+0.00058527i,0.0013933+0.00078512i,0.00060445+0.00043714i,0.00081707-0.00039453i,0.00087809-0.00046291i,0.00045789+0.00051851i,0.0002421+0.00049684i
-0.0030594-0.00033866i,-0.0027319-1.6996e-05i,-0.0030504+0.00054579i,-0.0018776+0.0011294i,-0.00020809+0.0012476i,0.0010259+0.00047183i,0.00097322-0.00042842i,4.1418e-05-0.00052951i,-0.00084364+0.00019504i,-0.0013276+0.00010588i,-0.00063818-0.00053443i,-0.00025553-0.0009428i,-0.00084859-0.00063484i,-0.00087624+1.8609e-05i,0.00013293-0.00062739i,0.00094006-0.00016968i,0.0005517+0.0011903i,-0.00066952+0.001134i,-0.00070726+0.00015734i,0.00041838-0.0005155i,0.00063992-0.00062781i,0.00052999-0.00065991i,4.4278e-05-0.00064175i
-0.00037088+0.0012168i,-0.0007307+0.00096664i,-0.00058081+0.00029308i,-0.00078162+0.00050482i,-0.00024404+3.9209e-05i,0.00011235-0.0010156i,0.00018888-0.00073558i,0.00053438-6.5001e-05i,0.00033586-0.00022769i,-7.7446e-05-0.0010114i,-0.00040703-0.0010732i,-0.00049436-0.00016544i,-0.000431+0.00020092i,-0.00099139+0.00014491i,-0.0012305+0.00047857i,-0.0006531+0.00051315i,-0.00029184-0.00028941i,-0.00016499-0.00082609i,-0.00023603+0.00023569i,0.00017027+0.00088631i,0.00099303+8.6024e-05i,0.0008209-0.00044431i,0.00089238-2.8382e-05i
0.00021638+0.0017222i,0.00097945+0.00071225i,0.0014321+0.00053611i,0.0013661+0.00051451i,0.0016219-0.00025823i,0.00077446-0.00020038i,-0.00015153+0.0005149i,-0.0005964+0.00038579i,-0.00037626-0.00042707i,0.00045147-0.00068376i,0.00077967-0.00013846i,0.00070192+0.00031364i,-0.00017205+0.00071836i,-0.00085046+0.001389i,-0.0004587+0.0013925i,-0.0002145+0.00040762i,-0.00012337+0.00011042i,0.00018525+0.00042557i,6.3189e-05+0.00076506i,0.00019936+0.00072054i,-6.0071e-05+0.00042089i,-0.00058723-9.733e-05i,-0.00061984+0.00019278i
-9.3995e-05+0.0010238i,0.00073796+0.00029659i,0.0020729+0.00055619i,0.0017744+0.00055011i,0.00052129+0.00021596i,-0.00038968-0.00041264i,-0.00016388-0.001218i,0.00013938-0.0016434i,0.00045909-0.0013037i,0.00055135-0.00058215i,-2.5886e-05-0.00012441i,-0.001043-1.1438e-05i,-0.0017949+0.00021292i,-0.0012581-0.0002881i,-0.00070115-0.0010201i,-7.7902e-05-0.001201i,0.00026489-0.00095506i,-0.00018058-0.00040907i,-0.00016036-6.441e-05i,-0.00028653-0.00018914i,-0.0007872-0.00097676i,-0.00043042-0.00090027i,-1.0965e-05-0.00013216i
0.0028158+0.00020128i,0.0014077-0.00018282i,0.0011146-0.00057126i,-0.00032783-0.0011938i,-0.0013805-0.0014285i,-0.0011002-0.0008481i,-0.0010468-0.00064064i,-0.00032333-0.00036749i,0.00097483-0.00065338i,0.00052471-0.00067355i,-0.00046677+0.00018499i,-0.00032663+0.0012609i,-0.0009284+0.0012999i,-0.00088294+0.00088664i,-0.00025595+0.00088876i,-0.00080806+0.00057367i,-0.00093039+0.00010408i,-0.00044383+0.00019338i,-0.000106+0.0002518i,-0.00038065-0.00019675i,-0.00038767-0.00019591i,0.00015089+0.00063231i,9.0095e-05+0.00079553i
0.00031828-0.00012937i,0.00027247-2.552e-05i,5.3187e-05-0.00010021i,-9.677e-05-0.00024636i,-0.00016826-0.00039582i,-0.00072903-0.00048105i,-0.001284-0.00062239i,-0.0009921-0.00099967i,-0.00045726-0.0015347i,-0.00031674-0.0011414i,-0.00013605-0.00056594i,-0.0001155-0.00027472i,6.679e-05+0.00020415i,0.00071097+0.0010846i,0.00020647+0.0011175i,-0.00030302+0.00041424i,-0.00035057+0.00031564i,-0.00043419+0.00051148i,-0.00010939+0.00056693i,0.00026933+0.00067117i,0.00033819+0.00056608i,-1.0174e-05+0.00037458i,0.00053926-2.9946e-05i
-0.00010713-0.00096477i,-0.0012418-0.00058113i,-0.0006472-0.00049496i,-0.00012764+0.00018145i,-0.00039673+0.00046323i,-0.00016349+3.6318e-05i,-0.00034382-0.00024325i,-0.00023949-0.00021022i,0.00073242-0.00045316i,0.00043556-0.00035319i,-2.5785e-05-4.671e-05i,0.00037402+6.2088e-06i,3.5669e-05+0.00038809i,-0.0011912+0.000366i,-0.0012395-0.00053562i,-0.00073771-0.0010624i,-0.0001147-0.00066043i,0.00088457-0.00069091i,0.0011967-0.001068i,0.00061555-0.0005527i,0.00013024+0.00016135i,-0.00029051+0.00045519i,-0.00013492+0.00014814i
