-0.0022426+0.00069413i,-0.0024212+0.0014149i,-0.0014833+0.0013721i,-0.00076503+0.00031328i,-0.0016477+0.00059039i,-0.0023805+0.0010702i,-0.0016522+0.00054188i,0.00020412+0.00070511i,0.00051327+0.0011885i,-6.1445e-05+0.0002629i,7.3654e-05-0.00078344i,-0.00028865-0.00055352i,6.3588e-05-0.00031i,0.00091276-0.00023977i,0.0010698-2.3456e-05i,0.00076802+3.7073e-05i,3.4932e-05-0.00082962i,-0.00010086-0.0008991i,3.6276e-05-0.00016107i,-0.00052679-0.00015825i,-0.0006314-0.00071202i,-7.8774e-05-0.00042411i,0.00067886-0.00032624i
0.0017024+0.00063701i,0.0016895+0.00028424i,0.0021869-0.00087022i,0.0019224-0.00096856i,0.00088015-0.0014103i,0.00049795-0.0013715i,0.0014039-0.00028248i,0.0014841-0.00045965i,0.0010854-0.00077023i,0.00068783-0.00064475i,-0.00026984-0.00035034i,-0.00067418+0.00060555i,-0.00063256+0.0012176i,-0.00043418+0.00080678i,3.236e-05+2.4306e-05i,0.00069811-0.00086584i,0.0010227-0.0011727i,0.00090871-0.00054359i,0.00018767+0.00013293i,-0.00041939+0.00026327i,-0.0002243-0.00011423i,0.00017501-0.00056836i,6.5236e-05-0.00090225i
0.00071496+0.0015585i,0.0010702+0.0011309i,0.0010337+0.00042682i,-0.00058053-0.0012423i,-0.0018441-0.0022689i,-0.0018176-0.0019372i,-0.00083261-0.0007695i,0.00014537-0.00027215i,0.00047433-0.00063008i,0.00025736-0.00052179i,0.00022346-4.6932e-05i,-3.0942e-05+6.612e-06i,-0.00027739+0.0001986i,-0.0007208+0.0003666i,-0.00090895-0.00039569i,-0.00011277-0.00085301i,0.00044279-0.00021093i,0.00016791-0.00012023i,-0.00017654-0.00025676i,0.00026744-0.00032405i,0.00070845+0.00036666i,0.00035879+0.00079039i,0.00042155+0.00039524i
-0.0012005-0.00077253i,-0.00057539-0.0011617i,-0.00011938-0.00057852i,0.00062933-5.3317e-05i,0.00074514+0.00019344i,0.00046399-0.00034644i,0.00051941-0.00031743i,0.00048194-7.7102e-05i,0.00018515-0.00029729i,0.00051927-0.00032729i,-1.4384e-05-4.8758e-06i,-0.00042962-0.00013468i,-5.5314e-05-0.00037443i,0.00030856-0.00041063i,0.00037862-9.1264e-05i,0.00018197+0.00047743i,1.8599e-05-6.4149e-05i,-2.1771e-05-0.00025488i,0.00013879-0.00028426i,-0.00014935-0.00061867i,-0.00055988-0.00053804i,-0.00019829-9.3277e-05i,-4.9892e-05+0.00092038i
0.0006922+1.4033e-07i,-0.00030868+0.0010586i,-0.00044678+0.00048725i,0.00064172-0.00024088i,0.00076765-0.00078873i,0.00016737-0.0012615i,0.000771-0.00067999i,0.00091864-0.00066999i,-0.00011517-0.00079896i,-0.00054828-0.00043292i,-0.00051901-0.0001277i,-0.00021766-0.00018176i,-2.2602e-05-0.00033037i,-0.00022049-9.9141e-06i,-0.00011307+0.00018523i,0.00015482+0.00028926i,-5.3384e-06+8.3863e-06i,-7.3508e-05+0.00023986i,0.00075367+0.00056981i,0.00067445+0.00034513i,-5.4462e-05+0.00015616i,-0.00037913+7.0498e-05i,-5.6751e-05+0.00016265i
0.0014904+0.00060963i,0.001913+0.00043876i,0.0023033+0.0005282i,0.0013397-7.8506e-05i,0.00087026-0.00053186i,-0.00016886-0.00066967i,-0.0013275-0.00084389i,-0.0014038-0.00081955i,-0.0013493-0.00062904i,-0.00078499-0.0006543i,0.00017307-0.00047105i,0.00020197+0.00016936i,-0.00054397+0.00062102i,-6.3346e-06+0.00074614i,0.00073061+0.00075758i,0.00080807+0.00067157i,0.0007409+0.00043532i,0.00029205+0.0002789i,-0.00019844+0.00023496i,1.3037e-05-6.7822e-05i,0.00037203-3.8919e-06i,0.00084339-2.3004e-05i,0.00091906+0.00034915i
-0.00080489-0.0003115i,-0.00010302+0.00075744i,0.00058487+0.0018947i,0.001301+0.0016658i,0.0017918+0.0011562i,0.0011491-0.00029822i,1.8395e-06-0.00080871i,-0.00041535-0.00021478i,-0.00042769+8.7637e-07i,-0.00029567+8.1727e-05i,0.00076714+3.4511e-05i,0.0013482-0.0006222i,3.3202e-05-0.0013008i,-0.0011073-0.00055432i,-0.0010857+0.00034872i,-0.00090011+0.00026201i,-0.00019682-2.1984e-05i,0.00012805-0.00046197i,-0.00039871-0.00065943i,-0.0012529-0.00019953i,-0.00093039-0.00017094i,-0.00040749-0.00015149i,-0.00039451+0.00026616i
-0.0023135-0.0019801i,-0.0025097+0.00021522i,-0.0023346+0.00093999i,-0.0013012+0.0010862i,-0.00096751+0.00090171i,-0.00060248-0.00018423i,0.00014263-0.0010995i,0.00046366-0.0012288i,-0.00057227-0.00043905i,-0.0011755+0.00010993i,-0.00065215+0.00037507i,-0.0005003+0.00034894i,0.00037987-0.00063206i,0.0011496-0.0016862i,0.00090066-0.0012213i,0.00052577-0.00049852i,0.00011432-0.00049499i,-0.00026785-0.00068003i,-0.00074578-0.00063622i,-0.0010193-0.00032767i,-0.00046256-0.0008485i,0.00014547-0.00092857i,0.00037936-0.00034981i
-0.00074491+0.00065674i,-0.00045331+0.0014861i,0.00093353+0.0011046i,0.0011373+0.00072067i,0.00075286+0.00095711i,0.00063458+0.00088966i,0.00016952+0.00067593i,0.00032986-2.4985e-06i,0.00060811-0.00051064i,-5.7959e-05-2.9197e-05i,-0.00013008+0.00039981i,8.2244e-05+0.00020349i,0.00038172+0.00010195i,0.00084716+0.00033227i,0.00053337+0.00033914i,7.6995e-05+0.00036308i,0.00022333+0.00072092i,0.00015085+0.00029943i,0.00031072-0.00010828i,0.00027353-0.00035663i,7.0934e-05-0.00014694i,0.00034748+0.00049524i,0.0005181+0.00031622i
-0.0020263+0.0013331i,-0.0013268+0.0014447i,0.00016653+0.001185i,0.0011325+0.0014686i,0.00084591+0.0010428i,0.00086411-0.0003668i,0.00052712-0.001225i,0.00035956-0.0011048i,0.00012154-0.00062235i,-0.0004736-0.00015836i,-0.00021701-0.00012406i,-1.7762e-05-8.8586e-05i,-0.00041326+9.6966e-05i,0.00015363-0.00050686i,0.00034722-0.00067733i,9.5832e-05-0.00052961i,0.00044033+0.00010936i,0.00080855+0.00039129i,7.8736e-05+8.7487e-05i,-0.00079048-0.00017479i,-0.00061791+3.5184e-05i,-0.00019265+0.00021999i,-0.00019234+0.00071035i
-0.00033874+0.00084447i,0.00088903+0.0017781i,0.0012859+0.0019669i,0.001455+0.00036544i,0.00096538-0.000438i,0.00023839-0.00096862i,0.00026281-0.00062197i,-3.8097e-05+0.00010197i,2.0864e-05+0.00019304i,6.1844e-05+5.7729e-05i,-0.00034943-6.5733e-05i,-0.00016584+0.00066196i,0.00032472+0.00086999i,0.00094433+0.00039895i,-9.2573e-06-1.1292e-05i,-5.4918e-05-0.00077507i,0.0010402-0.00061943i,0.00090736-0.00030513i,0.00043918+1.8883e-06i,-0.00052243+0.000294i,-0.0003902-0.00019705i,0.00047076-0.00055703i,-0.00016379-0.00039704i
