0.00051642+9.1668e-05i,0.00041183-0.00074838i,-0.00036105-0.0018024i,-0.00090814-0.0028372i,-0.0014696-0.0019187i,-0.0023873+4.855e-05i,-0.0020799+0.00093909i,-0.0010371+0.0011351i,0.00010427+0.00049977i,0.0005226-0.00025153i,0.00024383-0.0004665i,0.00016783-0.00029657i,-6.0823e-05+2.6541e-05i,0.00037025+2.9293e-05i,0.00079161-0.00023607i,0.00046514-0.00023863i,-0.0001643-0.00022063i,-0.00070339-0.00022826i,-0.00014003+0.00022986i,6.6287e-05+0.00058805i,-0.00095558+0.00059998i,-0.00094269+6.3161e-06i,-0.00035048-0.00029254i
0.00049222+0.0010818i,-6.8262e-05+0.00096653i,-0.00014785+0.00071406i,8.8611e-05+0.0010011i,7.4571e-05+0.0006896i,-0.00039384+0.00014844i,-0.00086203+0.00086624i,-0.001168+0.00086999i,-0.00032572+0.00033904i,5.6492e-05+0.00020575i,-0.00015639+0.00036918i,1.2181e-05+0.00022745i,0.00022677+0.00036605i,6.4791e-05+0.00095974i,-0.0010651+0.00092483i,-0.0013033-5.5934e-05i,-0.00095794-0.00022216i,-0.00081001+7.809e-05i,-0.00025616-9.3449e-05i,0.00011792-0.00025491i,-0.00054373-0.00072191i,-0.0011226-0.00090568i,-0.00058261-0.00011153i
0.0010113-0.00043913i,0.0015739-0.0011967i,0.002023-0.0012999i,0.0011606-0.00173i,0.00026497-0.0014072i,-0.00016558-0.00060898i,0.00015556-0.00071683i,0.00061964-0.00091068i,0.00035565+0.00033945i,-1.928e-05+0.0014281i,5.3073e-05+0.00094961i,0.00025497+0.00020099i,0.00051159+0.00028456i,0.00054945+1.6781e-05i,0.00024233+6.917e-07i,-0.00077859+0.00011817i,-0.0017031-9.0388e-05i,-0.0018124-0.0002161i,-0.00067727-0.00041257i,0.00026558+0.00014983i,-3.1275e-05+0.00090863i,-8.6933e-05+0.00072937i,6.1411e-05+0.00046386i
-0.0012082+0.00015003i,-0.00077472+0.0017348i,-0.00032296+0.0024523i,0.00055328+0.0012099i,0.00062727+0.00026867i,0.0004961+0.000664i,-0.00012399+0.0012395i,0.00024344+0.001153i,0.00076788+0.0012078i,0.0010538+0.0010029i,0.00044687+0.0004409i,-0.00084531+2.2212e-05i,-0.00072133-0.00041136i,-0.00015117-0.00043455i,-0.00022275+0.0002265i,-0.00038121+0.0008357i,-0.00012435+0.0001768i,-0.00039032-0.00021441i,-0.00093985+0.00011902i,-0.00085509-0.00022878i,0.00032465-0.00069119i,0.00096365-0.0014643i,-7.3746e-05-0.0013303i
0.001099+0.00015343i,0.00095231-0.00020205i,0.0015057-0.00057825i,0.00082486-0.0016051i,-5.5552e-06-0.0017715i,0.00034523-0.00090103i,-0.00017553-0.00044657i,-0.00044102-0.00012439i,-0.00050604+0.00018609i,-0.00078267-6.856e-05i,-0.00036523-0.00058597i,-0.00011732-0.00094483i,1.7172e-05-0.0012603i,0.00036899-0.00045628i,0.0003262+0.00014628i,-0.00019106-0.00018842i,-0.0001513-0.0004758i,0.00055782+0.00038313i,0.00042991+0.00063428i,2.5907e-05+6.8697e-05i,0.00031175+2.3897e-05i,0.00048939-0.00063813i,0.00020578-0.00045547i
0.0004764-0.0017004i,0.0010953-0.001801i,0.0014706-0.0017281i,0.0009032-0.0015724i,-4.3777e-05-0.0012181i,-0.00015884+5.9909e-05i,-9.3793e-05+0.00075272i,-2.1438e-05+0.00015446i,5.9238e-05-0.00011303i,-0.0005587+0.00058473i,-0.0011947+0.0010032i,-0.00066164+0.00025728i,-3.1601e-05-0.00020086i,-0.00011951-0.00016253i,0.00051365+0.0010618i,0.001028+0.0012132i,-2.2709e-05-7.3407e-05i,-0.0003491-0.00059725i,0.00037313-0.00029504i,0.0002094-0.00036732i,4.7547e-06-0.00061076i,1.2696e-05-0.0004642i,0.00013908+0.00011693i
-0.0013599+0.00037891i,-0.00057676-0.00056666i,-0.00025271-0.00092307i,0.00048978-0.00067976i,0.00039117-0.00042808i,2.6502e-05-0.00022314i,-0.00045671-3.921e-05i,-0.0004623-0.00035569i,-0.00037502-0.00041476i,-0.00082759-0.00049576i,-0.0005507-8.5957e-06i,-0.00028811+0.00074864i,0.00045925+0.00097126i,0.0012828+0.00085375i,0.00084152+0.00063762i,0.0001626+0.00035435i,0.00089414-0.00075033i,0.00060342-0.00079908i,-0.00029544-2.0755e-05i,-0.00033172-0.00022797i,0.00031127-0.000313i,0.00082209-0.00050242i,0.00026701-0.00040138i
0.0013745+0.0035503i,0.0016028+0.0044584i,0.0013097+0.00294i,0.0018349+0.0008003i,0.0022895-0.00026863i,0.0015751-9.9848e-05i,0.00030715+0.00047771i,-0.00028969+0.00045176i,0.00034504+0.0010382i,0.00072078+0.00071868i,0.00033123-5.1516e-05i,-1.0538e-05-0.00019187i,-5.2093e-05+0.00015934i,1.6701e-05+0.00024361i,0.00063028-0.00025668i,0.00071691-0.00015311i,-4.7694e-05+2.7491e-05i,0.00025452-0.00073984i,0.00083393-0.0011431i,-0.00022644-0.0010425i,-0.00079291-0.0010544i,-0.00056428-0.00061562i,-0.00068708-0.00059597i
-0.0008103-0.0023188i,-0.00042448-0.002273i,-0.0006715-0.0018379i,-0.0010073-0.00054193i,-0.00057916+0.00031717i,0.00018131+0.00034968i,-0.00032176-0.00041466i,-0.0010156-0.00090273i,-0.00040431-0.00019166i,-7.8109e-05+0.001114i,-0.00026393+0.00093067i,0.00019401-0.00020876i,0.00064809-0.00053469i,0.00044939-0.00021435i,0.00017224-0.00030055i,-0.00050437-0.00085773i,-0.00070315-0.00048344i,0.00038005-0.00011739i,0.0010171-0.00016168i,0.00082776+0.00019322i,0.00064546+0.0009659i,-0.00021516+0.00074986i,-0.00052143-4.0456e-05i
0.00028928+0.0016311i,0.00090186+0.0004626i,0.0015828-0.000511i,0.0019326-0.001499i,0.0012751-0.0017713i,-7.012e-05-0.0012763i,-0.00060609-0.00067668i,-0.00062071-7.9077e-05i,-0.00039958+0.00042412i,-0.0005454+0.00072613i,-0.00044227+0.00017153i,-2.2466e-05-0.00045444i,0.00011995-0.00011267i,-2.1382e-06+7.7941e-05i,-0.00018711-0.00028219i,-0.0006859-5.8592e-05i,-0.00063965+0.00058692i,-0.00059775+0.00095294i,-0.00063709+0.00027867i,-0.00016751-0.0006239i,0.00035439-0.00036926i,0.00013237+0.00037387i,-0.00044436+0.00056709i
-0.00045223-0.0012649i,-0.0013227-0.0021731i,-0.00095589-0.0031006i,-0.00043158-0.0030501i,-0.0013127-0.0013418i,-0.0013571-3.7005e-05i,-0.00052333+0.00045174i,0.00012687+0.0006765i,0.00055803+0.0010098i,0.00040284+0.0014095i,0.00024638+0.00052913i,0.00018885+0.00041187i,-0.00027965+0.00095384i,4.4737e-05+0.00037534i,0.00052459-0.00052399i,0.00040758-2.3633e-05i,-6.4835e-06+0.00020852i,0.00019036-1.115e-05i,0.00041197+6.9357e-05i,-0.00020648+0.00014708i,-0.0010625-0.00012976i,-0.000725-0.00030303i,0.00095652-0.00034491i
