-0.00068384-0.00069312i,-0.00020913-0.0031165i,-0.0006113-0.0026913i,0.00032117-0.0005759i,0.0017487+0.00067527i,0.0023496+0.0016231i,0.0011349+0.0024598i,0.0009415+0.0017923i,0.0013142+0.00060788i,0.0015128+4.8722e-05i,0.0017381-0.00029282i,0.0010435-0.00095074i,0.00044651-0.00126i,0.0002518-0.00092291i,-0.00043105-0.00058894i,-0.0010349-0.00064564i,-0.0010596-0.00091347i,-0.00075274-0.00096918i,-0.00021656-0.0010042i,0.00019953-0.0010926i,-0.00029452-0.00057991i,-0.00045665-0.00050899i,-7.0277e-05-0.00013985i
0.0010014+0.00041758i,0.0011829-0.0013645i,0.0020726-0.0050639i,0.001796-0.0055647i,0.00045993-0.0032796i,0.00034029-0.0012015i,0.00056867-0.00027221i,0.0008673-0.00010135i,0.0017575-0.00043564i,0.0020409-0.00071449i,0.00064146-0.00030693i,0.00036522-0.00040325i,0.00083168-0.0005818i,7.6406e-05+0.00024414i,-5.6769e-05-0.00025803i,0.00022769-0.00098078i,0.00034277-0.00030606i,0.00027055+0.00077133i,0.00036113+0.0011876i,-0.0001498+0.0008059i,-0.00096039+0.00014186i,-0.0014489+0.00010968i,-0.0010215+0.00044965i
0.00055288+0.00082617i,0.0020836-0.00089917i,0.0027098-0.0029611i,0.0017313-0.0036041i,0.00071344-0.003015i,-6.6282e-05-0.0021342i,-6.2624e-05-0.0010132i,0.00075614-0.00097632i,0.00086993-0.0012687i,0.00032685-0.0013397i,-0.00048243-0.0011825i,-0.00057743-0.00046623i,-0.00040072+0.00021243i,0.00039846+0.00020292i,0.000526-0.000151i,0.00042693+0.00054381i,5.8837e-05+0.0010578i,-0.00043303+0.00029917i,-0.00035519-0.00042314i,-1.4747e-05-3.9403e-06i,7.3242e-05+0.00029642i,0.00011086+0.00035761i,2.3707e-05+0.00029933i
-0.0003002-0.00065736i,-0.0013559-0.0018243i,-0.0014405-0.0029626i,-0.00066234-0.0024534i,-0.00080344-0.00050421i,-0.0011365+0.0010419i,-0.00033246+0.0010427i,0.0015788+5.3346e-05i,0.0021695-0.00053255i,0.00087228-0.00049699i,-0.00077932-0.00041087i,-0.00086601-0.00076337i,-2.089e-05-0.00035908i,0.00060791+0.00029754i,0.00062514+0.00024526i,-4.3586e-05+0.00022751i,-0.00087356-0.00011615i,-0.0010173+0.00035028i,-0.00044782+0.00047283i,3.7261e-05+0.00050256i,-0.00046103+0.0004215i,-0.0012755+2.5168e-06i,-0.00071629-0.00022073i
-0.0013583-1.4494e-06i,0.00018088-0.0024779i,0.0012485-0.0040873i,0.0009207-0.0047422i,0.0012304-0.0029105i,0.0018543-0.00062876i,0.0014376+0.00061821i,0.0011906+0.00012422i,0.0012595-0.00074482i,0.0013075-0.00019633i,0.00053806-0.00019267i,-0.00024873-0.00041734i,-0.00051423+0.00012169i,-0.00052844+0.00044891i,-0.00016546-1.1497e-05i,-0.00010233-0.00048264i,-0.0004417-0.00056058i,-0.0004543-0.00086092i,-2.1602e-05-0.0010123i,4.9903e-05-0.00082308i,-0.0011129-0.0002334i,-0.0017938+9.8619e-05i,-0.0013775+0.00011526i
0.0016671+0.00021642i,0.0016825-0.001621i,0.00071299-0.0034423i,-0.00017678-0.0033605i,9.4317e-05-0.0020201i,0.00069627-0.00019186i,0.00057342+0.00063024i,0.00067133-4.8798e-05i,0.0010226-0.0011041i,0.00068375-0.001476i,-0.00022061-0.0006527i,-0.00013316+0.00020121i,0.00023244+0.00089239i,0.00058196+0.0013262i,0.0014149+0.00063231i,0.0012822-5.9329e-05i,0.00047236+9.5233e-05i,-0.00015005+0.0005912i,-0.00053952+0.0014606i,-0.00047725+0.0010153i,-0.0001393+0.0002228i,-5.184e-05+0.00042013i,-0.00035343+2.9193e-05i
0.00086254-0.00083041i,0.0015219-0.0019036i,0.0021734-0.0038161i,0.00080313-0.0047618i,-0.00049417-0.0036118i,-0.00075599-0.0024912i,-0.00028616-0.0016392i,0.00018679-0.00021757i,0.00011716-0.00043818i,-0.00020896-0.0013416i,-0.00042157-0.0009204i,-0.00065891-4.2548e-05i,-0.0006903-0.000186i,-0.00026147-0.00014558i,-3.4925e-05+0.00063022i,-1.8274e-05+0.00069292i,3.5672e-05-6.6423e-05i,-0.00050618-0.0006184i,-0.00062894-0.00084623i,-0.00012817-0.0011677i,0.00013882-0.00053451i,-4.5338e-05-0.00080988i,5.9678e-05-0.0014651i
-0.00040814-0.00056742i,-0.00033409-0.00040095i,-0.00058476-0.0011095i,0.00049893-0.00075229i,0.00092999+0.00070509i,0.00069741+0.0017684i,0.00025641+0.0017072i,0.00030529+0.00073112i,0.00076715-0.00074835i,0.00051587-0.00098069i,0.00051726-0.00063707i,0.00061973-0.00040988i,0.00053714-0.00045277i,0.00017494-0.0011953i,0.00013991-0.0011809i,8.9039e-05-0.00037164i,-0.00020721-0.00021034i,-0.00084872-0.00022451i,-0.0014355+2.805e-05i,-0.0014103+0.00038957i,-0.00041016+0.00014369i,9.0533e-05-0.00030099i,-0.00071641-0.00013124i
-0.00065456-0.0011962i,0.00083522-0.0019579i,0.00025298-0.0035226i,-0.00080193-0.0034617i,-0.0011188-0.001315i,-0.00034011+0.00072068i,0.00080218+0.0017069i,0.0010838+0.00089322i,0.00058864-0.00043223i,0.00032404-0.0005037i,-0.00026184-0.00035326i,-0.00039407-0.00062988i,0.00034306-0.00032942i,0.00078307+1.5597e-05i,0.00030842-0.00025151i,0.00011472+6.2753e-05i,0.00026532+0.00058734i,-0.00020724+0.00028184i,-0.00049548+3.3383e-05i,0.00011399+0.00036268i,-0.0001958+0.00031131i,-0.00089251+1.7059e-05i,-0.00039193-0.00076261i
0.0013843-0.0005361i,0.0015335-0.0016198i,0.0011768-0.0033312i,0.0010625-0.0035798i,0.00050127-0.0023052i,-9.1859e-06-0.00087508i,0.00036812-0.00037805i,0.001115-0.00030085i,0.0015372-4.8583e-05i,0.001244-2.3147e-06i,0.00040394-0.0004142i,-0.00017511-0.00031098i,3.3155e-05+1.7305e-05i,0.0011277+2.0857e-05i,0.0013533+4.0773e-05i,0.0004966-0.00018596i,-0.00029004-0.00064414i,-0.00069732-0.00080471i,-0.00037923-0.00048013i,-8.3001e-05+0.00011372i,-0.00037461+0.00086936i,-0.00044853+0.00068575i,-0.00016858-0.00015486i
-0.00035653-0.00062304i,0.00091301-0.0035486i,0.0020921-0.0046953i,0.0019211-0.0044701i,0.00085934-0.0030704i,-0.0001121-0.0015002i,0.00012373-0.00093004i,0.0010641-0.00041416i,0.0013231+0.0001392i,0.00035804+7.6179e-05i,-0.00027668-0.0004519i,0.000431-0.00066807i,0.00086249-0.00044949i,-0.00024634-0.0004387i,-0.00094024-0.0004492i,-9.2591e-05-0.00029977i,0.0005746-0.00026987i,0.00022976-0.00068871i,-0.00081277-0.00093244i,-0.0012495-0.00034764i,-0.00086024+0.00044423i,-0.00071058+0.0006546i,-0.00018328-0.00031474i
0.00030352-0.0011964i,0.0014151-0.002462i,0.0012972-0.0040889i,-6.7673e-05-0.003789i,-0.00012172-0.0016883i,0.0011012-0.00027549i,0.0010638-2.8196e-05i,0.00077388-3.5384e-05i,0.0011316-0.00026955i,0.00078633-0.00068076i,9.7353e-05-0.00082665i,-0.0002273+0.00016471i,0.0001466+0.00059049i,0.00044561+0.00030169i,0.00013894-0.00043507i,-0.00060565-0.0012718i,-0.0010525-0.0011317i,-0.00074815-0.00086938i,-0.00016729-0.00085065i,0.00024975-0.00028461i,-0.00037498+0.00021713i,-0.00052601+4.4748e-05i,-2.2344e-05-2.0216e-05i
0.0014728-0.0011171i,0.0014429-0.0010478i,0.0010331-0.0021219i,0.00012951-0.0020481i,-0.00052615-0.0014336i,0.00012128+3.9335e-05i,0.00021082+0.0010188i,0.00037749+0.00084658i,0.00034836-2.839e-05i,0.0002546-0.00098169i,2.934e-06-0.00093313i,-5.7702e-05-0.00080349i,-0.00037893-0.00063787i,-0.00054411-0.00049044i,0.00060309-0.00031353i,0.00094953-0.00033705i,0.00010396-0.00077692i,-0.00061043-0.00075193i,-0.00066647-0.00017926i,-0.00018398-0.00011937i,0.00030347-0.00024076i,0.00062798-0.00029846i,0.00039208-0.00042497i
